Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.8,0.08
0.00253,3.8,0.08
0.005259,3.8,0.08
0.008294,3.8,0.08
0.010703,3.8,0.08
0.013302,3.77,0.08
0.01551,3.77,0.08
0.017508,3.8,0.08
0.01948,3.77,0.08
0.021462,3.77,0.08
0.02347,3.77,0.08
0.025463,3.77,0.08
0.027507,3.77,0.08
0.029515,3.77,0.08
0.031502,3.74,0.08
0.033498,3.74,0.08
0.035542,3.68,0.08
0.037501,3.68,0.08
0.039522,3.71,0.08
0.041544,3.71,0.08
0.04352,3.71,0.08
0.045562,3.71,0.08
0.047585,3.71,0.08
0.049619,3.71,0.08
0.052532,3.71,0.08
0.055027,3.71,0.08
0.058832,3.71,0.08
0.061337,3.68,0.08
0.063859,3.65,0.08
0.067638,3.65,0.08
0.07014,3.65,0.08
0.072651,3.65,0.08
0.076431,3.65,0.09
0.078952,3.68,0.09
0.082809,3.68,0.09
0.085254,3.68,0.09
0.087804,3.68,0.09
0.091578,3.65,0.09
0.094101,3.68,0.09
0.097879,3.68,0.09
0.100377,3.68,0.09
0.103167,3.68,0.09
0.106811,3.68,0.09
0.109307,3.68,0.09
0.111831,3.68,0.09
0.115639,3.71,0.09
0.11825,3.68,0.09
0.121926,3.71,0.09
0.124432,3.71,0.09
0.126931,3.71,0.09
0.130787,3.71,0.09
0.133045,3.71,0.09
0.13684,3.71,0.09
0.139354,3.71,0.09
0.141868,3.71,0.09
0.145661,3.71,0.09
0.148166,3.71,0.09
0.150687,3.71,0.09
0.154499,3.68,0.09
0.157027,3.71,0.09
0.160812,3.68,0.09
0.163317,3.68,0.09
0.165841,3.68,0.09
0.169615,3.68,0.1
0.172129,3.65,0.1
0.17464,3.65,0.1
0.17842,3.68,0.1
0.180953,3.68,0.1
0.184744,3.65,0.1
0.18723,3.68,0.1
0.189763,3.65,0.1
0.193583,3.65,0.1
0.196059,3.62,0.1
0.199877,3.65,0.1
0.202364,3.62,0.1
0.204913,3.62,0.1
0.2087,3.62,0.1
0.211197,3.62,0.1
0.213753,3.62,0.1
0.217502,3.62,0.1
0.220032,3.62,0.1
0.223824,3.62,0.1
0.226314,3.62,0.11
0.228873,3.62,0.11
0.232621,3.62,0.11
0.235154,3.62,0.11
0.237654,3.62,0.11
0.241435,3.62,0.11
0.243952,3.62,0.11
0.247777,3.62,0.11
0.250271,3.62,0.11
0.252796,3.58,0.11
0.256613,3.62,0.11
0.259107,3.58,0.11
0.261647,3.58,0.12
0.265416,3.55,0.11
0.267975,3.58,0.12
0.271741,3.55,0.12
0.274243,3.55,0.12
0.276778,3.53,0.12
0.280564,3.53,0.12
0.283086,3.53,0.12
0.286896,3.5,0.12
0.289358,3.5,0.12
0.291874,3.5,0.13
0.2957,3.47,0.13
0.29817,3.47,0.13
0.3007,3.47,0.13
0.304455,3.47,0.13
0.307016,3.43,0.13
0.310798,3.43,0.14
0.313294,3.4,0.14
0.315813,3.4,0.14
0.319574,3.37,0.14
0.322089,3.37,0.15
0.325896,3.35,0.15
0.328394,3.35,0.15
0.330939,3.31,0.15
0.33469,3.31,0.16
0.337189,3.28,0.16
0.339706,3.28,0.16
0.343476,3.25,0.16
0.346004,3.22,0.17
0.349773,3.22,0.17
0.352288,3.19,0.17
0.354813,3.19,0.18
0.358583,3.19,0.18
0.361123,3.22,0.18
0.364916,3.25,0.18
0.367413,3.19,0.19
0.369959,3.25,0.19
0.373729,3.25,0.19
0.37622,3.28,0.2
0.378756,3.28,0.19
0.382543,3.28,0.19
0.385054,3.28,0.2
0.388843,3.28,0.2
0.391341,3.31,0.2
0.393896,3.28,0.2
0.397518,3.28,0.2
0.400062,3.28,0.21
0.403844,3.25,0.21
0.406364,3.22,0.22
0.408895,3.22,0.22
0.412692,3.19,0.22
0.415183,3.25,0.23
0.417702,3.28,0.23
0.421491,3.25,0.23
0.424007,3.25,0.23
0.427784,3.28,0.24
0.430236,3.28,0.24
0.432754,3.28,0.24
0.436525,3.31,0.24
0.439024,3.31,0.24
0.44286,3.31,0.25
0.445343,3.31,0.25
0.447866,3.35,0.25
0.451631,3.31,0.25
0.454143,3.31,0.25
0.456645,3.35,0.25
0.460473,3.35,0.25
