Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.53,0.78
0.003895,7.53,0.71
0.007365,7.5,0.75
0.012641,7.5,0.77
0.016313,7.56,0.74
0.019981,7.56,0.76
0.022243,7.53,0.76
0.024341,7.6,0.77
0.026438,7.53,0.76
0.028461,7.56,0.8
0.030424,7.6,0.76
0.032529,7.56,0.76
0.034775,7.47,0.79
0.03695,7.53,0.77
0.039031,7.5,0.81
0.041193,7.63,0.74
0.043342,7.56,0.8
0.045396,7.6,0.79
0.047512,7.6,0.75
0.049626,7.6,0.78
0.051702,7.63,0.82
0.053753,7.63,0.76
0.055897,7.63,0.74
0.058089,7.6,0.77
0.0602,7.6,0.79
0.062342,7.65,0.76
0.06446,7.6,0.77
0.066612,7.6,0.77
0.068588,7.68,0.79
0.070649,7.65,0.82
0.073389,7.65,0.76
0.076928,7.56,0.83
0.07946,7.6,0.81
0.083322,7.65,0.75
0.085689,7.6,0.76
0.088314,7.63,0.78
0.091968,7.6,0.8
0.094496,7.65,0.81
0.098499,7.65,0.76
0.100758,7.68,0.78
0.103271,7.71,0.78
0.107119,7.71,0.81
0.109534,7.63,0.78
0.112167,7.65,0.8
0.115821,7.65,0.81
0.118352,7.65,0.79
0.122308,7.82,0.74
0.12484,7.71,0.74
0.12855,7.68,0.77
0.130743,7.65,0.78
0.133213,7.63,0.73
0.137304,7.65,0.8
0.139522,7.65,0.79
0.143365,7.65,0.77
0.14595,7.63,0.82
0.148364,7.53,0.78
0.15218,7.6,0.79
0.154659,7.65,0.78
0.157189,7.56,0.77
0.161053,7.65,0.75
0.1635,7.53,0.75
0.167345,7.65,0.88
0.169798,7.56,0.74
0.17232,7.53,0.8
0.17615,7.63,0.79
0.178689,7.56,0.78
0.181175,7.6,0.81
0.184958,7.6,0.78
0.187468,7.56,0.76
0.191253,7.56,0.84
0.193762,7.63,0.81
0.196298,7.6,0.77
0.200073,7.6,0.83
0.202593,7.63,0.79
0.205099,7.63,0.81
0.208896,7.68,0.78
0.211426,7.68,0.79
0.215216,7.63,0.78
0.217696,7.63,0.79
0.220228,7.68,0.8
0.224036,7.65,0.83
0.22671,7.65,0.8
0.229109,7.68,0.78
0.232931,7.68,0.84
0.235394,7.76,0.84
0.239199,7.76,0.81
0.241683,7.71,0.79
0.244287,7.76,0.78
0.247988,7.71,0.79
0.250515,7.63,0.76
0.25429,7.71,0.75
0.2568,7.68,0.76
0.259318,7.76,0.78
0.263125,7.6,0.79
0.265623,7.68,0.82
0.268149,7.63,0.77
0.271921,7.71,0.77
0.274444,7.68,0.8
0.278276,7.65,0.78
0.280761,7.71,0.8
0.283272,7.71,0.76
0.287061,7.68,0.75
0.289565,7.76,0.8
0.292096,7.68,0.72
0.296141,7.68,0.75
0.298386,7.68,0.77
0.302216,7.76,0.8
0.304713,7.65,0.79
0.307226,7.71,0.84
0.31099,7.68,0.79
0.313534,7.71,0.79
0.317329,7.68,0.82
0.319801,7.68,0.79
0.322328,7.65,0.77
0.326117,7.76,0.79
0.328831,7.63,0.76
0.331191,7.71,0.81
0.334989,7.76,0.81
0.337502,7.68,0.78
0.341301,7.71,0.81
0.343806,7.68,0.75
0.346318,7.76,0.77
0.350122,7.76,0.81
0.352612,7.82,0.83
