Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.31,0.14
0.002727,3.28,0.15
0.005361,3.31,0.15
0.008514,3.31,0.15
0.011033,3.28,0.16
0.014111,3.28,0.16
0.016291,3.25,0.16
0.018429,3.25,0.16
0.02048,3.25,0.16
0.022686,3.22,0.16
0.024746,3.25,0.17
0.026705,3.22,0.17
0.02878,3.19,0.18
0.030992,3.19,0.18
0.033003,3.16,0.18
0.03509,3.16,0.18
0.037206,3.16,0.19
0.040923,3.12,0.19
0.042974,3.12,0.19
0.045583,3.08,0.2
0.049299,3.05,0.2
0.051795,3.05,0.21
0.055772,3.05,0.21
0.058067,3.01,0.21
0.060633,3.01,0.21
0.06452,3.01,0.22
0.06672,2.98,0.23
0.070663,2.98,0.23
0.073191,2.98,0.24
0.075564,3.01,0.24
0.07937,2.95,0.23
0.081864,2.98,0.25
0.085605,2.98,0.25
0.088161,2.98,0.25
0.090724,2.98,0.26
0.094515,3.01,0.27
0.096842,3.01,0.26
0.100638,3.05,0.27
0.103146,3.05,0.27
0.105677,3.05,0.27
0.10949,3.08,0.28
0.112024,3.05,0.28
0.114538,3.05,0.29
0.118271,3.05,0.29
0.120789,3.01,0.3
0.124571,3.05,0.3
0.127053,3.05,0.3
0.129682,3.05,0.3
0.133388,3.05,0.31
0.135886,3.05,0.31
0.138417,3.05,0.31
0.142227,3.05,0.32
0.144743,3.01,0.31
0.148442,3.05,0.33
0.150933,3.05,0.31
0.15345,3.05,0.34
0.157208,3.05,0.34
0.159747,3.08,0.34
0.16356,3.08,0.35
0.166023,3.05,0.36
0.168521,3.05,0.36
0.172309,3.12,0.37
0.174815,3.12,0.35
0.178617,3.05,0.37
0.18111,3.08,0.37
0.183632,3.08,0.35
0.187421,3.12,0.38
0.189935,3.08,0.37
0.192478,3.12,0.38
0.196257,3.08,0.38
0.198764,3.12,0.39
0.202537,3.12,0.4
0.205029,3.08,0.41
0.207561,3.08,0.42
0.211358,3.16,0.4
0.213953,3.12,0.42
0.21768,3.12,0.43
0.220154,3.08,0.41
0.222659,3.16,0.44
0.226499,3.19,0.43
0.22898,3.19,0.44
0.231451,3.19,0.45
0.235237,3.16,0.44
0.237784,3.19,0.42
0.241508,3.16,0.44
0.24407,3.22,0.45
0.246624,3.19,0.45
0.250407,3.19,0.44
0.25291,3.22,0.47
0.255404,3.25,0.45
0.259202,3.28,0.44
0.261713,3.28,0.47
0.265504,3.28,0.44
0.26801,3.25,0.45
0.270525,3.28,0.45
0.274315,3.31,0.49
0.276756,3.31,0.48
0.280518,3.28,0.5
0.283012,3.28,0.51
0.285561,3.31,0.43
0.289365,3.35,0.52
0.291835,3.35,0.5
0.29565,3.31,0.53
0.298139,3.28,0.53
0.300609,3.31,0.52
0.304387,3.35,0.55
0.30694,3.31,0.53
0.309416,3.28,0.51
0.313181,3.28,0.49
0.315735,3.16,0.51
0.319488,3.25,0.54
0.322061,3.22,0.53
0.324528,3.22,0.56
0.328256,3.16,0.56
0.330786,3.19,0.57
0.334595,3.16,0.58
0.337082,3.12,0.59
0.339603,3.16,0.6
0.343384,3.19,0.57
0.345953,3.25,0.58
0.348531,3.19,0.59
0.352188,3.19,0.61
0.354693,3.25,0.59
0.358486,3.22,0.62
0.360984,3.19,0.59
0.363493,3.28,0.63
0.36727,3.28,0.62
0.369785,3.22,0.62
0.373582,3.19,0.64
0.376071,3.28,0.62
0.378584,3.25,0.63
0.382379,3.25,0.67
0.384873,3.22,0.66
0.387387,3.19,0.65
0.391142,3.16,0.69
0.393663,3.22,0.63
0.397518,3.22,0.64
0.400005,3.28,0.66
0.402541,3.35,0.7
0.406308,3.35,0.67
0.408828,3.31,0.67
0.412595,3.25,0.68
0.415088,3.35,0.68
0.417617,3.4,0.7
0.421412,3.43,0.7
0.423906,3.37,0.68
0.426415,3.43,0.7
0.430201,3.43,0.72
0.432708,3.43,0.7
0.436514,3.47,0.71
0.439024,3.47,0.71
0.441501,3.5,0.72
0.445282,3.53,0.73
0.447834,3.55,0.77
0.451647,3.53,0.74
0.454145,3.58,0.69
0.456644,3.55,0.7
0.460451,3.53,0.73
0.462958,3.58,0.73
0.465491,3.53,0.69
0.469262,3.68,0.68
0.471786,3.62,0.7
0.475602,3.58,0.73
0.478058,3.58,0.69
0.480509,3.58,0.72
0.484254,3.62,0.73
0.486762,3.68,0.73
0.490541,3.68,0.72
0.493043,3.68,0.72
0.495542,3.68,0.73
0.499377,3.68,0.73
0.501863,3.77,0.73
0.504408,3.86,0.75
0.508153,3.77,0.7
0.510677,3.74,0.72
0.514452,3.8,0.69
0.516973,3.86,0.72
0.519484,3.86,0.75
0.52326,3.98,0.7
0.525777,3.98,0.75
0.529579,3.98,0.74
0.532032,3.98,0.71
0.534559,4.08,0.72
0.538355,4.08,0.71
0.540813,4.04,0.73
0.544644,4.04,0.7
0.547119,4.08,0.68
0.549711,4.11,0.66
0.553485,4.13,0.71
0.555991,4.11,0.67
0.558503,4.08,0.68
0.562269,4.11,0.67
0.564729,4.13,0.67
0.568513,4.11,0.69
0.571011,4.04,0.69
0.573532,4.08,0.65
0.577312,4.01,0.63
0.579832,3.98,0.68
0.583683,4.04,0.67
0.586112,3.95,0.68
0.588617,3.95,0.67
0.59241,3.93,0.69
0.594898,3.93,0.68
0.597434,3.95,0.65
0.601259,3.93,0.66
0.603801,3.89,0.63
0.607638,3.83,0.68
0.610123,3.77,0.66
0.612671,3.71,0.63
0.616457,3.77,0.65
0.618925,3.77,0.66
0.621466,3.77,0.66
0.625227,3.77,0.68
0.627737,3.77,0.68
0.631541,3.71,0.65
0.634025,3.68,0.65
0.63654,3.65,0.7
0.64039,3.74,0.66
0.642864,3.68,0.65
0.646691,3.68,0.68
0.649176,3.68,0.65
0.651755,3.71,0.7
0.655541,3.71,0.66
0.658054,3.71,0.71
0.660584,3.71,0.66
0.664371,3.71,0.65
0.66687,3.71,0.66
0.669407,3.71,0.66
0.673187,3.77,0.58
0.67568,3.65,0.65
0.679476,3.68,0.65
0.681989,3.62,0.66
0.68455,3.74,0.66
0.688271,3.65,0.64
0.690824,3.71,0.68
0.694801,3.71,0.66
0.697277,3.68,0.66
0.699761,3.68,0.64
0.70361,3.65,0.65
0.706313,3.65,0.65
0.708784,3.65,0.68
0.711605,3.62,0.68
0.715189,3.71,0.65
0.718336,3.65,0.65
0.72082,3.68,0.7
0.723694,3.65,0.69
0.729412,3.65,0.66
0.732512,3.62,0.65
0.73488,3.58,0.63
0.737213,3.65,0.66
0.739459,3.68,0.69
0.741677,3.65,0.65
0.745497,3.74,0.67
0.747935,3.71,0.65
0.751702,3.71,0.68
0.755396,3.71,0.67
0.757616,3.71,0.65
0.760545,3.8,0.65
0.763066,3.8,0.69
0.765569,3.74,0.65
0.769419,3.71,0.68
0.771891,3.68,0.69
0.774397,3.77,0.65
0.778165,3.8,0.68
0.780713,3.74,0.67
0.784578,3.8,0.66
0.786981,3.77,0.7
0.789508,3.83,0.66
0.793302,3.8,0.66
0.795802,3.86,0.68
0.799593,3.8,0.7
0.802077,3.8,0.68
0.804676,3.74,0.66
0.808486,3.83,0.63
0.810951,3.77,0.66
0.813471,3.83,0.69
0.817247,3.8,0.66
0.819795,3.8,0.66
0.823633,3.77,0.65
0.826106,3.74,0.66
0.828585,3.8,0.67
0.832376,3.74,0.64
0.834891,3.8,0.68
0.837388,3.77,0.63
0.841177,3.77,0.65
0.843705,3.77,0.68
0.847485,3.77,0.62
0.849989,3.74,0.64
0.852518,3.77,0.64
0.856352,3.77,0.64
0.858847,3.83,0.64
0.86135,3.74,0.62
0.865167,3.83,0.67
0.867669,3.68,0.58
