Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.83,0.04
0.002592,3.83,0.05
0.005556,3.83,0.05
0.009701,3.86,0.04
0.012259,3.86,0.04
0.014877,3.86,0.04
0.016894,3.86,0.04
0.018886,3.86,0.05
0.020853,3.86,0.04
0.022912,3.86,0.04
0.024921,3.83,0.04
0.02694,3.83,0.04
0.028912,3.83,0.04
0.030883,3.83,0.05
0.03292,3.83,0.05
0.034977,3.83,0.04
0.036977,3.83,0.05
0.038927,3.83,0.05
0.040882,3.83,0.04
0.042875,3.83,0.05
0.044816,3.83,0.05
0.046777,3.83,0.04
0.048789,3.83,0.05
0.050745,3.83,0.05
0.054392,3.83,0.05
0.056912,3.83,0.05
0.060702,3.8,0.05
0.063182,3.83,0.04
0.06573,3.8,0.05
0.069483,3.8,0.05
0.072011,3.8,0.05
0.074597,3.8,0.05
0.078336,3.8,0.05
0.0809,3.8,0.05
0.084651,3.77,0.05
0.087162,3.77,0.05
0.089695,3.8,0.05
0.093494,3.8,0.05
0.096019,3.8,0.05
0.098518,3.8,0.05
0.102336,3.8,0.05
0.104918,3.8,0.05
0.108704,3.77,0.05
0.111207,3.77,0.05
0.113741,3.77,0.05
0.117514,3.77,0.05
0.120047,3.77,0.05
0.122578,3.77,0.05
0.126376,3.74,0.05
0.128891,3.77,0.05
0.132716,3.74,0.05
0.135213,3.77,0.05
0.137765,3.77,0.05
0.141509,3.77,0.05
0.144044,3.74,0.05
0.146584,3.74,0.05
0.150364,3.77,0.05
0.152894,3.77,0.05
0.156727,3.74,0.05
0.159226,3.74,0.05
0.161769,3.77,0.05
0.165566,3.74,0.05
0.16808,3.77,0.06
0.170631,3.74,0.05
0.174401,3.74,0.06
0.176915,3.74,0.05
0.18073,3.77,0.05
0.183238,3.74,0.05
0.185763,3.74,0.06
0.189566,3.74,0.06
0.192056,3.74,0.06
0.194576,3.77,0.06
0.198338,3.77,0.06
0.200874,3.77,0.06
0.20465,3.74,0.06
0.207232,3.74,0.06
0.209726,3.74,0.06
0.2135,3.74,0.06
0.216024,3.74,0.06
0.218478,3.74,0.06
0.222249,3.74,0.06
0.224811,3.74,0.06
0.228552,3.74,0.06
0.231093,3.74,0.06
0.233593,3.74,0.06
0.23737,3.74,0.06
0.239999,3.77,0.06
0.243825,3.77,0.06
0.246424,3.77,0.06
0.248817,3.77,0.06
0.252589,3.77,0.06
0.254971,3.77,0.06
0.258889,3.77,0.07
0.261263,3.8,0.06
0.263894,3.77,0.06
0.267569,3.77,0.07
0.27001,3.77,0.07
0.273954,3.77,0.07
0.276273,3.77,0.07
0.278864,3.77,0.07
0.282646,3.74,0.07
0.285145,3.77,0.07
0.287765,3.77,0.06
0.291412,3.77,0.07
0.293944,3.77,0.07
0.297909,3.77,0.07
0.300312,3.77,0.07
0.302759,3.77,0.07
0.306642,3.77,0.07
0.3092,3.74,0.07
0.313107,3.74,0.07
0.315583,3.74,0.07
0.317866,3.77,0.07
0.321786,3.77,0.07
0.324217,3.74,0.07
0.326671,3.74,0.07
0.33047,3.74,0.07
0.332864,3.74,0.07
0.336869,3.74,0.07
0.339124,3.74,0.07
0.341778,3.74,0.07
0.345572,3.74,0.07
0.347905,3.74,0.07
0.351855,3.74,0.07
0.354248,3.74,0.07
0.356841,3.74,0.07
0.360603,3.77,0.07
0.363096,3.74,0.07
0.365645,3.77,0.07
0.369392,3.77,0.07
0.371914,3.74,0.07
