Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.71,0.12
0.002994,3.71,0.12
0.005796,3.71,0.12
0.009283,3.74,0.12
0.012015,3.74,0.12
0.014889,3.74,0.12
0.017082,3.74,0.12
0.019255,3.71,0.12
0.021424,3.74,0.12
0.023504,3.74,0.12
0.025593,3.71,0.12
0.027676,3.74,0.12
0.029728,3.74,0.12
0.031774,3.74,0.12
0.033804,3.71,0.12
0.0359,3.71,0.12
0.037964,3.71,0.12
0.040073,3.68,0.12
0.042726,3.68,0.12
0.044793,3.68,0.12
0.047295,3.68,0.12
0.051061,3.71,0.12
0.053613,3.71,0.13
0.056112,3.71,0.12
0.059886,3.71,0.12
0.062421,3.74,0.12
0.066191,3.71,0.12
0.068701,3.71,0.12
0.071227,3.71,0.12
0.074987,3.74,0.12
0.077494,3.74,0.12
0.081338,3.74,0.12
0.083833,3.74,0.12
0.086348,3.74,0.12
0.090162,3.74,0.12
0.092728,3.74,0.12
0.095207,3.77,0.12
0.098989,3.74,0.12
0.101518,3.77,0.12
0.105336,3.77,0.12
0.107843,3.77,0.12
0.110367,3.77,0.12
0.114129,3.77,0.12
0.116645,3.74,0.12
0.119179,3.77,0.12
0.12299,3.77,0.12
0.125499,3.77,0.12
0.129248,3.77,0.12
0.131764,3.77,0.12
0.134344,3.77,0.12
0.138093,3.77,0.12
0.140684,3.77,0.12
0.143239,3.74,0.12
0.147015,3.74,0.12
0.149508,3.74,0.12
0.153311,3.74,0.12
0.155805,3.74,0.12
0.158355,3.74,0.12
0.162098,3.71,0.12
0.164622,3.74,0.12
0.167187,3.71,0.12
0.170983,3.71,0.12
0.173526,3.71,0.12
0.177325,3.71,0.12
0.179869,3.68,0.12
0.182349,3.68,0.12
0.186153,3.71,0.12
0.188664,3.71,0.12
0.191205,3.71,0.12
0.19503,3.71,0.12
0.197562,3.71,0.12
0.201381,3.71,0.12
0.203886,3.74,0.12
0.20642,3.74,0.12
0.210189,3.74,0.12
0.212688,3.71,0.12
0.215198,3.74,0.12
0.218986,3.71,0.12
0.221491,3.74,0.13
0.22527,3.74,0.13
0.227781,3.71,0.12
0.23031,3.71,0.12
0.23407,3.71,0.12
0.236583,3.74,0.12
0.240523,3.74,0.12
0.242822,3.74,0.12
0.245394,3.74,0.12
0.249211,3.74,0.12
0.251783,3.74,0.12
0.254615,3.74,0.12
0.258299,3.74,0.12
0.26088,3.74,0.12
0.264261,3.74,0.12
0.266667,3.74,0.12
0.269236,3.77,0.12
0.273019,3.74,0.12
0.275522,3.74,0.12
0.279309,3.74,0.12
0.281831,3.74,0.12
0.284361,3.74,0.12
0.288084,3.74,0.12
0.290637,3.74,0.12
0.294427,3.77,0.12
0.296962,3.77,0.12
0.299491,3.77,0.12
0.303305,3.74,0.12
0.30581,3.74,0.12
0.308322,3.74,0.12
0.312262,3.74,0.12
0.314632,3.74,0.12
0.318419,3.77,0.12
0.32092,3.77,0.12
0.323463,3.77,0.12
0.327289,3.77,0.12
0.329764,3.77,0.12
0.332272,3.74,0.12
0.336121,3.74,0.12
0.338591,3.77,0.12
0.342396,3.74,0.12
0.344897,3.77,0.12
0.347462,3.77,0.12
0.351353,3.77,0.12
0.353785,3.77,0.12
0.356299,3.77,0.12
0.360144,3.77,0.12
