Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.5,0.33
0.002729,7.56,0.32
0.005285,7.53,0.31
0.008423,7.5,0.34
0.010955,7.6,0.33
0.013712,7.56,0.36
0.015854,7.63,0.36
0.017895,7.6,0.31
0.019933,7.63,0.35
0.022019,7.6,0.31
0.02399,7.63,0.37
0.025981,7.6,0.33
0.027946,7.65,0.35
0.029903,7.6,0.34
0.031912,7.56,0.34
0.033894,7.56,0.35
0.035858,7.56,0.35
0.037815,7.6,0.35
0.039786,7.56,0.33
0.042529,7.63,0.39
0.04497,7.56,0.34
0.047465,7.6,0.34
0.051236,7.6,0.33
0.053789,7.56,0.35
0.057562,7.56,0.34
0.060053,7.63,0.35
0.062721,7.6,0.37
0.066289,7.6,0.37
0.06878,7.6,0.4
0.072534,7.63,0.36
0.075039,7.63,0.39
0.077549,7.63,0.36
0.081472,7.6,0.35
0.083899,7.6,0.35
0.087668,7.6,0.35
0.09016,7.6,0.36
0.092731,7.56,0.35
0.096484,7.6,0.35
0.098986,7.6,0.34
0.101512,7.63,0.34
0.105298,7.6,0.34
0.107795,7.63,0.34
0.111583,7.63,0.34
0.114078,7.63,0.34
0.116606,7.65,0.37
0.1204,7.63,0.33
0.122932,7.68,0.35
0.125438,7.68,0.35
0.12919,7.63,0.34
0.131772,7.65,0.36
0.135528,7.63,0.31
0.137978,7.68,0.35
0.140496,7.63,0.34
0.144325,7.65,0.36
0.146849,7.65,0.37
0.150579,7.68,0.35
0.153078,7.68,0.33
0.155593,7.65,0.35
0.159395,7.68,0.37
0.161887,7.71,0.36
0.164419,7.68,0.34
0.168178,7.68,0.34
0.170682,7.71,0.33
0.174488,7.71,0.36
0.176984,7.71,0.32
0.179518,7.71,0.34
0.183271,7.76,0.39
0.18578,7.71,0.33
0.189605,7.68,0.34
0.192105,7.71,0.34
0.194642,7.71,0.36
0.19844,7.68,0.34
0.200949,7.71,0.36
0.203456,7.76,0.37
0.207287,7.71,0.36
0.20972,7.76,0.36
0.213528,7.76,0.33
0.21604,7.79,0.36
0.218541,7.79,0.32
0.222315,7.79,0.36
0.224842,7.76,0.35
0.228626,7.71,0.35
0.231117,7.76,0.35
0.233629,7.76,0.35
0.237422,7.71,0.34
0.239928,7.71,0.34
0.242415,7.71,0.32
0.246258,7.79,0.35
0.248743,7.79,0.35
0.252486,7.71,0.35
0.254969,7.71,0.36
0.257482,7.68,0.35
0.261258,7.68,0.37
0.263782,7.71,0.35
0.267554,7.68,0.33
0.27004,7.68,0.34
0.272588,7.65,0.35
0.276365,7.65,0.35
0.278874,7.65,0.35
0.281402,7.63,0.35
0.285183,7.65,0.37
0.287695,7.65,0.35
0.291496,7.6,0.34
0.293993,7.65,0.35
0.296532,7.63,0.33
0.30033,7.63,0.35
0.302832,7.63,0.36
0.306626,7.68,0.36
0.30912,7.65,0.36
0.311557,7.6,0.34
0.315325,7.63,0.36
0.317833,7.56,0.34
0.321626,7.63,0.34
0.324227,7.6,0.35
0.326639,7.56,0.34
0.330424,7.56,0.36
0.332918,7.56,0.35
0.335453,7.56,0.35
0.339199,7.63,0.35
0.341726,7.6,0.35
0.345506,7.6,0.37
0.348188,7.6,0.35
0.350577,7.6,0.35
0.354367,7.63,0.34
0.356812,7.65,0.34
0.360594,7.68,0.35
0.363114,7.65,0.36
0.365624,7.68,0.35
0.369435,7.68,0.36
0.371944,7.68,0.36
0.374448,7.68,0.34
0.378195,7.71,0.37
0.380739,7.68,0.33
0.384525,7.65,0.35
0.387014,7.65,0.38
0.38953,7.63,0.35
0.39329,7.6,0.37
0.395818,7.56,0.36
0.399646,7.56,0.35
0.402138,7.5,0.37
0.404655,7.47,0.4
0.408439,7.45,0.36
0.410949,7.45,0.37
0.413455,7.45,0.37
0.417246,7.45,0.35
0.419784,7.45,0.38
0.423556,7.45,0.38
0.426064,7.41,0.35
0.428585,7.38,0.35
0.432388,7.45,0.38
0.434873,7.41,0.4
0.437396,7.41,0.38
0.441175,7.41,0.37
0.443701,7.41,0.39
0.447515,7.47,0.42
0.450051,7.47,0.39
0.452617,7.47,0.42
0.456181,7.5,0.41
0.458722,7.47,0.39
0.46248,7.53,0.4
0.464967,7.53,0.41
0.467641,7.56,0.4
0.471268,7.6,0.4
0.47378,7.6,0.4
0.477564,7.6,0.4
0.480074,7.6,0.4
0.482602,7.56,0.39
0.486389,7.56,0.41
0.488895,7.6,0.4
0.491424,7.56,0.42
0.495181,7.6,0.4
0.497747,7.6,0.42
0.501503,7.63,0.38
0.503995,7.63,0.42
0.506503,7.6,0.38
0.51023,7.6,0.41
0.512748,7.63,0.43
0.516538,7.63,0.41
0.519021,7.6,0.4
0.521559,7.6,0.39
0.525317,7.6,0.4
0.527837,7.63,0.4
0.531628,7.6,0.41
0.534132,7.6,0.42
0.536634,7.56,0.41
0.540444,7.56,0.42
0.542942,7.53,0.38
0.54545,7.53,0.4
0.549216,7.53,0.41
0.551788,7.56,0.39
0.555555,7.56,0.4
0.55805,7.5,0.4
0.560588,7.53,0.41
0.564376,7.53,0.42
0.566854,7.56,0.46
0.569384,7.56,0.4
0.573172,7.53,0.41
0.57566,7.5,0.44
0.579438,7.5,0.43
0.581968,7.5,0.43
0.584433,7.56,0.45
0.588226,7.47,0.41
0.590738,7.47,0.43
0.594541,7.5,0.46
0.597021,7.47,0.44
0.599544,7.47,0.42
0.603376,7.45,0.44
0.605878,7.45,0.43
0.609609,7.47,0.45
0.612099,7.41,0.45
0.614606,7.45,0.46
0.618401,7.45,0.46
0.620894,7.38,0.45
0.62341,7.45,0.49
0.627177,7.45,0.48
0.629682,7.5,0.48
0.633473,7.45,0.47
0.635984,7.5,0.47
0.638491,7.47,0.47
0.642256,7.45,0.46
0.644784,7.41,0.47
0.648586,7.41,0.48
0.651073,7.45,0.45
0.653639,7.47,0.48
0.65743,7.45,0.5
0.659929,7.45,0.47
0.662497,7.45,0.49
0.666197,7.47,0.47
0.668673,7.41,0.47
0.672471,7.41,0.49
0.674954,7.5,0.52
0.67746,7.47,0.47
0.681229,7.47,0.51
0.683793,7.47,0.47
0.687568,7.45,0.48
0.690034,7.5,0.48
0.692579,7.45,0.49
0.69633,7.47,0.51
0.698965,7.45,0.5
0.702638,7.47,0.56
0.705173,7.5,0.49
0.707699,7.5,0.5
0.711475,7.56,0.56
0.713996,7.53,0.51
0.716516,7.53,0.52
0.720273,7.53,0.52
0.722795,7.56,0.5
0.726525,7.53,0.52
0.729031,7.53,0.52
0.731543,7.5,0.54
0.735301,7.56,0.53
0.737819,7.56,0.52
0.741613,7.56,0.49
0.74412,7.56,0.52
