Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.84,0.05
0.003749,7.84,0.05
0.008806,7.84,0.05
0.014603,7.82,0.05
0.018534,7.84,0.05
0.022478,7.82,0.04
0.024872,7.82,0.04
0.027239,7.79,0.04
0.029499,7.82,0.05
0.031576,7.82,0.04
0.033984,7.82,0.05
0.036674,7.79,0.05
0.039208,7.82,0.05
0.04135,7.79,0.05
0.043302,7.79,0.05
0.045258,7.82,0.04
0.047202,7.82,0.05
0.049349,7.82,0.05
0.051346,7.79,0.05
0.053353,7.82,0.05
0.055425,7.84,0.05
0.057463,7.82,0.05
0.059449,7.82,0.05
0.061465,7.79,0.05
0.063482,7.82,0.05
0.065502,7.79,0.04
0.067556,7.82,0.05
0.069519,7.82,0.04
0.071568,7.82,0.05
0.073605,7.82,0.04
0.076297,7.82,0.05
0.079556,7.79,0.04
0.082053,7.79,0.05
0.084592,7.79,0.05
0.088364,7.76,0.05
0.090882,7.76,0.05
0.093418,7.76,0.05
0.097124,7.79,0.05
0.099568,7.79,0.05
0.103373,7.76,0.05
0.105877,7.79,0.05
0.108392,7.79,0.05
0.11221,7.76,0.04
0.114736,7.79,0.05
0.118634,7.79,0.05
0.121024,7.79,0.05
0.123567,7.82,0.05
0.127421,7.79,0.06
0.129936,7.79,0.05
0.132458,7.82,0.05
0.136282,7.82,0.05
0.13879,7.82,0.05
0.141325,7.79,0.06
0.144879,7.79,0.05
0.147544,7.82,0.05
0.151193,7.82,0.05
0.153682,7.82,0.05
0.157482,7.82,0.05
0.160011,7.82,0.05
0.162533,7.82,0.05
0.166306,7.82,0.05
0.168812,7.82,0.05
0.171327,7.82,0.05
0.175128,7.82,0.05
0.177701,7.82,0.05
0.181502,7.79,0.06
0.183988,7.79,0.05
0.186503,7.82,0.05
0.190304,7.82,0.05
0.192817,7.82,0.06
0.195332,7.79,0.05
0.199116,7.82,0.06
0.201608,7.79,0.05
0.205427,7.79,0.05
0.207919,7.79,0.05
0.210434,7.79,0.05
0.214242,7.79,0.05
0.216786,7.79,0.06
0.21924,7.76,0.05
0.223044,7.79,0.05
0.225548,7.76,0.05
0.229392,7.79,0.06
0.231889,7.76,0.05
0.234431,7.76,0.06
0.238373,7.76,0.05
0.240754,7.79,0.06
0.243256,7.76,0.06
0.247036,7.79,0.06
0.249559,7.79,0.06
0.25342,7.79,0.05
0.255872,7.76,0.06
0.258382,7.76,0.06
0.262199,7.76,0.06
0.264689,7.76,0.06
0.268504,7.76,0.06
0.270976,7.76,0.06
0.273499,7.76,0.06
0.277316,7.71,0.06
0.279824,7.71,0.05
0.282381,7.71,0.06
0.286129,7.68,0.06
0.288672,7.71,0.06
0.292478,7.76,0.06
0.294943,7.71,0.06
0.297463,7.71,0.06
0.301287,7.71,0.06
0.303775,7.71,0.06
0.306267,7.71,0.06
0.310067,7.71,0.06
0.312585,7.71,0.07
0.316371,7.68,0.06
0.318935,7.68,0.06
0.321417,7.68,0.06
0.325166,7.71,0.07
0.327701,7.68,0.06
0.330275,7.65,0.07
0.334084,7.65,0.06
0.336529,7.68,0.07
0.340335,7.68,0.06
0.342845,7.65,0.06
0.345339,7.65,0.07
0.349196,7.63,0.07
0.351643,7.63,0.07
0.355548,7.63,0.06
0.357948,7.63,0.07
0.360486,7.56,0.06
0.364279,7.6,0.07
0.366772,7.56,0.07
0.36929,7.56,0.07
0.373078,7.53,0.07
0.375595,7.53,0.07
0.379361,7.53,0.08
0.381949,7.53,0.08
0.384436,7.53,0.08
0.388242,7.5,0.08
0.390721,7.5,0.08
0.393289,7.53,0.08
0.397036,7.5,0.08
0.399553,7.5,0.08
0.403348,7.53,0.09
0.40582,7.5,0.09
0.40836,7.5,0.09
0.412107,7.47,0.09
0.414643,7.47,0.09
0.418438,7.47,0.09
0.42092,7.45,0.09
0.42344,7.45,0.09
0.427244,7.41,0.1
0.42976,7.41,0.1
0.43234,7.41,0.1
0.436149,7.41,0.1
0.438661,7.41,0.1
0.442474,7.38,0.11
0.44496,7.41,0.11
0.447475,7.38,0.11
0.45127,7.38,0.11
0.453623,7.35,0.11
0.457437,7.35,0.12
0.459911,7.35,0.12
0.46246,7.35,0.12
0.466286,7.32,0.12
0.468793,7.32,0.12
0.471311,7.27,0.12
0.475088,7.27,0.13
0.477621,7.24,0.13
0.481432,7.24,0.13
0.483997,7.22,0.14
0.48649,7.19,0.14
0.490337,7.19,0.14
0.492828,7.12,0.15
0.495336,7.09,0.15
0.499125,7.09,0.16
0.501659,7.06,0.16
0.505477,7.01,0.17
0.50796,6.94,0.17
0.510504,6.91,0.18
0.514328,6.88,0.19
0.516782,6.86,0.19
0.519326,6.82,0.2
0.52311,6.79,0.21
0.525638,6.76,0.22
0.529436,6.73,0.22
0.531955,6.69,0.23
0.534523,6.67,0.23
0.538335,6.64,0.24
0.54084,6.61,0.26
0.543386,6.57,0.26
0.547132,6.57,0.27
0.549667,6.5,0.28
0.553538,6.5,0.3
0.555982,6.45,0.29
0.558503,6.45,0.3
0.562274,6.45,0.31
0.564794,6.47,0.31
0.567281,6.45,0.33
0.571081,6.47,0.34
0.573582,6.47,0.35
0.577386,6.5,0.36
0.579865,6.47,0.37
0.582455,6.47,0.38
0.586212,6.47,0.37
0.588739,6.53,0.4
0.591252,6.47,0.39
0.595008,6.5,0.4
0.597555,6.5,0.41
0.60134,6.57,0.42
0.603827,6.57,0.42
0.606365,6.61,0.44
0.610122,6.61,0.44
0.612645,6.64,0.46
0.616427,6.64,0.46
0.618961,6.64,0.46
0.621465,6.64,0.48
0.625271,6.64,0.46
0.627757,6.64,0.5
0.630295,6.61,0.49
0.634069,6.64,0.51
0.636617,6.67,0.53
0.640393,6.69,0.53
0.642938,6.73,0.52
0.645398,6.69,0.55
0.649264,6.69,0.53
0.651783,6.64,0.52
0.655512,6.69,0.58
0.658022,6.69,0.57
0.660542,6.69,0.61
0.664168,6.79,0.62
0.666661,6.79,0.64
0.670443,6.86,0.65
0.672956,6.79,0.61
0.675516,6.86,0.61
0.67928,6.86,0.62
0.681803,6.79,0.58
0.684308,6.88,0.6
0.688118,6.88,0.67
0.690602,6.88,0.66
0.694409,6.88,0.61
0.696912,6.91,0.68
0.699442,6.88,0.65
0.703216,6.94,0.62
0.705731,6.94,0.7
0.708238,7.01,0.69
0.712067,6.97,0.7
0.714533,7.06,0.65
0.718383,7.04,0.65
0.720838,7.09,0.67
0.723401,7.09,0.71
0.727106,7.12,0.72
0.729666,7.12,0.71
0.733447,7.19,0.72
0.735955,7.22,0.8
0.738476,7.27,0.75
0.742284,7.38,0.7
0.744793,7.35,0.91
0.747317,7.27,0.67
0.751102,7.27,0.76
0.753609,7.41,0.89
0.757395,7.45,0.76
0.759896,7.5,0.77
0.762387,7.5,0.84
0.766301,7.47,0.87
0.768731,7.5,0.82
0.771253,7.56,0.81
0.775061,7.63,0.87
0.777625,7.6,0.8
0.781426,7.56,0.79
0.78397,7.63,0.8
0.786463,7.71,0.85
0.790322,7.76,0.87
