Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.30098,1.83047,1.39541,0.15469,0.96357,0.825,0.66064,0.35771
0.004,2.30098,1.82725,1.39863,0.15469,0.96035,0.825,0.65742,0.35771
0.008,2.30098,1.82402,1.40186,0.15469,0.96357,0.82178,0.65742,0.35771
0.012,2.3042,1.83691,1.39541,0.15469,0.96357,0.83789,0.66064,0.35771
0.016,2.30742,1.84014,1.39219,0.15469,0.96035,0.825,0.65742,0.35771
0.02,2.30098,1.82402,1.40508,0.15469,0.9668,0.83789,0.66064,0.36094
0.024,2.31064,1.84336,1.40186,0.15469,0.9668,0.83789,0.66064,0.36094
0.028,2.3042,1.84014,1.39863,0.15469,0.9668,0.83789,0.66064,0.35771
0.032,2.30742,1.84658,1.40186,0.15469,0.9668,0.83789,0.66064,0.36094
0.036,2.31064,1.84658,1.40186,0.15469,0.9668,0.83789,0.66064,0.35771
0.04,2.31064,1.84336,1.39863,0.15469,0.96357,0.83467,0.66064,0.36094
0.044,2.30742,1.84658,1.39863,0.15469,0.96357,0.83467,0.66064,0.36094
0.048,2.30098,1.84658,1.39863,0.15146,0.95391,0.83467,0.65742,0.35771
0.052,2.30098,1.84336,1.39863,0.15469,0.94424,0.83467,0.66064,0.35771
0.056,2.28164,1.84336,1.39863,0.15469,0.94102,0.83467,0.65742,0.35771
0.06,2.2752,1.84658,1.39863,0.15469,0.96035,0.83467,0.65742,0.35771
0.064,2.3042,1.83369,1.39863,0.15146,0.96357,0.825,0.6542,0.35771
0.068,2.29775,1.83369,1.39863,0.15469,0.96357,0.825,0.6542,0.35771
0.072,2.29775,1.83047,1.40186,0.15469,0.96357,0.83789,0.65742,0.35771
0.076,2.3042,1.84336,1.39541,0.15469,0.96357,0.83789,0.65742,0.35771
0.08,2.30098,1.84336,1.39541,0.15469,0.96357,0.83789,0.65742,0.35771
0.084,2.31064,1.84658,1.40186,0.15469,0.9668,0.83467,0.66064,0.36094
0.088,2.31064,1.84336,1.40186,0.15469,0.9668,0.83789,0.65742,0.35771
0.092,2.3042,1.84336,1.39863,0.15469,0.9668,0.83789,0.66064,0.35771
0.096,2.30742,1.84336,1.39863,0.15469,0.9668,0.83789,0.66064,0.36094
0.1,2.31064,1.84658,1.40508,0.15469,0.9668,0.83789,0.66064,0.36094
0.104,2.31064,1.84658,1.4083,0.15469,0.9668,0.83467,0.66064,0.35771
0.108,2.30742,1.84658,1.4083,0.15469,0.95713,0.83789,0.66064,0.36094
