Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.45,0.25
0.00218,7.47,0.26
0.004247,7.45,0.25
0.006327,7.5,0.26
0.008379,7.5,0.26
0.010415,7.53,0.27
0.012431,7.5,0.27
0.014437,7.5,0.27
0.016503,7.5,0.27
0.018468,7.5,0.26
0.020538,7.5,0.27
0.022566,7.5,0.26
0.024616,7.53,0.27
0.027417,7.56,0.27
0.030779,7.56,0.27
0.033287,7.53,0.27
0.037069,7.53,0.27
0.039579,7.53,0.26
0.042091,7.53,0.26
0.045871,7.56,0.27
0.048406,7.56,0.27
0.052154,7.56,0.27
0.054647,7.63,0.28
0.057179,7.63,0.27
0.060943,7.63,0.26
0.063457,7.63,0.27
0.067266,7.65,0.27
0.069753,7.65,0.28
0.072279,7.65,0.27
0.076064,7.65,0.27
0.078626,7.6,0.27
0.081138,7.56,0.27
0.084852,7.53,0.28
0.087378,7.56,0.27
0.091181,7.53,0.28
0.093648,7.47,0.28
0.096153,7.47,0.28
0.099946,7.41,0.28
0.102461,7.45,0.28
0.106254,7.45,0.29
0.108763,7.45,0.28
0.11128,7.47,0.3
0.115016,7.53,0.29
0.117572,7.53,0.29
0.121399,7.5,0.28
0.123837,7.56,0.3
0.126371,7.56,0.29
0.130223,7.6,0.29
0.132713,7.6,0.3
0.135239,7.63,0.29
0.138911,7.63,0.29
0.141418,7.65,0.3
0.145214,7.65,0.29
0.147711,7.68,0.29
0.150248,7.71,0.3
0.154079,7.76,0.29
0.156524,7.71,0.29
0.160317,7.76,0.29
0.162836,7.79,0.29
0.16533,7.71,0.28
0.169143,7.76,0.28
0.171638,7.79,0.28
0.174135,7.82,0.28
0.177919,7.82,0.28
0.180474,7.82,0.27
0.184282,7.82,0.28
0.186766,7.84,0.27
0.189206,7.87,0.27
0.192963,7.84,0.27
0.195493,7.91,0.28
0.199294,7.91,0.27
0.201799,7.91,0.27
0.204319,7.87,0.26
0.208198,7.91,0.26
0.21067,7.87,0.26
0.213097,7.91,0.25
0.216884,7.94,0.25
0.21939,7.91,0.25
0.22317,7.94,0.24
0.225687,7.94,0.24
0.228235,7.94,0.23
