Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.68,0.4
0.003625,7.68,0.4
0.006533,7.65,0.4
0.01227,7.65,0.4
0.015289,7.65,0.4
0.018504,7.65,0.41
0.020779,7.65,0.41
0.022899,7.68,0.39
0.025124,7.65,0.39
0.027708,7.68,0.41
0.030127,7.65,0.42
0.032413,7.65,0.38
0.034627,7.68,0.41
0.036781,7.71,0.42
0.038773,7.65,0.4
0.040711,7.65,0.4
0.042676,7.63,0.4
0.044704,7.68,0.41
0.046679,7.63,0.39
0.04879,7.68,0.4
0.05081,7.65,0.4
0.052903,7.68,0.4
0.054954,7.71,0.4
0.056992,7.65,0.38
0.059803,7.68,0.38
0.062966,7.65,0.41
0.065408,7.68,0.4
0.067925,7.68,0.39
0.07165,7.71,0.4
0.074156,7.68,0.39
0.076667,7.68,0.4
0.08044,7.71,0.39
0.08298,7.68,0.39
0.086806,7.71,0.36
0.089301,7.71,0.4
0.091812,7.68,0.39
0.095606,7.71,0.4
0.098098,7.76,0.39
0.101932,7.76,0.39
0.104386,7.76,0.39
0.106921,7.76,0.4
0.110776,7.79,0.42
0.113391,7.79,0.4
0.115872,7.79,0.39
0.119585,7.79,0.39
0.122105,7.76,0.37
0.125941,7.71,0.38
0.128442,7.71,0.38
0.130976,7.68,0.37
0.134762,7.68,0.39
0.137288,7.71,0.37
0.139807,7.76,0.4
0.143578,7.79,0.39
0.146117,7.79,0.4
0.149938,7.79,0.4
0.152457,7.71,0.38
0.154977,7.71,0.37
0.158795,7.71,0.38
0.161357,7.71,0.38
0.163881,7.68,0.39
0.167704,7.68,0.38
0.170202,7.68,0.39
0.172746,7.71,0.39
0.176536,7.71,0.39
0.179036,7.71,0.37
0.182849,7.76,0.36
0.185355,7.71,0.37
0.187868,7.71,0.37
0.191699,7.68,0.38
0.19419,7.71,0.38
0.196727,7.71,0.38
0.200535,7.71,0.36
0.203238,7.71,0.37
0.206942,7.71,0.36
0.209381,7.71,0.37
0.211962,7.68,0.38
0.215755,7.71,0.37
0.218303,7.76,0.37
0.22079,7.71,0.36
0.224652,7.76,0.38
0.227076,7.71,0.34
0.230873,7.68,0.36
0.233428,7.68,0.37
0.235911,7.68,0.37
0.239732,7.71,0.39
0.242261,7.71,0.36
0.244747,7.71,0.36
0.248545,7.71,0.34
0.251076,7.68,0.38
0.254857,7.71,0.37
0.257403,7.68,0.34
0.259887,7.68,0.35
0.263734,7.71,0.34
0.266285,7.71,0.36
0.268777,7.71,0.36
0.272557,7.71,0.35
0.275068,7.71,0.36
0.278909,7.76,0.35
0.28137,7.76,0.36
0.284033,7.76,0.34
0.287709,7.76,0.35
0.290193,7.79,0.35
0.292704,7.79,0.35
0.29651,7.82,0.35
0.299036,7.79,0.33
0.302847,7.82,0.32
0.305339,7.79,0.34
0.307828,7.84,0.33
0.311607,7.82,0.33
0.31415,7.82,0.34
0.317947,7.84,0.34
0.32046,7.82,0.33
0.322983,7.84,0.31
0.326778,7.87,0.32
0.329263,7.87,0.32
0.3318,7.91,0.33
0.335579,7.94,0.32
0.338105,7.91,0.31
0.341888,7.94,0.31
0.344392,7.94,0.3
0.346903,7.97,0.31
0.35069,7.97,0.3
0.353195,7.94,0.31
0.355701,8,0.3
0.359478,8,0.29
0.362006,8,0.29
