Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,3.95,0.04
0.002545,3.95,0.04
0.004993,3.95,0.04
0.008082,3.95,0.04
0.010577,3.95,0.04
0.013199,3.95,0.04
0.015243,3.95,0.05
0.017196,3.98,0.04
0.019187,3.98,0.04
0.02125,3.95,0.04
0.02324,3.98,0.05
0.02525,3.95,0.04
0.027238,3.95,0.04
0.029303,3.98,0.05
0.031372,3.98,0.05
0.0334,3.98,0.04
0.035384,3.95,0.04
0.037416,3.95,0.05
0.03965,3.95,0.04
0.043557,3.95,0.04
0.045721,3.95,0.05
0.048509,3.95,0.04
0.050974,3.98,0.04
0.053392,3.98,0.04
0.057151,3.98,0.05
0.059649,4.01,0.05
0.063763,4.01,0.04
0.066086,4.04,0.04
0.068485,4.04,0.04
0.072269,4.04,0.04
0.074751,4.01,0.04
0.078739,4.01,0.04
0.081169,3.98,0.05
0.083557,3.95,0.05
0.087554,3.95,0.05
0.08981,3.93,0.05
0.092432,3.93,0.05
0.096289,3.93,0.04
0.098716,3.89,0.04
0.102502,3.89,0.04
0.104894,3.89,0.04
0.107421,3.86,0.05
0.111403,3.83,0.04
0.113747,3.83,0.05
0.117567,3.83,0.05
0.119996,3.83,0.04
0.122478,3.8,0.05
0.126434,3.77,0.05
0.128771,3.77,0.05
0.132618,3.77,0.05
0.135189,3.77,0.04
0.13753,3.74,0.04
0.141271,3.77,0.04
0.1438,3.77,0.04
0.146291,3.77,0.05
0.15004,3.8,0.05
0.152861,3.77,0.04
0.156814,3.8,0.05
0.159255,3.8,0.04
0.162732,3.83,0.04
0.164987,3.83,0.05
0.168722,3.83,0.04
0.171132,3.83,0.05
0.17366,3.83,0.04
0.177398,3.83,0.04
0.179848,3.83,0.05
0.182427,3.83,0.05
0.186139,3.83,0.05
0.188643,3.83,0.04
0.192447,3.83,0.04
0.19508,3.86,0.04
0.197565,3.86,0.05
0.201183,3.86,0.04
0.203599,3.86,0.04
0.207414,3.83,0.04
0.209852,3.86,0.04
0.212391,3.86,0.04
0.216194,3.86,0.05
0.218702,3.86,0.05
0.222555,3.83,0.05
0.225025,3.83,0.04
0.227445,3.83,0.05
0.23161,3.83,0.05
0.233778,3.83,0.05
0.237523,3.83,0.05
0.240001,3.8,0.04
0.242503,3.8,0.05
0.246358,3.77,0.05
0.248923,3.77,0.05
0.2514,3.77,0.05
0.255176,3.77,0.04
0.25772,3.77,0.05
0.261543,3.77,0.05
0.264086,3.77,0.05
0.266614,3.74,0.05
0.27037,3.74,0.05
0.272885,3.74,0.05
0.275407,3.74,0.05
0.279176,3.74,0.05
0.281774,3.74,0.05
0.285497,3.71,0.04
0.288007,3.74,0.05
0.290522,3.74,0.05
0.294349,3.74,0.05
0.296871,3.74,0.05
0.299454,3.71,0.05
0.303169,3.71,0.05
0.305674,3.71,0.05
0.309478,3.71,0.05
0.311991,3.68,0.05
0.314503,3.68,0.05
0.318018,3.68,0.05
0.320522,3.65,0.05
0.324296,3.65,0.05
0.326819,3.65,0.06
0.329314,3.62,0.05
0.333099,3.62,0.06
0.33563,3.62,0.06
0.339406,3.62,0.05
0.341886,3.62,0.06
0.344401,3.58,0.06
0.348289,3.58,0.06
0.350739,3.58,0.06
0.354539,3.55,0.06
0.357031,3.58,0.06
0.359575,3.58,0.06
0.363321,3.58,0.06
0.365929,3.55,0.06
0.368352,3.55,0.06
0.372074,3.53,0.07
0.374579,3.53,0.07
0.378395,3.53,0.07
0.380911,3.47,0.07
0.38337,3.47,0.07
0.387179,3.47,0.07
0.389654,3.47,0.07
0.393388,3.43,0.08
0.396157,3.4,0.08
0.398638,3.43,0.08
0.402318,3.37,0.08
0.404843,3.37,0.08
0.407359,3.37,0.08
0.411174,3.35,0.09
0.413729,3.31,0.09
0.417457,3.31,0.09
0.419976,3.31,0.1
0.422484,3.28,0.1
0.426304,3.25,0.1
0.428844,3.25,0.1
0.432633,3.25,0.11
0.435103,3.25,0.11
0.437615,3.19,0.11
0.441371,3.19,0.11
0.443919,3.19,0.11
0.446398,3.19,0.12
0.450233,3.16,0.12
0.452949,3.16,0.13
0.456556,3.12,0.13
0.459163,3.12,0.13
0.461667,3.12,0.14
0.465488,3.12,0.14
0.468059,3.12,0.14
0.470448,3.08,0.15
0.474195,3.08,0.15
0.476952,3.08,0.15
0.480514,3.08,0.16
