Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.71,0.08
0.006856,7.71,0.08
0.010637,7.71,0.08
0.016851,7.76,0.08
0.023426,7.76,0.08
0.027046,7.76,0.08
0.029188,7.76,0.08
0.031503,7.76,0.08
0.033763,7.76,0.08
0.036114,7.76,0.08
0.038405,7.71,0.08
0.040468,7.71,0.08
0.042867,7.76,0.08
0.045255,7.76,0.08
0.04748,7.76,0.08
0.049809,7.76,0.08
0.052179,7.79,0.08
0.054383,7.79,0.08
0.056578,7.82,0.08
0.058607,7.79,0.08
0.060654,7.84,0.08
0.062739,7.82,0.08
0.064762,7.84,0.08
0.066781,7.84,0.08
0.068869,7.84,0.08
0.071013,7.82,0.08
0.073136,7.82,0.08
0.0752,7.76,0.08
0.077216,7.76,0.08
0.079284,7.71,0.08
0.081368,7.68,0.08
0.083406,7.68,0.08
0.086482,7.68,0.09
0.088948,7.65,0.08
0.091439,7.63,0.08
0.095233,7.63,0.09
0.097748,7.6,0.09
0.101535,7.56,0.09
0.104025,7.53,0.09
0.106615,7.5,0.09
0.110365,7.5,0.09
0.112904,7.47,0.09
0.116698,7.45,0.09
0.119163,7.47,0.1
0.121692,7.45,0.1
0.125457,7.45,0.1
0.127974,7.47,0.1
0.130508,7.45,0.1
0.13429,7.47,0.1
0.136987,7.47,0.1
0.140622,7.47,0.11
0.143124,7.47,0.1
0.14566,7.5,0.11
0.149661,7.47,0.11
0.151912,7.47,0.11
0.155783,7.47,0.11
0.158028,7.47,0.11
0.160547,7.47,0.11
0.16439,7.5,0.11
0.166847,7.5,0.11
0.170834,7.5,0.12
0.173194,7.5,0.12
0.175717,7.5,0.12
0.179661,7.5,0.12
0.181999,7.47,0.12
0.184549,7.45,0.13
0.188393,7.45,0.13
0.190876,7.41,0.13
0.193487,7.41,0.13
0.19718,7.41,0.13
0.199689,7.38,0.13
0.203622,7.38,0.14
0.205998,7.38,0.14
0.208542,7.35,0.14
0.21228,7.32,0.14
0.214816,7.27,0.15
0.218784,7.27,0.15
0.221076,7.27,0.16
0.224636,7.24,0.16
0.227321,7.22,0.16
0.229672,7.19,0.17
0.233529,7.16,0.17
0.236224,7.16,0.18
0.239818,7.09,0.18
0.242371,7.09,0.19
0.244972,7.06,0.19
0.248667,7.06,0.19
0.251296,7.04,0.2
0.25392,7.01,0.2
0.2576,7.04,0.21
0.260475,7.01,0.21
0.263853,7.01,0.22
0.266392,6.97,0.22
0.268634,6.97,0.23
0.272425,7.01,0.23
0.275113,7.01,0.24
0.277419,7.01,0.25
0.281322,7.04,0.25
0.283772,7.01,0.25
0.287532,7.04,0.25
0.290303,7.01,0.26
0.292468,7.04,0.26
0.296372,7.01,0.27
0.298911,7.04,0.27
0.302588,7.01,0.27
0.305175,7.06,0.29
0.307633,7.04,0.28
0.311395,7.06,0.29
0.314122,7.06,0.3
0.316399,7.09,0.3
0.320193,7.09,0.3
0.322885,7.16,0.32
0.326487,7.12,0.32
0.329128,7.16,0.32
0.331546,7.16,0.33
0.335224,7.16,0.32
0.337948,7.16,0.32
0.341596,7.16,0.32
0.344113,7.16,0.32
0.346846,7.19,0.32
0.35032,7.19,0.33
0.353069,7.22,0.34
0.355436,7.22,0.33
0.359156,7.22,0.34
0.361896,7.24,0.35
0.365292,7.24,0.36
0.367756,7.32,0.37
0.37162,7.32,0.36
0.374081,7.27,0.36
0.376671,7.35,0.38
0.380452,7.32,0.38
0.38291,7.35,0.37
0.385447,7.38,0.38
0.389202,7.38,0.38
0.391775,7.38,0.39
0.395538,7.35,0.39
0.398027,7.38,0.37
0.400565,7.41,0.39
0.404321,7.41,0.39
0.406825,7.45,0.39
0.410651,7.41,0.39
0.413139,7.47,0.39
0.415631,7.5,0.39
0.419419,7.5,0.4
0.42193,7.5,0.4
0.424462,7.5,0.4
0.428221,7.5,0.4
0.430733,7.53,0.41
0.434516,7.56,0.41
0.437092,7.56,0.42
0.439594,7.6,0.43
0.443349,7.6,0.41
0.445851,7.6,0.42
0.449636,7.63,0.44
0.45218,7.6,0.41
0.454654,7.56,0.42
0.458419,7.53,0.42
0.460919,7.6,0.42
0.463463,7.6,0.44
0.46724,7.56,0.41
0.469754,7.56,0.43
0.473527,7.53,0.42
0.47602,7.56,0.42
0.478543,7.56,0.41
0.482312,7.56,0.44
0.484837,7.56,0.42
0.488613,7.6,0.42
0.491117,7.6,0.44
0.493695,7.63,0.44
0.497574,7.6,0.44
0.499942,7.63,0.44
0.502441,7.65,0.44
0.506363,7.65,0.44
0.508749,7.65,0.43
0.512531,7.65,0.43
0.515012,7.68,0.43
0.517546,7.71,0.43
0.521331,7.65,0.44
0.523841,7.65,0.43
0.527641,7.68,0.42
0.53012,7.68,0.45
0.532632,7.68,0.45
0.536465,7.71,0.45
0.538904,7.76,0.45
0.541435,7.79,0.47
0.545311,7.76,0.46
0.547705,7.76,0.45
0.551559,7.82,0.45
0.553986,7.79,0.46
0.556502,7.79,0.46
0.560266,7.76,0.44
0.56278,7.71,0.44
0.566584,7.76,0.43
0.569067,7.71,0.44
0.571651,7.68,0.46
0.575452,7.68,0.44
0.577858,7.71,0.44
0.581649,7.68,0.45
0.584197,7.76,0.45
0.586728,7.68,0.45
0.590459,7.71,0.47
0.593225,7.68,0.44
0.5956,7.68,0.45
0.59931,7.65,0.44
0.602085,7.63,0.46
0.605538,7.63,0.45
0.608199,7.6,0.43
0.610705,7.63,0.46
0.614438,7.63,0.46
0.617077,7.6,0.43
0.620628,7.63,0.48
0.623209,7.65,0.47
0.625774,7.65,0.45
0.629482,7.68,0.47
0.63211,7.65,0.43
0.63575,7.65,0.46
0.638295,7.63,0.43
0.641005,7.68,0.49
0.6446,7.63,0.43
0.64726,7.68,0.49
0.649769,7.68,0.47
0.65346,7.68,0.48
0.65611,7.71,0.53
0.659726,7.63,0.48
0.662261,7.76,0.47
0.66499,7.68,0.48
0.668608,7.71,0.49
0.671211,7.71,0.49
0.673778,7.76,0.47
0.677503,7.71,0.48
0.680116,7.71,0.5
0.683728,7.79,0.5
0.686267,7.76,0.48
0.688936,7.76,0.47
0.692567,7.76,0.49
0.695209,7.79,0.47
0.697741,7.84,0.49
0.701499,7.82,0.47
0.704121,7.82,0.48
0.706526,7.76,0.48
0.710318,7.84,0.47
0.713043,7.87,0.48
0.716602,7.82,0.44
0.719201,7.82,0.45
0.721727,7.82,0.49
0.725443,7.82,0.47
0.728131,7.79,0.47
0.730547,7.76,0.51
0.734291,7.71,0.5
0.736859,7.68,0.5
0.740516,7.68,0.5
0.743129,7.71,0.5
0.745641,7.71,0.47
0.749486,7.68,0.49
0.752167,7.68,0.5
0.755719,7.63,0.49
0.758253,7.63,0.48
0.760711,7.63,0.49
0.764387,7.65,0.44
0.766899,7.6,0.49
0.770696,7.63,0.5
0.773208,7.6,0.49
0.775684,7.63,0.49
0.779531,7.65,0.48
0.78203,7.68,0.48
0.784534,7.65,0.52
0.788294,7.65,0.5
0.790811,7.63,0.48
0.794639,7.65,0.5
0.797073,7.65,0.44
0.799616,7.71,0.49
0.803341,7.68,0.49
0.805854,7.65,0.5
0.809588,7.68,0.53
0.812111,7.68,0.5
0.814619,7.71,0.49
0.818412,7.65,0.5
0.820928,7.68,0.51
0.823423,7.68,0.47
0.827215,7.68,0.49
0.829715,7.71,0.5
0.833518,7.76,0.52
0.836006,7.65,0.49
0.838525,7.71,0.51
0.842292,7.71,0.47
0.844799,7.68,0.49
0.848591,7.65,0.47
0.851157,7.68,0.55
0.853655,7.68,0.48
0.857477,7.71,0.52
0.860097,7.71,0.53
0.862458,7.71,0.45
0.866211,7.63,0.49
0.868724,7.68,0.49
0.872629,7.65,0.51
0.875004,7.71,0.51
0.877497,7.6,0.48
0.88126,7.68,0.54
0.883752,7.63,0.49
0.887572,7.65,0.5
0.890053,7.71,0.53
0.892574,7.63,0.51
0.896338,7.65,0.51
0.898843,7.65,0.49
0.902682,7.68,0.52
0.905178,7.6,0.51
0.907646,7.63,0.52
0.911448,7.63,0.5
0.913941,7.65,0.53
0.916464,7.65,0.51
0.920313,7.68,0.5
0.922752,7.71,0.5
0.926536,7.65,0.55
0.929041,7.71,0.53
0.931594,7.68,0.52
0.935442,7.71,0.5
0.937976,7.68,0.52
0.941656,7.68,0.5
0.944137,7.65,0.49
0.946613,7.68,0.54
0.950392,7.65,0.5
0.952987,7.71,0.51
0.955461,7.68,0.5
0.959197,7.71,0.47
