Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,0.45762,1.93682,2.66836,0.45439,0.8959,0.82822,0.95391,0.11924
0.004,0.45762,1.93682,2.68447,0.45117,0.89268,0.82822,0.95713,0.11924
0.008,0.44473,1.94326,2.6877,0.45439,0.88301,0.825,0.95713,0.11924
0.012,0.45439,1.94971,2.69736,0.45439,0.88945,0.825,0.95713,0.11924
0.016,0.45762,1.91426,2.6877,0.45117,0.89912,0.81533,0.95391,0.11924
0.02,0.45439,1.90781,2.69092,0.45439,0.90234,0.82822,0.96035,0.11924
0.024,0.46084,1.92715,2.69414,0.45117,0.89912,0.82822,0.96357,0.11924
0.028,0.45439,1.94326,2.69736,0.45439,0.89268,0.82822,0.96035,0.11924
0.032,0.45762,1.94004,2.69736,0.45762,0.88623,0.83145,0.96035,0.12246
0.036,0.44473,1.95615,2.70059,0.45762,0.88301,0.825,0.96035,0.12246
0.04,0.43184,1.95615,2.69736,0.45762,0.87656,0.825,0.97002,0.13213
0.044,0.45762,1.92715,2.70381,0.45762,0.90234,0.83467,0.96357,0.12246
0.048,0.46084,1.94648,2.70703,0.45762,0.88945,0.83145,0.96357,0.12246
0.052,0.44795,1.96904,2.71025,0.46084,0.88301,0.82822,0.96357,0.12246
0.056,0.43184,1.96904,2.70381,0.46084,0.90234,0.83467,0.96357,0.12246
0.06,0.46084,1.96904,2.69414,0.46084,0.89912,0.83789,0.9668,0.12246
0.064,0.43506,1.98193,2.70703,0.46406,0.90557,0.83789,0.9668,0.12246
0.068,0.46406,1.97871,2.69736,0.46084,0.90557,0.82178,0.96035,0.12568
0.072,0.46729,1.97549,2.7167,0.46084,0.90557,0.84111,0.97002,0.12568
0.076,0.46406,1.97549,2.71992,0.46084,0.90557,0.84434,0.97002,0.12246
0.08,0.46406,1.96904,2.71992,0.46406,0.90557,0.825,0.96357,0.12246
0.084,0.46406,1.98193,2.72314,0.46084,0.8959,0.84111,0.97002,0.12568
0.088,0.45117,2.00771,2.71992,0.46406,0.89912,0.84111,0.9668,0.12568
0.092,0.46406,1.98516,2.72314,0.46406,0.90557,0.83145,0.97002,0.12568
0.096,0.46406,1.97871,2.72314,0.46406,0.90879,0.84434,0.97002,0.12568
0.1,0.46729,2.02061,2.72959,0.46729,0.90557,0.84756,0.97324,0.12568
0.104,0.46406,2.01738,2.72637,0.46406,0.90879,0.85078,0.97002,0.12246
0.108,0.46729,2.02061,2.71025,0.46406,0.90557,0.85078,0.97002,0.12568
0.112,0.46729,2.02383,2.72637,0.46729,0.90557,0.85078,0.97324,0.12568
0.116,0.45439,2.04316,2.73281,0.46729,0.89268,0.84756,0.97324,0.12891
0.12,0.47051,2.0335,2.7167,0.46729,0.90879,0.854,0.97324,0.12568
