Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,7.68,0.1
0.003229,7.68,0.1
0.006312,7.68,0.1
0.009914,7.65,0.1
0.012829,7.65,0.1
0.015911,7.63,0.1
0.01828,7.65,0.1
0.020551,7.63,0.1
0.022787,7.63,0.1
0.025118,7.63,0.1
0.027256,7.63,0.1
0.029463,7.65,0.1
0.031577,7.63,0.1
0.033643,7.63,0.11
0.035722,7.6,0.1
0.037803,7.63,0.11
0.03989,7.63,0.1
0.041912,7.65,0.1
0.04396,7.63,0.11
0.045961,7.63,0.11
0.04798,7.63,0.11
0.049972,7.65,0.11
0.051975,7.63,0.11
0.053923,7.65,0.11
0.055908,7.63,0.11
0.057941,7.63,0.11
0.060941,7.63,0.11
0.063415,7.63,0.11
0.065917,7.63,0.11
0.069688,7.63,0.11
0.072219,7.63,0.11
0.07601,7.6,0.12
0.0785,7.6,0.11
0.081158,7.6,0.12
0.084941,7.6,0.11
0.087379,7.6,0.12
0.089921,7.6,0.12
0.093691,7.6,0.12
0.09621,7.6,0.12
0.099999,7.63,0.12
0.1025,7.6,0.12
0.105094,7.6,0.12
0.108883,7.6,0.12
0.111457,7.56,0.12
0.114119,7.6,0.13
0.118186,7.56,0.12
0.120539,7.56,0.12
0.12282,7.6,0.12
0.126617,7.6,0.13
0.129277,7.6,0.13
0.13291,7.6,0.12
0.135447,7.63,0.13
0.13832,7.63,0.13
0.141853,7.63,0.13
0.144351,7.63,0.13
0.148074,7.63,0.13
0.150539,7.63,0.13
0.15321,7.63,0.13
0.15694,7.63,0.13
0.1595,7.63,0.13
0.162198,7.65,0.13
0.165837,7.6,0.13
0.168426,7.63,0.14
0.171011,7.6,0.13
0.174635,7.6,0.14
0.177336,7.63,0.13
0.180967,7.6,0.13
0.183412,7.6,0.13
0.186217,7.56,0.14
0.189762,7.6,0.14
0.192391,7.6,0.14
0.196093,7.6,0.14
0.198577,7.6,0.14
0.201289,7.6,0.14
0.204926,7.6,0.15
0.207427,7.53,0.14
0.21015,7.56,0.15
0.213789,7.53,0.14
0.216355,7.56,0.15
0.22011,7.53,0.14
0.222382,7.5,0.15
0.225033,7.5,0.15
0.228585,7.5,0.15
0.231173,7.5,0.15
0.234904,7.5,0.16
0.237471,7.47,0.16
0.240041,7.47,0.16
0.243762,7.45,0.16
0.246248,7.47,0.16
0.250084,7.45,0.16
0.252592,7.41,0.16
0.255132,7.41,0.16
0.258916,7.41,0.17
0.261383,7.41,0.17
0.264027,7.38,0.18
0.267768,7.38,0.17
0.2703,7.38,0.18
0.272795,7.38,0.18
0.276552,7.38,0.18
0.279079,7.38,0.18
0.282851,7.38,0.19
0.285377,7.38,0.18
0.287896,7.35,0.19
0.291651,7.38,0.19
0.294184,7.41,0.2
0.29796,7.41,0.19
0.300462,7.41,0.2
0.302996,7.41,0.19
0.306854,7.41,0.2
0.309292,7.38,0.2
0.311786,7.41,0.21
0.315617,7.41,0.21
0.318147,7.45,0.21
0.321903,7.45,0.21
0.324405,7.47,0.21
0.326933,7.45,0.21
0.330717,7.5,0.21
0.333239,7.47,0.21
0.337025,7.47,0.21
0.339553,7.45,0.21
0.342064,7.5,0.21
0.345845,7.47,0.22
0.348374,7.47,0.22
0.350895,7.47,0.22
0.354659,7.5,0.22
0.357195,7.5,0.22
0.360981,7.5,0.22
0.363511,7.5,0.22
0.366053,7.5,0.22
0.369824,7.5,0.22
0.372356,7.5,0.23
0.374854,7.5,0.23
0.378635,7.53,0.23
0.381147,7.53,0.23
0.384949,7.53,0.23
0.387445,7.53,0.23
0.389964,7.5,0.23
0.393768,7.53,0.24
