Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,1.64678,2.46855,2.05283,0.27715,0.796,1.00225,0.78633,0.4834
0.004,1.65967,2.48789,2.05283,0.27715,0.79922,1.02158,0.78633,0.4834
0.008,1.65,2.49111,2.03994,0.27393,0.796,1.02158,0.78955,0.4834
0.012,1.65322,2.50078,2.05283,0.27715,0.796,1.02158,0.78633,0.4834
0.016,1.65645,2.48467,2.04961,0.27393,0.78955,1.01514,0.78633,0.4834
0.02,1.63066,2.51367,2.04639,0.27393,0.796,1.01836,0.78633,0.4834
0.024,1.65322,2.48789,2.04639,0.27393,0.796,1.01836,0.78311,0.4834
0.028,1.65645,2.48467,2.04316,0.27393,0.77021,1.01514,0.78311,0.4834
0.032,1.62422,2.51045,2.03994,0.27393,0.76055,1.01191,0.78311,0.4834
0.036,1.59521,2.49756,2.03672,0.27393,0.80244,1.01836,0.78311,0.48018
0.04,1.66289,2.49756,2.02705,0.27393,0.79922,1.01836,0.78311,0.48018
0.044,1.66611,2.48467,2.03994,0.27393,0.796,1.01514,0.78311,0.48018
0.048,1.65322,2.48467,2.03994,0.27393,0.77666,1.01514,0.78311,0.4834
0.052,1.65645,2.48467,2.03994,0.27393,0.79277,1.01836,0.78311,0.4834
0.056,1.65967,2.50723,2.03994,0.27715,0.80244,1.01836,0.78311,0.48018
0.06,1.65967,2.49434,2.0335,0.27393,0.79922,1.01836,0.78311,0.48018
0.064,1.65645,2.49111,2.02705,0.27393,0.79922,1.01836,0.78311,0.48018
0.068,1.65645,2.49756,2.03994,0.27393,0.796,1.01836,0.78311,0.4834
0.072,1.65645,2.49111,2.04316,0.27393,0.79277,1.01836,0.78311,0.4834
0.076,1.65967,2.48145,2.03994,0.27393,0.75732,1.01191,0.78311,0.48018
0.08,1.59844,2.50078,2.03994,0.27393,0.74443,1.00869,0.78633,0.48018
0.084,1.59521,2.50078,2.03672,0.27393,0.74121,1.00869,0.78311,0.48018
0.088,1.65967,2.46855,2.03994,0.27393,0.79922,1.00225,0.77666,0.48018
0.092,1.66289,2.50078,2.0335,0.27393,0.80244,1.01836,0.78311,0.48018
0.096,1.66289,2.49756,2.02383,0.27393,0.80244,1.01836,0.77988,0.48018
0.1,1.65967,2.48789,2.02383,0.27393,0.79922,1.01836,0.77988,0.48018
0.104,1.66289,2.49434,2.03027,0.27393,0.79922,1.01836,0.77988,0.48018
0.108,1.66934,2.48145,2.02705,0.27393,0.79922,1.01514,0.77988,0.48018
0.112,1.66611,2.48145,2.02705,0.2707,0.79922,1.01514,0.77666,0.48018
0.116,1.65645,2.48789,2.01416,0.2707,0.79922,1.01191,0.77666,0.48018
0.12,1.65645,2.49434,2.02383,0.27393,0.796,1.01514,0.77666,0.48018
0.124,1.65967,2.49111,2.01416,0.2707,0.79922,1.01514,0.77666,0.48018
0.128,1.65322,2.49434,2.01738,0.2707,0.796,1.01191,0.77666,0.48018
0.132,1.65322,2.48467,2.01416,0.2707,0.79277,1.01514,0.77344,0.48018
0.136,1.65,2.48145,2.01416,0.2707,0.78955,1.01191,0.77344,0.48018
0.14,1.65,2.48145,2.01094,0.2707,0.78633,1.01514,0.77021,0.47695
0.144,1.58232,2.49111,2.00771,0.2707,0.796,1.01191,0.77021,0.47695
0.148,1.64678,2.48145,1.99805,0.2707,0.79277,0.99902,0.76699,0.47695
0.152,1.64355,2.45889,2.00449,0.2707,0.78955,0.9958,0.76699,0.47695
0.156,1.65322,2.475,2.00127,0.2707,0.73477,1.01191,0.76699,0.47695
0.16,1.64355,2.48145,1.9916,0.2707,0.79277,1.00869,0.76377,0.47695
0.164,1.64033,2.48145,1.9916,0.2707,0.78955,1.00869,0.76377,0.47695
0.168,1.64033,2.47822,1.98516,0.2707,0.78955,1.00547,0.76055,0.47695
