Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.41699,2.68125,1.74023,0.16113,0.9668,1.03447,0.77021,0.04834
0.004,2.42344,2.6748,1.74346,0.16436,0.96035,1.03447,0.77021,0.04834
0.008,2.39121,2.67158,1.74346,0.16113,0.94746,1.02803,0.77021,0.04834
0.012,2.38477,2.68447,1.74346,0.16436,0.93779,1.03125,0.77344,0.04834
0.016,2.3751,2.67803,1.74668,0.16113,0.92168,1.02803,0.77344,0.04834
0.02,2.44922,2.67158,1.74346,0.16113,0.96035,1.0377,0.77344,0.04834
0.024,2.42988,2.6748,1.7499,0.16436,0.95391,1.0377,0.77344,0.04834
0.028,2.42988,2.69414,1.75312,0.16436,0.94102,1.03447,0.77344,0.04834
0.032,2.38154,2.66514,1.75312,0.16436,0.94746,1.02803,0.77021,0.04834
0.036,2.40088,2.69414,1.74668,0.16113,0.96357,1.04092,0.77021,0.04834
0.04,2.35576,2.6748,1.75635,0.16436,0.96035,1.04092,0.77344,0.04834
0.044,2.36543,2.68125,1.75635,0.16436,0.95713,1.04092,0.77344,0.04834
0.048,2.3751,2.67803,1.75635,0.16436,0.95391,1.0377,0.77344,0.04834
0.052,2.31064,2.67803,1.75635,0.16436,0.92813,1.03125,0.77344,0.04834
0.056,2.37188,2.6748,1.75635,0.16113,0.95068,1.03125,0.77021,0.04834
0.06,2.42988,2.66514,1.75635,0.16436,0.96357,1.0248,0.77021,0.04834
0.064,2.39766,2.65547,1.75635,0.16436,0.96035,1.01514,0.77021,0.05156
0.068,2.4041,2.68447,1.75635,0.16113,0.95391,1.03447,0.77344,0.04834
0.072,2.41377,2.67803,1.75312,0.16436,0.96357,1.04092,0.77344,0.04834
0.076,2.36221,2.6748,1.74668,0.16436,0.96035,1.04092,0.77344,0.04834
0.08,2.42988,2.68125,1.75312,0.16436,0.96035,1.0377,0.77344,0.04834
0.084,2.42988,2.68125,1.75312,0.16436,0.95713,1.0377,0.77021,0.04834
0.088,2.3751,2.68125,1.75312,0.16436,0.9249,1.03125,0.77344,0.04834
0.092,2.32354,2.67158,1.7499,0.16113,0.96357,1.0248,0.77021,0.04834
0.096,2.4041,2.65547,1.75312,0.16436,0.96035,1.02158,0.76699,0.04834
0.1,2.38154,2.6748,1.75312,0.16113,0.9668,1.04414,0.77344,0.04834
0.104,2.35898,2.6748,1.75312,0.16436,0.95713,1.0377,0.77344,0.04834
0.108,2.39121,2.66836,1.75312,0.16436,0.95068,1.02803,0.77021,0.04834
0.112,2.38799,2.65869,1.7499,0.16436,0.9249,1.03125,0.77344,0.04834
0.116,2.31709,2.66514,1.74668,0.16113,0.96357,1.0377,0.77021,0.04834
0.12,2.38799,2.66836,1.74346,0.16113,0.96035,1.04092,0.77344,0.04834
0.124,2.36543,2.67158,1.7499,0.16113,0.96035,1.0377,0.77344,0.04834
0.128,2.36543,2.69092,1.7499,0.16113,0.95713,1.0377,0.77021,0.04834
0.132,2.36221,2.6748,1.7499,0.16436,0.95391,1.0377,0.77021,0.04834
0.136,2.36865,2.6748,1.7499,0.16113,0.93779,1.03447,0.77344,0.04834
0.14,2.31064,2.68125,1.7499,0.16436,0.9249,1.03447,0.77344,0.04834
0.144,2.43311,2.6748,1.74346,0.16436,0.96357,1.04092,0.77021,0.04834
0.148,2.446,2.68447,1.7499,0.16436,0.95068,1.0377,0.77344,0.04834
0.152,2.39121,2.6877,1.7499,0.16436,0.94102,1.03447,0.77344,0.05156
0.156,2.38477,2.68447,1.7499,0.16113,0.93135,1.03125,0.77344,0.04834
0.16,2.41699,2.66514,1.7499,0.16113,0.96357,1.0248,0.76699,0.04834
0.164,2.42344,2.69414,1.74346,0.16113,0.96357,1.0377,0.77021,0.04834
0.168,2.44922,2.6877,1.7499,0.16113,0.96035,1.04092,0.77344,0.04834
0.172,2.40732,2.67803,1.7499,0.16436,0.95391,1.0377,0.77344,0.04834
0.176,2.40088,2.68125,1.7499,0.16113,0.95391,1.03447,0.77021,0.04834
0.18,2.33965,2.67158,1.74668,0.16113,0.96357,1.04092,0.77344,0.04834
0.184,2.42988,2.6748,1.74023,0.16113,0.96357,1.0248,0.76699,0.04834
0.188,2.45566,2.65547,1.74668,0.16113,0.97002,1.04092,0.77344,0.04834
0.192,2.446,2.68125,1.7499,0.16436,0.9668,1.0377,0.77344,0.04834
