Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,1.94971,1.65645,0.825,0.13213,0.78311,0.67998,0.39639,0.04512
0.004,1.93359,1.66611,0.83145,0.13535,0.76699,0.67998,0.39639,0.04512
0.008,1.93037,1.66611,0.83467,0.13535,0.76377,0.67998,0.39961,0.04512
0.012,1.91426,1.66934,0.83789,0.13857,0.76055,0.67998,0.39961,0.04512
0.016,1.90459,1.67578,0.84111,0.13535,0.77344,0.68643,0.40605,0.04834
0.02,1.9207,1.68223,0.84756,0.13535,0.77021,0.68643,0.40605,0.04834
0.024,1.90137,1.68545,0.854,0.13857,0.75732,0.6832,0.40928,0.04512
0.028,1.8917,1.68545,0.854,0.13857,0.74766,0.6832,0.4125,0.04512
0.032,1.87881,1.68867,0.85723,0.13857,0.73799,0.6832,0.4125,0.04512
0.036,1.8917,1.68867,0.85723,0.13857,0.75732,0.68643,0.4125,0.04834
0.04,1.87881,1.70156,0.87012,0.13857,0.74766,0.68643,0.41572,0.04834
0.044,1.8627,1.70156,0.87334,0.13857,0.74443,0.68643,0.41895,0.04834
0.048,1.8627,1.70479,0.87979,0.1418,0.74121,0.68643,0.41895,0.04512
0.052,1.85303,1.70479,0.88301,0.1418,0.73154,0.6832,0.42217,0.04512
0.056,1.83369,1.69512,0.88301,0.13857,0.7251,0.67998,0.42539,0.04512
0.06,1.84014,1.69512,0.89268,0.1418,0.73477,0.68643,0.42861,0.04834
0.064,1.83369,1.70156,0.90557,0.1418,0.7251,0.6832,0.43184,0.05156
0.068,1.81758,1.69512,0.91201,0.1418,0.72188,0.67998,0.43184,0.04834
0.072,1.80469,1.68867,0.91523,0.1418,0.71221,0.67998,0.43506,0.04512
0.076,1.80469,1.67256,0.9249,0.1418,0.72188,0.67354,0.43828,0.04834
0.08,1.79824,1.68545,0.92813,0.14502,0.72188,0.67998,0.43828,0.04512
0.084,1.79824,1.66934,0.93135,0.1418,0.71865,0.6832,0.4415,0.04834
0.088,1.79502,1.66611,0.93457,0.14502,0.71221,0.67998,0.44473,0.04834
0.092,1.78535,1.66289,0.93779,0.14502,0.70898,0.67998,0.44473,0.04834
0.096,1.77246,1.64355,0.94424,0.1418,0.70898,0.67031,0.44795,0.04834
0.1,1.76924,1.63389,0.94746,0.14502,0.70576,0.67676,0.45117,0.04834
0.104,1.76279,1.64355,0.95068,0.1418,0.70254,0.67676,0.45117,0.04834
0.108,1.75635,1.63066,0.95068,0.14502,0.69609,0.67354,0.45117,0.04834
0.112,1.74346,1.61133,0.95068,0.14502,0.68965,0.67031,0.45439,0.04834
0.116,1.74346,1.621,0.95713,0.1418,0.68965,0.66709,0.45117,0.04834
0.12,1.74023,1.59521,0.95068,0.1418,0.69609,0.66064,0.45117,0.04834
0.124,1.73379,1.58555,0.95391,0.14502,0.69287,0.65742,0.45117,0.04834
0.128,1.73701,1.58555,0.95391,0.1418,0.69287,0.66709,0.45439,0.04834
0.132,1.72412,1.56943,0.95068,0.1418,0.6832,0.66387,0.45762,0.04834
0.136,1.71768,1.55654,0.94746,0.1418,0.68643,0.65742,0.45762,0.04834
0.14,1.71445,1.54365,0.94746,0.1418,0.6832,0.65742,0.46084,0.04834
0.144,1.70479,1.53398,0.94746,0.1418,0.67676,0.6542,0.47051,0.04834
0.148,1.69512,1.52754,0.94746,0.1418,0.67031,0.65098,0.45762,0.04512
0.152,1.679,1.48564,0.94102,0.1418,0.67031,0.63809,0.45439,0.04834
0.156,1.66934,1.46631,0.93779,0.1418,0.66709,0.63486,0.45762,0.04834
0.16,1.66611,1.44375,0.93457,0.1418,0.66709,0.63809,0.45439,0.04834
0.164,1.66611,1.4373,0.92813,0.13857,0.66387,0.63486,0.45439,0.04834
0.168,1.64678,1.39219,0.91523,0.13857,0.65742,0.61553,0.44795,0.04834
0.172,1.63711,1.37285,0.91201,0.13857,0.64131,0.61875,0.44795,0.04512
0.176,1.63711,1.35996,0.90557,0.13857,0.6542,0.61875,0.44473,0.04834
0.18,1.63066,1.34063,0.8959,0.13857,0.65098,0.6123,0.44473,0.04512
0.184,1.621,1.32129,0.89268,0.13857,0.63809,0.60908,0.4415,0.04512
0.188,1.59844,1.29551,0.87979,0.13535,0.64453,0.60264,0.43506,0.04512
0.192,1.60811,1.28584,0.87012,0.13535,0.64131,0.58975,0.43184,0.04512
0.196,1.60166,1.2665,0.86689,0.13213,0.64131,0.59297,0.42861,0.04834
0.2,1.60166,1.2665,0.86045,0.13213,0.63809,0.58975,0.42861,0.04512
0.204,1.58877,1.24395,0.84756,0.13213,0.63164,0.58652,0.41895,0.04512
0.208,1.58232,1.24072,0.84111,0.13213,0.63164,0.57686,0.41572,0.04834
0.212,1.58232,1.22783,0.82822,0.13213,0.62842,0.57363,0.4125,0.04512
0.216,1.5791,1.22139,0.82822,0.13213,0.62842,0.57041,0.4125,0.04512
0.22,1.57266,1.2085,0.82178,0.13213,0.6252,0.56396,0.40928,0.04512
0.224,1.55977,1.18594,0.80889,0.12891,0.61875,0.5543,0.40283,0.04512
0.228,1.5501,1.17949,0.80566,0.13213,0.6252,0.54785,0.39961,0.04512
0.232,1.56299,1.17305,0.79922,0.12891,0.6252,0.55107,0.39961,0.04512
0.236,1.55977,1.16338,0.796,0.12891,0.62197,0.54785,0.39639,0.04512
0.24,1.5501,1.15049,0.78633,0.12568,0.61553,0.54141,0.39316,0.04512
0.244,1.55332,1.15049,0.78311,0.12568,0.62197,0.54141,0.38994,0.04512
0.248,1.55332,1.1376,0.77666,0.12568,0.62197,0.53818,0.38994,0.04512
0.252,1.5501,1.13437,0.77666,0.12568,0.61875,0.53496,0.38994,0.04512
0.256,1.54688,1.13115,0.77344,0.12246,0.61553,0.53496,0.38672,0.04512
0.26,1.5501,1.12148,0.76699,0.12246,0.61553,0.53174,0.3835,0.04512
0.264,1.54688,1.11826,0.76377,0.12246,0.61553,0.52852,0.38027,0.04512
0.268,1.55977,1.11504,0.76377,0.12246,0.6252,0.52529,0.38027,0.04512
0.272,1.57266,1.12471,0.76055,0.12246,0.63164,0.53496,0.38027,0.04512
0.276,1.5791,1.12471,0.75732,0.12246,0.63164,0.53496,0.37705,0.04512
0.28,1.58232,1.12148,0.75732,0.12246,0.63164,0.53174,0.38027,0.04512
0.284,1.58232,1.12471,0.7541,0.11924,0.63164,0.53496,0.37705,0.04512
0.288,1.58555,1.12793,0.7541,0.12246,0.63164,0.53496,0.37705,0.04512
0.292,1.60166,1.12471,0.75088,0.11924,0.64453,0.53818,0.37705,0.04512
0.296,1.61133,1.13115,0.75088,0.11924,0.64453,0.53818,0.37383,0.04512
0.3,1.61777,1.13437,0.75088,0.11924,0.65098,0.54141,0.37383,0.04512
0.304,1.63389,1.14404,0.74766,0.11924,0.6542,0.54141,0.37383,0.04512
0.308,1.64033,1.14404,0.75088,0.11924,0.66709,0.5543,0.37383,0.04512
0.312,1.65322,1.15371,0.74121,0.11924,0.66709,0.54785,0.37383,0.04512
0.316,1.66934,1.16338,0.74121,0.11924,0.67354,0.55107,0.36738,0.04512
0.32,1.67578,1.1666,0.74121,0.11924,0.66709,0.54785,0.37061,0.04512
0.324,1.66934,1.1666,0.74121,0.11924,0.68643,0.5543,0.36738,0.04512
0.328,1.69189,1.17305,0.73477,0.11602,0.6832,0.5543,0.36738,0.04512
0.332,1.70479,1.18271,0.73799,0.11602,0.68965,0.5543,0.36738,0.04512
0.336,1.70801,1.18594,0.73799,0.11924,0.68965,0.55752,0.36416,0.04512
0.34,1.70479,1.18916,0.73799,0.11602,0.68643,0.55752,0.36416,0.04512
0.344,1.70479,1.18916,0.73477,0.11602,0.6832,0.5543,0.36416,0.04512
0.348,1.69512,1.18271,0.73477,0.11602,0.67676,0.55107,0.36416,0.04512
0.352,1.71123,1.18594,0.73154,0.11602,0.69287,0.55752,0.36094,0.04512
0.356,1.71768,1.19238,0.73154,0.11602,0.69287,0.55752,0.36738,0.04512
0.36,1.71445,1.19561,0.73154,0.11602,0.68965,0.55752,0.36416,0.04512
0.364,1.71445,1.19883,0.73154,0.11602,0.68643,0.55752,0.36094,0.04512
0.368,1.72412,1.19561,0.73154,0.11279,0.69932,0.55752,0.36094,0.04512
0.372,1.72734,1.21172,0.72832,0.11602,0.69609,0.56074,0.36094,0.04512
0.376,1.72412,1.20205,0.72832,0.11602,0.69287,0.56074,0.35771,0.04512
0.38,1.7209,1.20205,0.72832,0.11602,0.69287,0.55752,0.36094,0.04512
0.384,1.7209,1.19561,0.72832,0.11602,0.69932,0.5543,0.35771,0.04512
0.388,1.72412,1.19883,0.7251,0.11279,0.69609,0.55752,0.36094,0.04512
0.392,1.71445,1.19561,0.72832,0.11602,0.68643,0.56074,0.36094,0.04512
0.396,1.71445,1.19883,0.7251,0.11602,0.68643,0.55752,0.35771,0.04512
0.4,1.71445,1.19561,0.7251,0.11602,0.69609,0.55752,0.35771,0.04512
0.404,1.71768,1.19883,0.7251,0.11279,0.69609,0.56074,0.35771,0.04512
0.408,1.71445,1.19561,0.72832,0.11279,0.69609,0.56074,0.35771,0.04512
0.412,1.71768,1.20205,0.7251,0.11279,0.69609,0.55752,0.35771,0.04512
0.416,1.71768,1.20205,0.7251,0.11279,0.69287,0.56074,0.36094,0.04512
0.42,1.71123,1.20527,0.7251,0.11602,0.68643,0.56074,0.36094,0.04512
0.424,1.71768,1.21172,0.72188,0.11279,0.68965,0.56396,0.35771,0.04512
0.428,1.71445,1.20527,0.7251,0.11279,0.68643,0.56074,0.35771,0.04512
0.432,1.70479,1.21172,0.7251,0.11279,0.6832,0.56074,0.35771,0.04512
0.436,1.7209,1.21172,0.72188,0.11279,0.69932,0.56396,0.35771,0.04512
0.44,1.70479,1.21494,0.7251,0.11279,0.6832,0.56074,0.35771,0.04512
0.444,1.71768,1.21172,0.72188,0.11602,0.69609,0.56396,0.35771,0.04512
0.448,1.71768,1.21816,0.7251,0.11279,0.69287,0.56396,0.35771,0.04512
0.452,1.71445,1.21816,0.7251,0.11279,0.69287,0.56396,0.35771,0.04512
0.456,1.71123,1.22139,0.72832,0.11602,0.68965,0.56719,0.35771,0.04512
0.46,1.71123,1.21816,0.7251,0.11279,0.69609,0.56719,0.36094,0.04512
0.464,1.71123,1.22139,0.72832,0.11602,0.69609,0.56719,0.36094,0.04189
0.468,1.71123,1.22139,0.72832,0.11279,0.69287,0.56396,0.36094,0.04512
0.472,1.70801,1.22139,0.72832,0.11279,0.68965,0.57363,0.36094,0.04512
0.476,1.70156,1.22139,0.72832,0.11279,0.68643,0.56719,0.36094,0.04512
0.48,1.69512,1.22139,0.73154,0.11602,0.6832,0.56719,0.36094,0.04512
0.484,1.69512,1.21816,0.73154,0.11279,0.67998,0.56396,0.36094,0.04512
0.488,1.68867,1.21816,0.73154,0.11602,0.67998,0.56396,0.36094,0.04512
0.492,1.679,1.21494,0.73154,0.11279,0.67354,0.56074,0.36094,0.04512
0.496,1.68867,1.21172,0.73477,0.11279,0.68643,0.56074,0.36094,0.04512
0.5,1.68867,1.21172,0.73154,0.11602,0.68643,0.56719,0.36094,0.04512
0.504,1.69189,1.21494,0.72832,0.11279,0.68643,0.56719,0.36094,0.04512
0.508,1.69189,1.21816,0.73154,0.11602,0.6832,0.56719,0.36094,0.04512
0.512,1.69189,1.21816,0.73477,0.11602,0.6832,0.56719,0.36094,0.04512
0.516,1.68545,1.21494,0.73477,0.11279,0.68965,0.56396,0.36094,0.04512
0.52,1.68223,1.21172,0.73477,0.11602,0.6832,0.56719,0.36094,0.04512
0.524,1.68223,1.21816,0.73477,0.11602,0.67998,0.56719,0.36416,0.04512
0.528,1.68223,1.21816,0.73477,0.11279,0.67998,0.56719,0.36416,0.04512
0.532,1.67256,1.2085,0.73477,0.11602,0.67031,0.56074,0.36416,0.04512
0.536,1.68223,1.21494,0.73799,0.11279,0.6832,0.56396,0.36416,0.04834
