Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,-0.06,0.05
0.003516,-0.06,0.05
0.006902,-0.03,0.04
0.010895,-0.06,0.04
0.013967,-0.06,0.04
0.017292,-0.06,0.05
0.020224,-0.06,0.04
0.022757,-0.06,0.04
0.025155,-0.06,0.04
0.027528,-0.03,0.04
0.029829,-0.03,0.04
0.032059,-0.03,0.04
0.03448,-0.03,0.05
0.036861,-0.03,0.05
0.041194,-0.06,0.04
0.043326,-0.03,0.04
0.04546,-0.06,0.05
0.047548,-0.03,0.04
0.049777,-0.03,0.04
0.056263,-0.06,0.05
0.058907,-0.06,0.05
0.061189,-0.06,0.04
0.063252,-0.06,0.04
0.065535,-0.06,0.05
0.071266,-0.06,0.04
0.073482,-0.06,0.04
0.075492,-0.03,0.04
0.077449,-0.03,0.04
0.079629,-0.03,0.04
0.085952,-0.06,0.04
0.088203,-0.03,0.04
0.090217,-0.1,0.04
0.092178,-0.1,0.04
0.094206,-0.1,0.04
0.10118,-0.06,0.04
0.103336,-0.1,0.04
0.105589,-0.1,0.04
0.107575,-0.1,0.04
0.109602,-0.1,0.04
0.115025,-0.1,0.04
0.117036,-0.1,0.04
0.11908,-0.1,0.04
0.121116,-0.06,0.04
0.123087,-0.06,0.04
0.130203,-0.06,0.04
0.132228,-0.1,0.04
0.134197,-0.1,0.04
0.13617,-0.1,0.04
0.138205,-0.1,0.04
0.145213,-0.1,0.04
0.147195,-0.1,0.04
0.149167,-0.1,0.04
0.151139,-0.1,0.04
0.153116,-0.1,0.04
0.160279,-0.06,0.04
0.162257,-0.1,0.04
0.164243,-0.1,0.04
0.166178,-0.1,0.04
0.16813,-0.1,0.04
0.172821,-0.06,0.04
0.174768,-0.1,0.04
0.176693,-0.1,0.04
0.178626,-0.1,0.04
0.180547,-0.1,0.04
0.188004,-0.06,0.04
0.189923,-0.1,0.04
0.191851,-0.1,0.04
0.193819,-0.1,0.04
0.203057,-0.1,0.04
0.204996,-0.1,0.04
0.206931,-0.1,0.04
0.208855,-0.1,0.04
0.210781,-0.1,0.04
0.218214,-0.06,0.04
0.220156,-0.1,0.04
0.222109,-0.1,0.04
0.22405,-0.1,0.04
0.225996,-0.1,0.04
0.233402,-0.06,0.04
0.235529,-0.06,0.04
0.237528,-0.1,0.04
0.239535,-0.1,0.04
0.241489,-0.1,0.04
0.24857,-0.1,0.04
0.250565,-0.06,0.04
0.252541,-0.06,0.04
0.254594,-0.1,0.04
0.256529,-0.1,0.04
0.262589,-0.06,0.04
0.26472,-0.06,0.04
0.266763,-0.1,0.04
0.26883,-0.1,0.04
0.270862,-0.1,0.04
0.277578,-0.06,0.04
0.279592,-0.06,0.04
0.281592,-0.1,0.04
0.283601,-0.1,0.04
0.285598,-0.1,0.04
0.292653,-0.1,0.05
0.294694,-0.1,0.04
0.296701,-0.06,0.04
0.298741,-0.06,0.05
0.300764,-0.06,0.04
0.307756,-0.06,0.04
0.309839,-0.06,0.04
0.311864,-0.06,0.04
0.314001,-0.06,0.04
0.316036,-0.06,0.05
0.322808,-0.06,0.04
0.32483,-0.06,0.04
0.327028,-0.06,0.05
0.329097,-0.03,0.04
0.331091,-0.03,0.04
0.338098,-0.03,0.04
0.340127,-0.06,0.04
0.342392,-0.03,0.04
0.344375,-0.06,0.04
