Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,0.66064,1.8627,2.34287,0.41572,0.62842,0.97002,1.00225,0.14824
0.004,0.7251,1.84014,2.34609,0.41572,0.62197,0.94746,1.00225,0.14824
0.008,0.72188,1.8208,2.34609,0.41572,0.57686,0.98613,1.00547,0.15469
0.012,0.64775,1.8627,2.33965,0.41895,0.64131,0.98936,1.00547,0.15469
0.016,0.72832,1.85303,2.32354,0.41895,0.63486,0.97969,1.00547,0.15469
0.02,0.7251,1.85625,2.33965,0.42217,0.63809,0.97969,1.00547,0.14824
0.024,0.74121,1.84336,2.34287,0.41895,0.62842,0.97646,1.00869,0.14824
0.028,0.71865,1.8627,2.34287,0.42217,0.59941,0.98936,1.00547,0.15791
0.032,0.7251,1.84336,2.33965,0.42217,0.6252,0.96357,1.00225,0.15146
0.036,0.7251,1.81436,2.33965,0.42217,0.56719,0.97969,1.00547,0.15791
0.04,0.64453,1.8498,2.3332,0.42539,0.63809,0.97969,1.00225,0.16113
0.044,0.73477,1.84658,2.32354,0.42539,0.63164,0.97969,1.00225,0.15469
0.048,0.73154,1.8498,2.33965,0.42539,0.63164,0.97646,1.00547,0.15469
0.052,0.7251,1.84014,2.33965,0.42539,0.62197,0.96357,1.00225,0.15146
0.056,0.7251,1.81436,2.33965,0.42539,0.63486,0.97969,1.00225,0.15791
0.06,0.72832,1.83691,2.32031,0.42539,0.63164,0.97646,1.00547,0.15791
0.064,0.73154,1.84658,2.33965,0.42539,0.62842,0.97002,1.00547,0.15469
0.068,0.70898,1.8498,2.33643,0.42861,0.59619,0.98291,1.00869,0.16113
0.072,0.7251,1.82402,2.33643,0.42861,0.6252,0.93457,1.00225,0.15146
0.076,0.74443,1.83047,2.33643,0.42539,0.63809,0.97324,1.00869,0.15146
0.08,0.74443,1.82725,2.33643,0.42539,0.62842,0.97002,1.00869,0.15146
0.084,0.73477,1.82725,2.33643,0.42539,0.59941,0.98613,1.00869,0.16113
0.088,0.7251,1.81113,2.33643,0.42861,0.6252,0.94102,1.00225,0.15469
0.092,0.7251,1.79502,2.33643,0.42861,0.55752,0.97324,1.00547,0.16113
0.096,0.73799,1.83047,2.32354,0.42861,0.63486,0.97646,1.00547,0.16113
0.1,0.73154,1.83047,2.31387,0.42861,0.62842,0.97324,1.00869,0.16113
0.104,0.6542,1.83369,2.32998,0.43184,0.55107,0.9668,1.00547,0.16113
0.108,0.74766,1.8208,2.32998,0.42861,0.6252,0.97002,1.00547,0.15146
0.112,0.73154,1.81758,2.32998,0.42861,0.59619,0.98291,1.00869,0.16436
0.116,0.69609,1.83691,2.32998,0.43184,0.58008,0.97324,1.00869,0.16436
0.12,0.6542,1.82725,2.32676,0.43184,0.5543,0.97324,1.00547,0.16436
0.124,0.74766,1.81436,2.32676,0.43184,0.62842,0.97002,1.00869,0.15791
0.128,0.74443,1.81436,2.32354,0.43184,0.6252,0.97002,1.00547,0.16436
0.132,0.72832,1.82402,2.32354,0.43828,0.62197,0.96357,1.00547,0.16113
0.136,0.72832,1.8208,2.32676,0.43506,0.63486,0.97969,1.00547,0.16758
0.14,0.73799,1.81758,2.31387,0.43828,0.63164,0.97324,1.00225,0.16436
0.144,0.73154,1.82402,2.32354,0.43828,0.62197,0.9668,1.00225,0.16436
0.148,0.72832,1.81436,2.32354,0.43828,0.59297,0.97646,1.00547,0.16758
0.152,0.69609,1.8208,2.32354,0.43828,0.57686,0.9668,1.00547,0.16758
0.156,0.6542,1.81758,2.32031,0.43828,0.55107,0.9668,1.00547,0.16758
0.16,0.72832,1.75957,2.32354,0.43828,0.63486,0.9668,1.00547,0.15791
0.164,0.74766,1.80469,2.32354,0.43506,0.62842,0.97002,1.00225,0.16436
0.168,0.73477,1.80791,2.3042,0.43828,0.62197,0.9668,1.00547,0.16436
0.172,0.73154,1.81436,2.32354,0.43506,0.61553,0.96357,1.00869,0.15469
0.176,0.71221,1.8208,2.32354,0.43506,0.58975,0.97324,1.00547,0.16436
0.18,0.65742,1.81113,2.32354,0.43828,0.55107,0.96357,1.00547,0.16436
0.184,0.64775,1.80791,2.31709,0.43506,0.62842,0.96357,1.00869,0.15791
0.188,0.74766,1.80146,2.32676,0.43184,0.62197,0.96035,1.00547,0.15146
0.192,0.73799,1.79824,2.32354,0.43184,0.59297,0.97324,1.00547,0.16436
0.196,0.72832,1.80469,2.32354,0.43184,0.61553,0.95068,1.00225,0.15791
0.2,0.73799,1.80791,2.32031,0.43506,0.62842,0.9668,1.00547,0.16113
0.204,0.73799,1.80469,2.30742,0.43506,0.6252,0.9668,1.00225,0.16113
0.208,0.73477,1.81113,2.32354,0.43506,0.62197,0.96357,1.00547,0.16436
0.212,0.73477,1.80791,2.32354,0.43184,0.61875,0.96035,1.00547,0.16113
0.216,0.68965,1.80791,2.32354,0.43506,0.55752,0.96357,1.00547,0.16436
0.22,0.65098,1.80469,2.32031,0.43506,0.6123,0.93779,1.00225,0.15791
0.224,0.72832,1.76602,2.32354,0.43184,0.61553,0.9249,1.00225,0.15469
0.228,0.72832,1.74023,2.32354,0.43184,0.63164,0.96357,1.00547,0.15469
0.232,0.73154,1.80791,2.32354,0.43506,0.62197,0.96357,1.00547,0.16113
0.236,0.74766,1.7918,2.32354,0.43184,0.60908,0.97324,1.00547,0.16436
0.24,0.70254,1.80791,2.32354,0.43506,0.58008,0.9668,1.00547,0.16436
0.244,0.67998,1.80146,2.32031,0.43506,0.55107,0.96357,1.00547,0.16436
0.248,0.64775,1.79824,2.31709,0.43506,0.6252,0.9668,1.00547,0.16436
0.252,0.74766,1.78857,2.32354,0.43184,0.60586,0.97002,1.00547,0.16436
0.256,0.70254,1.80791,2.32031,0.43506,0.61553,0.96035,1.00547,0.16113
0.26,0.72832,1.79502,2.32354,0.43506,0.61553,0.95391,1.00547,0.16113
0.264,0.72832,1.78535,2.32031,0.43506,0.62842,0.97002,1.00547,0.16436
0.268,0.73799,1.7918,2.3042,0.43506,0.62197,0.96357,1.00225,0.16113
0.272,0.73154,1.79824,2.32031,0.43506,0.61553,0.95713,1.00547,0.16113
0.276,0.72832,1.78857,2.32031,0.43506,0.61553,0.95068,1.00547,0.16113
0.28,0.72832,1.76924,2.31709,0.43506,0.61875,0.9249,1.00225,0.16113
0.284,0.72832,1.75312,2.32031,0.43506,0.61553,0.91846,1.00225,0.15791
0.288,0.73477,1.79502,2.32031,0.43506,0.62197,0.96035,1.00547,0.16436
0.292,0.73154,1.79502,2.31709,0.43506,0.6252,0.95713,1.00869,0.15469
0.296,0.74766,1.78213,2.31709,0.43506,0.60908,0.95713,1.00869,0.15469
0.3,0.70576,1.80146,2.32031,0.43828,0.61553,0.97324,1.01514,0.16758
0.304,0.72832,1.78857,2.32031,0.43506,0.61553,0.95068,1.00547,0.16113
0.308,0.72832,1.75312,2.31709,0.43828,0.61553,0.92168,1.00225,0.16113
0.312,0.72832,1.74023,2.31709,0.43828,0.55107,0.96035,1.00547,0.16436
0.316,0.65098,1.78857,2.31064,0.43828,0.6252,0.9668,1.00547,0.16436
0.32,0.74121,1.78213,2.29775,0.43828,0.62197,0.96035,1.00225,0.16758
0.324,0.75088,1.77568,2.31387,0.43828,0.6252,0.95713,1.00869,0.15791
0.328,0.75088,1.77891,2.31064,0.43828,0.6123,0.90879,1.00225,0.16113
0.332,0.75088,1.77891,2.31064,0.43828,0.62842,0.95713,1.00869,0.15791
0.336,0.75088,1.77246,2.31064,0.43828,0.61875,0.95391,1.00547,0.15791
0.34,0.74766,1.77246,2.30742,0.43828,0.59941,0.9668,1.00547,0.16758
0.344,0.67998,1.77891,2.30742,0.4415,0.55107,0.95713,1.00547,0.16758
0.348,0.65098,1.77891,2.30098,0.4415,0.62842,0.95391,1.00547,0.16113
0.352,0.75088,1.76924,2.30742,0.4415,0.62197,0.95391,1.00547,0.16113
0.356,0.74766,1.76924,2.30742,0.43828,0.60908,0.95068,1.00547,0.15791
0.36,0.73154,1.77568,2.30742,0.4415,0.60908,0.94424,1.00547,0.16436
0.364,0.74443,1.78535,2.30742,0.44473,0.58652,0.96357,1.00547,0.16758
0.368,0.69932,1.77891,2.30742,0.4415,0.56396,0.95713,1.00547,0.16758
0.372,0.65742,1.77246,2.3042,0.4415,0.62197,0.95713,1.00547,0.16758
0.376,0.74121,1.76924,2.28809,0.44473,0.61875,0.95391,1.00547,0.16758
0.38,0.75088,1.75957,2.3042,0.4415,0.60908,0.95068,1.00869,0.15791
0.384,0.70254,1.77568,2.3042,0.44473,0.6123,0.94746,1.00547,0.16758
0.388,0.72832,1.76602,2.3042,0.44473,0.60586,0.94102,1.00225,0.16758
0.392,0.72832,1.74023,2.3042,0.44473,0.60908,0.91523,1.00547,0.1708
0.396,0.65098,1.76602,2.29453,0.44473,0.62197,0.95391,1.00225,0.1708
0.4,0.73477,1.76602,2.29775,0.44473,0.6123,0.94746,1.00547,0.1708
0.404,0.73154,1.76279,2.29775,0.44473,0.60586,0.94102,1.00225,0.1708
0.408,0.74443,1.7499,2.29775,0.44473,0.60264,0.91523,1.00225,0.16436
0.412,0.74443,1.72734,2.30098,0.44473,0.60586,0.90234,0.99902,0.16436
0.416,0.74121,1.76279,2.30098,0.44473,0.60586,0.94102,1.00225,0.16758
0.42,0.74121,1.75312,2.30098,0.44795,0.58008,0.96035,1.00869,0.1708
0.424,0.71221,1.76924,2.29775,0.44795,0.56396,0.95068,1.00547,0.1708
0.428,0.67031,1.76924,2.29775,0.44795,0.6252,0.9668,1.00547,0.1708
0.432,0.76699,1.75635,2.30098,0.44473,0.61875,0.95068,1.00547,0.16436
0.436,0.72188,1.77568,2.29775,0.44795,0.58008,0.95713,1.00547,0.1708
