Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,0.03,0.05
0.003286,0.03,0.04
0.006409,0.03,0.05
0.010425,0.03,0.04
0.013492,0.03,0.05
0.016547,0,0.04
0.019021,0.03,0.05
0.021387,0.03,0.05
0.023618,0.03,0.05
0.025842,0,0.05
0.028045,0,0.05
0.030208,0,0.04
0.032363,0.03,0.05
0.034645,-0.03,0.05
0.036758,0,0.04
0.038863,0,0.05
0.041251,0,0.05
0.043518,0,0.04
0.045669,0,0.04
0.048096,0,0.04
0.050221,0,0.05
0.052301,0,0.05
0.054476,0,0.05
0.056579,0,0.04
0.058899,0,0.04
0.061034,0,0.05
0.063251,0,0.04
0.065688,0,0.05
0.067798,-0.03,0.05
0.069869,0,0.05
0.072054,-0.03,0.05
0.074096,0,0.05
0.076228,0,0.04
0.078386,0,0.05
0.080496,0,0.04
0.084209,0.03,0.04
0.086659,0,0.05
0.090655,0,0.04
0.092914,0,0.04
0.095488,0,0.05
0.099144,0,0.04
0.101659,0,0.04
0.10408,0,0.04
0.107876,0,0.04
0.110448,0,0.04
0.114213,0,0.04
0.116716,0,0.04
0.119185,0,0.04
0.123011,0.03,0.04
0.125518,0,0.04
0.129299,0.03,0.04
0.131828,0,0.04
0.134372,0,0.04
0.138138,0,0.04
0.140746,0.03,0.04
0.143022,0.03,0.04
0.146797,0.03,0.04
0.149307,0,0.04
0.153125,0.03,0.05
0.155606,0,0.04
0.158164,0.03,0.04
0.161935,0,0.05
0.164474,0,0.04
0.168233,0,0.04
0.170757,0,0.04
0.17332,0,0.04
0.177067,0,0.04
0.179576,0,0.04
0.182096,0,0.04
0.185933,0,0.04
0.188454,0,0.04
0.192242,0,0.04
0.194746,0,0.04
0.201064,-0.03,0.04
0.203058,0,0.05
0.205044,0,0.04
0.209872,-0.03,0.04
0.211874,0,0.04
0.21386,0,0.04
0.2212,-0.03,0.04
0.223277,-0.03,0.05
0.225306,0,0.05
0.227303,0,0.04
0.231266,-0.03,0.04
0.233247,0,0.04
0.236376,-0.03,0.05
0.238371,0,0.05
0.242636,-0.03,0.05
0.244622,0,0.05
0.25145,-0.03,0.04
0.253435,-0.03,0.05
0.255424,0,0.04
0.25775,-0.03,0.04
0.259752,0,0.04
0.261771,0,0.04
0.264084,0,0.05
0.266677,0,0.04
0.269168,0,0.04
0.275443,-0.03,0.04
0.277423,0,0.05
0.279439,0,0.04
0.281751,0,0.05
0.288058,-0.03,0.04
0.290014,0,0.05
0.292038,0,0.05
0.29401,0,0.04
0.296897,0,0.04
0.299437,0,0.04
0.303222,0,0.04
0.305732,0,0.04
0.308241,0,0.04
0.312021,0,0.05
0.314532,0,0.05
0.318353,0.03,0.04
0.320878,0,0.05
0.323364,0,0.04
0.32713,0,0.04
0.333359,-0.03,0.05
0.335306,0,0.04
0.346059,-0.03,0.05
0.348042,-0.03,0.04
0.350025,-0.03,0.05
0.352023,-0.03,0.04
0.361111,-0.03,0.04
0.363079,-0.03,0.04
0.365087,-0.03,0.04
0.367094,-0.03,0.05
0.369103,-0.03,0.05
0.371249,0,0.04
0.374953,-0.03,0.05
0.376956,-0.03,0.04
0.378958,-0.03,0.05
0.380982,0,0.05
0.383043,0,0.05
0.385104,-0.03,0.05
0.387141,0,0.04
0.396368,-0.03,0.04
0.398331,-0.03,0.05
0.400376,-0.03,0.05
0.402374,-0.03,0.05
0.404353,0,0.04
0.406401,0,0.04
0.413953,-0.03,0.04
0.41595,-0.03,0.04
0.417939,-0.03,0.04
0.419919,0,0.05
0.422772,-0.03,0.05
0.424825,-0.03,0.04
0.426813,0,0.04
0.435374,-0.03,0.04
0.437352,-0.03,0.04
0.439356,-0.03,0.04
0.441384,-0.03,0.05
0.450481,-0.03,0.05
0.452483,-0.06,0.05
0.454489,-0.03,0.05
0.456523,-0.03,0.04
0.458494,-0.03,0.05
0.464343,-0.03,0.04
0.466338,-0.03,0.04
0.468361,-0.03,0.04
0.470345,-0.03,0.04
0.472329,0,0.04
0.474659,0,0.04
0.47667,0,0.05
0.47863,0,0.05
0.48696,-0.03,0.04
0.488934,-0.03,0.04
0.490899,-0.03,0.04
0.492907,-0.03,0.05
0.500866,-0.03,0.04
0.502871,-0.03,0.05
0.504833,-0.03,0.04
0.506822,-0.03,0.04
0.508783,0,0.04
0.510792,0,0.04
0.517167,-0.03,0.04
0.519148,-0.03,0.04
0.521112,-0.03,0.05
0.523084,-0.03,0.05
0.532264,-0.03,0.04
0.53426,-0.03,0.04
0.536359,-0.03,0.05
0.538368,-0.03,0.04
0.540347,-0.06,0.04
0.542372,-0.03,0.04
0.544377,0,0.04
0.546363,0,0.05
0.548353,0,0.04
0.550354,0,0.05
0.552367,0,0.04
0.554717,-0.03,0.04
0.556701,0,0.04
0.558778,0,0.04
0.560916,0,0.04
0.563439,0,0.04
0.567202,0,0.04
0.569742,0,0.05
0.572252,0,0.04
0.576033,0,0.04
0.582339,-0.03,0.04
0.584339,0,0.04
0.594638,-0.03,0.04
0.596643,-0.03,0.04
0.598622,-0.03,0.04
0.60059,-0.03,0.04
0.6098,-0.03,0.04
0.611844,-0.03,0.04
0.613841,-0.03,0.04
0.615838,-0.03,0.05
0.617791,-0.03,0.05
0.619971,0,0.04
0.621956,0,0.05
0.623918,0,0.04
0.625977,0,0.05
0.628007,-0.03,0.04
0.629964,0,0.05
0.631987,0,0.05
0.633995,0,0.05
0.636167,0,0.04
0.638722,0,0.05
0.65125,-0.03,0.05
0.653226,-0.03,0.05
0.655197,-0.03,0.05
0.657167,-0.03,0.05
0.666373,-0.06,0.04
0.66838,-0.03,0.04
0.67035,-0.03,0.05
0.672351,-0.06,0.05
0.674334,-0.03,0.05
0.681463,-0.06,0.05
0.683476,-0.06,0.05
0.685452,-0.03,0.04
0.687471,-0.06,0.04
0.689439,-0.06,0.04
0.696498,-0.03,0.04
0.69848,-0.06,0.04
0.70044,-0.06,0.04
0.702409,-0.06,0.05
0.704364,-0.03,0.05
0.711616,-0.03,0.05
0.713641,-0.03,0.05
0.715645,-0.06,0.04
0.717632,-0.06,0.04
0.719595,-0.03,0.05
0.726678,-0.06,0.04
0.7287,-0.06,0.05
0.730657,-0.06,0.05
0.732628,-0.06,0.05
0.734588,-0.06,0.05
0.741935,-0.06,0.05
0.743921,-0.06,0.04
0.74589,-0.06,0.05
0.747962,-0.06,0.04
0.750017,-0.06,0.04
0.756839,-0.06,0.04
0.758871,-0.03,0.04
0.76083,-0.03,0.04
0.76277,-0.03,0.05
0.764681,-0.03,0.04
0.770739,-0.03,0.04
0.772792,-0.03,0.04
0.774726,-0.03,0.04
0.776688,-0.03,0.04
0.778622,-0.03,0.04
0.785794,-0.03,0.04
0.787774,-0.03,0.04
0.78974,-0.03,0.05
0.791738,-0.03,0.04
0.793701,-0.06,0.05
0.800924,-0.06,0.04
0.802942,-0.03,0.05
0.804903,-0.06,0.04
0.806897,-0.06,0.04
0.808881,-0.06,0.04
0.816013,-0.06,0.04
0.817994,-0.06,0.05
0.819949,-0.06,0.05
0.821919,-0.06,0.04
0.82394,-0.06,0.04
0.828571,-0.06,0.05
0.830556,-0.06,0.04
0.832512,-0.06,0.04
0.834489,-0.06,0.04
0.83645,-0.06,0.04
0.843644,-0.06,0.05
0.845619,-0.1,0.05
0.847573,-0.06,0.05
0.849537,-0.06,0.04
0.858727,-0.06,0.05
0.860698,-0.06,0.04
0.862655,-0.06,0.04
0.864623,-0.06,0.04
0.866567,-0.06,0.04
0.873831,-0.06,0.04
0.875836,-0.06,0.04
0.877807,-0.06,0.04
0.879798,-0.06,0.04
0.881757,-0.06,0.04
0.888999,-0.06,0.04
0.891026,-0.06,0.04
0.893,-0.06,0.04
0.895004,-0.03,0.04
0.897,-0.03,0.04
0.904032,-0.03,0.04
0.906036,-0.03,0.04
0.908015,-0.03,0.04
0.91001,-0.06,0.05
0.911975,-0.03,0.04
0.919118,-0.03,0.04
0.921114,-0.03,0.04
0.92308,-0.03,0.04
0.925081,-0.03,0.04
0.92704,-0.03,0.04
0.932953,-0.03,0.04
0.934942,-0.03,0.04
0.936905,-0.03,0.04
0.9389,-0.03,0.04
0.940857,-0.03,0.04
0.948096,-0.03,0.04
0.95011,-0.03,0.04
0.95208,-0.06,0.04
0.954084,-0.06,0.04
0.956046,-0.03,0.04
0.963189,-0.03,0.04
0.965191,-0.03,0.04
0.967153,-0.03,0.04
0.969152,-0.03,0.04
0.971103,-0.06,0.04
0.978277,-0.03,0.04
0.980286,-0.06,0.04
