Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,0.63809,2.08828,1.43086,0.17402,0.70576,0.90557,0.64131,0.32871
0.004,0.64131,2.0915,1.42441,0.17402,0.70254,0.90557,0.64453,0.32549
0.008,0.64131,2.09795,1.43408,0.17402,0.69932,0.90234,0.64453,0.32871
0.012,0.61553,2.10439,1.4373,0.17725,0.66387,0.89912,0.64453,0.32871
0.016,0.63809,2.10117,1.44053,0.17725,0.70576,0.90557,0.64775,0.32871
0.02,0.64775,2.0915,1.4373,0.17725,0.69932,0.90234,0.64775,0.32871
0.024,0.64775,2.0915,1.44053,0.17725,0.67998,0.90234,0.64775,0.32871
0.028,0.6123,2.10439,1.44375,0.17725,0.66387,0.90234,0.64775,0.32871
0.032,0.64775,2.09473,1.44375,0.17725,0.70254,0.90557,0.64775,0.32871
0.036,0.64775,2.09795,1.4502,0.17725,0.70254,0.90557,0.64775,0.32871
0.04,0.64131,2.09795,1.44697,0.17725,0.69932,0.90234,0.64775,0.32871
0.044,0.63809,2.09473,1.44697,0.17725,0.69609,0.90234,0.64453,0.32871
0.048,0.5833,2.09795,1.44697,0.17725,0.64131,0.89912,0.64775,0.32871
0.052,0.63809,2.07217,1.4502,0.17725,0.70576,0.90557,0.65098,0.32871
0.056,0.65098,2.09473,1.4502,0.17725,0.70254,0.90234,0.64775,0.32871
0.06,0.64453,2.09473,1.44697,0.17725,0.6832,0.90234,0.64775,0.32871
0.064,0.6123,2.10439,1.44697,0.18047,0.66387,0.89912,0.64775,0.32871
0.068,0.64775,2.09473,1.44375,0.17725,0.70254,0.90557,0.64775,0.32871
0.072,0.64453,2.09473,1.44053,0.17725,0.70254,0.90557,0.64775,0.32549
0.076,0.63809,2.09795,1.44697,0.17725,0.69932,0.90234,0.64775,0.32871
0.08,0.63809,2.10117,1.44375,0.17725,0.70898,0.91846,0.64775,0.32871
0.084,0.64453,2.0915,1.44053,0.17725,0.70576,0.89912,0.64775,0.32549
0.088,0.64131,2.09795,1.44697,0.17725,0.69609,0.90234,0.64775,0.32871
0.092,0.63809,2.10117,1.44697,0.17725,0.69609,0.89912,0.64775,0.32871
0.096,0.63809,2.08184,1.4502,0.17725,0.69932,0.88945,0.64775,0.32871
0.1,0.63809,2.06572,1.4502,0.17725,0.70576,0.90234,0.65098,0.32871
0.104,0.63809,2.09795,1.45342,0.17725,0.69609,0.90234,0.64775,0.32871
0.108,0.63809,2.09473,1.45342,0.17725,0.67031,0.90234,0.65098,0.32871
0.112,0.60264,2.09795,1.45664,0.17725,0.64453,0.89912,0.65098,0.32871
0.116,0.64453,2.0915,1.45342,0.17725,0.70254,0.89268,0.64775,0.32871
0.12,0.65098,2.09473,1.45664,0.17725,0.70254,0.90557,0.65098,0.32871
0.124,0.60908,2.10117,1.45986,0.17725,0.64775,0.89912,0.65098,0.32871
0.128,0.57686,2.0915,1.45986,0.17725,0.70254,0.90557,0.6542,0.32871
0.132,0.64453,2.0915,1.45986,0.17725,0.67354,0.90234,0.65098,0.32871
0.136,0.60908,2.09795,1.46309,0.17725,0.64775,0.90234,0.65098,0.32871
0.14,0.65098,2.09473,1.46309,0.17725,0.70576,0.90557,0.6542,0.32871
0.144,0.64775,2.10439,1.46631,0.17725,0.69609,0.90557,0.65098,0.32871
0.148,0.63809,2.0915,1.46631,0.18047,0.69287,0.89268,0.65098,0.32871
0.152,0.63809,2.07539,1.46631,0.17725,0.70898,0.90879,0.6542,0.32871
0.156,0.65098,2.09473,1.46309,0.17725,0.69932,0.90557,0.6542,0.32871
0.16,0.60908,2.09795,1.46631,0.17725,0.65098,0.90234,0.6542,0.32871
0.164,0.57686,2.09473,1.46953,0.17725,0.70254,0.90879,0.6542,0.32871
0.168,0.65098,2.09795,1.46953,0.17725,0.69287,0.90557,0.6542,0.33193
0.172,0.61553,2.10762,1.46631,0.17725,0.66709,0.90234,0.65742,0.32871
0.176,0.63809,2.07861,1.46953,0.17725,0.70254,0.88945,0.65098,0.32871
0.18,0.58008,2.11084,1.46953,0.17725,0.70254,0.90879,0.6542,0.32871
0.184,0.64131,2.0915,1.46631,0.17725,0.70576,0.90879,0.65742,0.32871
0.188,0.64131,2.09795,1.47598,0.17725,0.69932,0.90557,0.65742,0.32871
0.192,0.63809,2.09473,1.47275,0.17725,0.69609,0.8959,0.6542,0.32871
0.196,0.64453,2.0915,1.47275,0.17402,0.70576,0.90879,0.65742,0.32871
0.2,0.64131,2.09795,1.47598,0.17402,0.70576,0.90879,0.65742,0.32871
0.204,0.65098,2.0915,1.4792,0.18047,0.69609,0.90557,0.66064,0.32871
0.208,0.61875,2.10439,1.4792,0.17725,0.67031,0.90557,0.66064,0.32871
0.212,0.64131,2.08828,1.48242,0.17725,0.70254,0.89268,0.65742,0.32871
0.216,0.65098,2.09473,1.48242,0.17725,0.70254,0.90557,0.66064,0.32871
0.22,0.64131,2.0915,1.48564,0.18047,0.67354,0.90557,0.66064,0.32871
0.224,0.6123,2.09795,1.48564,0.17725,0.64775,0.90234,0.65742,0.32871
0.228,0.58008,2.0915,1.48887,0.17725,0.70576,0.90879,0.65742,0.32871
0.232,0.60264,2.09473,1.48887,0.18047,0.64453,0.90234,0.66064,0.32871
0.236,0.64775,2.08828,1.48242,0.17725,0.70254,0.88945,0.66064,0.32871
0.24,0.65098,2.0915,1.49209,0.17725,0.70576,0.90879,0.66387,0.32871
0.244,0.65098,2.0915,1.49531,0.17725,0.70254,0.90879,0.66064,0.32871
0.248,0.64131,2.07217,1.49209,0.18047,0.70254,0.88301,0.65742,0.32871
0.252,0.64131,2.08828,1.49854,0.18047,0.67354,0.90557,0.66387,0.32871
0.256,0.60908,2.09473,1.49854,0.18047,0.69609,0.90234,0.66064,0.32871
0.26,0.64131,2.07539,1.50176,0.18047,0.70254,0.89268,0.66064,0.32871
0.264,0.6542,2.0915,1.50176,0.18047,0.70254,0.90879,0.66709,0.32871
0.268,0.64453,2.0915,1.5082,0.18047,0.69932,0.90879,0.66387,0.32871
0.272,0.64131,2.0915,1.5082,0.18047,0.70576,0.90879,0.66387,0.32871
0.276,0.64453,2.0915,1.51143,0.18047,0.70254,0.90879,0.66387,0.33193
0.28,0.64131,2.08828,1.51143,0.18047,0.66387,0.90557,0.66709,0.32871
0.284,0.58652,2.09473,1.51143,0.18047,0.70576,0.90879,0.66709,0.32871
