Time [s],Gauge Pressure [cmH2O],Inspiratory differential pressure [cmH2O]
0,6.97,0.78
0.002743,6.97,0.78
0.005216,6.94,0.76
0.008392,7.04,0.8
0.011024,7.06,0.79
0.013583,7.04,0.79
0.015613,7.01,0.77
0.017662,7.06,0.86
0.019707,7.09,0.86
0.021685,7.04,0.8
0.023788,7.06,0.79
0.025826,6.97,0.81
0.027755,7.06,0.89
0.029717,7.04,0.87
0.031732,7.12,0.88
0.03369,7.06,0.88
0.035662,7.04,0.85
0.03767,7.04,0.87
0.03969,7.06,0.91
0.04171,7.06,0.91
0.043719,7.12,0.84
0.045698,7.06,0.9
0.049004,7.09,0.92
0.051524,7.22,0.91
0.055342,7.09,0.91
0.057812,7.09,0.95
0.060313,7.12,0.96
0.06418,7.19,0.98
0.066612,7.22,0.95
0.069165,7.12,0.93
0.073003,7.12,0.97
0.075503,7.12,0.93
0.079335,7.16,0.89
0.081797,7.19,1.01
0.084319,7.27,0.95
0.08815,7.35,1
0.090601,7.27,0.97
0.094416,7.27,0.96
0.096968,7.24,1.04
0.099491,7.32,1.04
0.103315,7.38,1.04
0.105974,7.38,1.09
0.108717,7.45,1.03
0.112476,7.38,1.03
0.114752,7.41,1.03
0.11732,7.45,1.08
0.12122,7.41,0.99
0.123582,7.47,1.03
0.127438,7.5,1.05
0.130026,7.47,1.01
0.132355,7.47,1.01
0.136226,7.47,1.09
0.138878,7.41,1.01
0.141216,7.47,1.07
0.145033,7.53,1.03
0.147517,7.47,1.01
0.151486,7.56,1.11
0.154056,7.53,1.07
0.156511,7.53,0.97
0.160359,7.6,1.1
0.163032,7.63,1.04
0.165355,7.45,1.03
0.169309,7.5,1.1
0.17166,7.53,1.04
0.174177,7.56,1.07
0.178068,7.45,1.12
0.180442,7.47,1.08
0.184419,7.47,1.12
0.186784,7.53,1.03
0.189202,7.53,1.1
0.193127,7.5,1.09
0.195542,7.53,1.09
0.199497,7.47,1.08
0.201998,7.53,1.11
0.204416,7.53,1.11
0.208507,7.53,1.08
0.210748,7.41,1.07
0.213213,7.47,1.08
0.217174,7.6,1.11
0.219523,7.56,1.07
0.223336,7.53,1.11
0.225804,7.6,1.14
0.228349,7.6,1.1
0.232108,7.47,1.1
0.23463,7.56,1.15
0.237299,7.53,1.14
0.240925,7.53,1.13
0.243429,7.6,1.2
0.247263,7.53,1.15
0.249773,7.53,1.21
0.252386,7.65,1.17
0.256183,7.6,1.13
0.258641,7.79,1.25
0.261158,7.76,1.21
0.264943,7.76,1.17
0.267494,7.79,1.18
0.27128,7.71,1.15
0.273781,7.71,1.21
0.276313,7.76,1.19
0.280073,7.79,1.21
0.282594,7.76,1.2
0.286375,7.84,1.17
0.288871,7.84,1.12
0.291411,7.84,1.2
0.295191,7.87,1.1
0.2977,7.87,1.13
0.300219,7.82,1.13
0.304047,7.84,1.11
0.306554,7.79,1.15
0.310361,7.84,1.12
0.312844,7.82,1.07
0.315379,7.94,1.12
0.319157,7.87,1.17
0.321671,7.87,1.01
0.324177,7.84,1.15
0.327958,7.79,1.14
0.330497,7.76,1.14
0.334296,7.79,1.15
0.336797,7.71,1.13
0.339318,7.76,1.15
0.343087,7.71,1.16
0.345613,7.82,1.09
0.349405,7.79,1.12
0.35191,7.79,1.19
0.35448,7.71,1.12
0.358225,7.71,1.11
0.360776,7.82,1.15
0.363283,7.76,1.13
0.367027,7.76,1.13
0.369551,7.79,1.05
0.373332,7.76,1.14
0.375824,7.79,1.16
0.378366,7.71,1.14
0.382169,7.68,1.19
0.384632,7.76,1.1
0.387146,7.68,1
0.390946,7.79,1.08
0.393447,7.82,1.09
0.397256,7.65,1.09
0.399724,7.79,1.18
0.402256,7.76,1.08
0.406113,7.79,1.17
0.40861,7.71,1.09
0.412407,7.6,1.12
0.414905,7.76,1.21
0.417421,7.76,1.07
0.421202,7.68,1.07
0.423709,7.76,1.2
0.426251,7.76,1.07
0.430015,7.68,1.12
0.43254,7.68,1.15
0.436347,7.65,1.13
0.438843,7.76,1.15
0.441346,7.71,1.1
0.445125,7.76,1.12
0.447643,7.79,1.09
0.451433,7.68,1.1
0.453938,7.76,1.15
0.456482,7.68,1.1
0.460281,7.65,1.16
0.462606,7.71,1.1
0.466401,7.68,1.13
0.468908,7.65,1.12
0.471405,7.63,1.1
0.475195,7.65,1.04
0.477728,7.6,1.17
0.480202,7.53,1.12
0.484009,7.6,1.13
0.486503,7.68,1.12
0.490306,7.76,1.07
0.492812,7.63,1.17
0.495343,7.63,1.11
0.499109,7.56,1.17
0.501714,7.63,1.11
0.504157,7.63,1.15
0.507946,7.76,1.13
0.510455,7.65,1.13
0.514237,7.68,1.12
0.516774,7.68,1.11
0.519255,7.71,1.16
0.522988,7.84,1.14
0.525501,7.65,1.09
0.529321,7.79,0.97
0.531805,7.76,1.13
0.534345,7.79,1.1
0.538107,7.68,1.06
0.540614,7.79,1.13
0.544411,7.79,1.1
0.546909,7.79,1.14
0.549409,7.82,1.14
0.553195,7.79,1.02
0.555721,7.87,1.17
0.558267,7.82,1.05
0.562034,7.82,1.15
0.564563,7.71,1.08
0.568339,7.91,1.14
0.570859,7.91,1.19
0.573355,7.94,1.09
0.577175,7.84,1.13
0.579662,7.76,1.1
0.582198,7.79,1.11
0.585942,7.91,1.14
0.588464,7.84,1.1
0.592245,7.87,1.11
0.594687,7.91,1.05
0.597199,7.84,1.07
0.600976,7.87,1.1
0.603478,7.82,1.09
0.607311,7.82,1.11
0.609829,7.82,1.17
0.612341,7.87,1.1
0.616128,7.91,1.07
0.618586,7.84,1.06
0.622386,7.82,1.09
0.624901,7.76,1.06
0.627413,7.82,1.08
0.63119,7.68,1.05
0.633695,7.79,1.05
0.636221,7.76,1.08
0.639974,7.71,1.08
0.642482,7.68,1.07
0.646295,7.79,1.12
0.648761,7.76,1.03
0.651298,7.76,1.09
0.655057,7.65,1.03
0.657605,7.71,1.07
0.661435,7.76,1.07
0.663925,7.76,1.08
0.666438,7.71,1.04
0.670251,7.71,1.07
0.672729,7.65,1.04
0.675245,7.76,1.02
0.679005,7.65,1.08
0.681519,7.68,1.09
0.685283,7.71,1.07
0.687771,7.79,1.04
0.690295,7.84,1.03
0.694082,7.71,1.03
0.696581,7.79,1.05
0.700376,7.76,1.01
0.702884,7.82,1.03
0.705425,7.87,1
0.709207,7.82,1.02
0.711766,7.87,1.04
0.714276,7.94,0.99
0.718078,7.82,1.05
0.720385,7.87,1.02
0.724165,7.82,1.01
0.726664,7.79,0.96
0.730472,7.79,1.02
0.732973,7.71,1.02
0.73557,7.68,0.99
0.739315,7.79,0.95
0.741813,7.84,0.98
0.744328,7.79,1
0.748127,7.79,0.95
0.750606,7.82,0.99
0.754398,7.79,0.96
0.756913,7.82,1.01
0.759438,7.84,0.95
0.763266,7.82,1.01
0.765779,7.87,1
0.768279,7.87,0.95
0.772081,7.84,0.93
0.774559,7.87,0.99
0.778312,7.84,0.94
0.780788,7.87,0.91
0.783311,7.91,0.92
0.787219,7.84,0.96
0.789612,7.82,0.98
0.7934,7.91,0.93
0.795883,8,0.97
0.79841,7.91,0.99
0.802187,7.91,0.92
0.804717,7.97,0.94
0.807216,8,0.98
0.81099,7.97,0.93
0.813568,7.97,0.89
0.817357,8.04,0.94
0.819854,8,0.91
0.822356,7.94,0.9
0.826073,7.94,0.91
0.828596,7.97,0.88
0.83238,7.91,0.9
0.834893,8,0.95
0.837413,7.97,0.9
0.841169,8.09,0.85
0.843663,8.04,0.88
0.846184,7.97,0.9
0.849981,8.04,0.89
0.852476,8.04,0.89
0.856263,8.06,0.83
0.858764,8,0.92
0.861282,7.94,0.89
0.865113,7.97,0.82
0.86762,7.97,0.87
0.871384,8.04,0.86
0.873884,8,0.87
0.876415,8.06,0.87
0.880174,8.04,0.8
0.882666,7.97,0.86
0.885181,8.06,0.87
0.888945,7.94,0.81
0.89147,7.97,0.85
0.895257,8,0.84
0.89776,8,0.82
0.900255,7.97,0.8
0.904038,7.94,0.8
0.906552,7.94,0.83
0.910353,7.97,0.81
0.912842,7.94,0.8
0.915385,8,0.8
0.919139,7.97,0.8
0.921642,8,0.84
0.92418,8,0.78
0.927942,8,0.81
0.930438,7.97,0.77
0.934245,8.06,0.79
0.936737,8.04,0.8
0.939244,8,0.76
0.943033,8.09,0.8
0.945547,8.06,0.75
0.949352,8.06,0.78
0.951832,8.04,0.79
0.954348,8.04,0.81
0.958165,8.09,0.73
0.960638,8.09,0.72
0.964452,8.09,0.75
0.96697,8.04,0.73
0.969494,7.97,0.71
0.973303,8.06,0.73
0.975816,8.06,0.71
0.978328,8.06,0.72
0.982087,8.06,0.74
0.984592,8,0.69
0.988361,8,0.69
0.990894,8.04,0.73
0.993408,8.04,0.69
0.997171,8.12,0.72
0.999681,8.09,0.71
1.003395,8.09,0.69
1.005893,8.09,0.71
1.008401,8.15,0.69
1.012154,8.12,0.66
1.014685,8.15,0.69
1.017271,8.15,0.65
1.021012,8.12,0.62
1.023547,8.19,0.65
1.027217,8.15,0.67
1.029714,8.24,0.65
1.032239,8.24,0.6
1.036029,8.24,0.64
1.038532,8.27,0.61
1.042323,8.27,0.61
1.044851,8.27,0.57
1.04728,8.35,0.59
1.05104,8.41,0.54
1.053556,8.41,0.56
1.05721,8.38,0.59
1.059692,8.41,0.52
1.062201,8.46,0.51
1.065965,8.53,0.55
1.068522,8.5,0.55
1.072306,8.53,0.56
1.07481,8.56,0.53
1.077331,8.59,0.53
1.08109,8.61,0.49
1.083609,8.65,0.5
1.087406,8.68,0.48
1.089905,8.68,0.47
1.09246,8.71,0.46
1.096204,8.71,0.47
1.098729,8.74,0.46
1.101235,8.74,0.44
1.104995,8.78,0.42
1.107517,8.78,0.41
1.111311,8.81,0.41
1.113578,8.83,0.4
1.117375,8.86,0.39
1.119902,8.86,0.4
1.122426,8.9,0.38
1.126245,8.94,0.37
1.128756,8.94,0.34
1.131264,8.94,0.34
1.135039,8.97,0.32
1.137578,8.97,0.32
1.141145,9,0.32
1.143641,8.97,0.3
1.146158,8.97,0.29
1.149922,8.94,0.25
1.152455,8.94,0.26
1.156231,8.9,0.25
1.158728,8.86,0.25
1.161246,8.9,0.25
1.165021,8.9,0.23
1.167558,8.86,0.23
1.171375,8.86,0.22
1.173859,8.83,0.21
1.176376,8.83,0.21
1.18018,8.83,0.21
1.182634,8.81,0.19
1.186412,8.78,0.19
1.188927,8.78,0.17
1.19141,8.74,0.16
1.195205,8.71,0.17
1.197704,8.71,0.15
1.20021,8.68,0.15
1.203983,8.71,0.14
1.20652,8.68,0.14
1.21029,8.68,0.13
1.212801,8.68,0.12
1.215333,8.65,0.13
1.219089,8.61,0.13
1.221625,8.61,0.11
1.224143,8.61,0.11
1.22792,8.59,0.1
1.230441,8.59,0.1
1.234239,8.59,0.1
1.236716,8.59,0.09
1.239315,8.56,0.09
1.242949,8.56,0.08
1.245468,8.53,0.08
1.249257,8.53,0.08
1.251747,8.5,0.08
1.254269,8.5,0.07
1.258035,8.5,0.07
1.26059,8.5,0.07
1.264405,8.5,0.07
1.266882,8.43,0.06
1.269352,8.43,0.06
1.273231,8.38,0.06
1.275673,8.38,0.06
1.278215,8.38,0.06
1.281963,8.38,0.05
1.28451,8.35,0.05
1.288277,8.35,0.05
1.290785,8.31,0.05
1.293294,8.31,0.05
1.29708,8.27,0.05
1.299603,8.27,0.04
1.303399,8.22,0.04
1.305894,8.22,0.05
1.308409,8.19,0.04
1.312326,8.19,0.05
1.314624,8.12,0.04
1.318443,8.12,0.04
1.320939,8.09,0.05
1.323507,8.09,0.05
1.327285,8.06,0.05
1.329786,8.04,0.05
1.332311,8.04,0.04
1.33616,8,0.04
1.338567,7.97,0.04
1.342367,7.94,0.04
1.344863,7.94,0.04
1.347394,7.91,0.04
1.351187,7.94,0.05
1.353678,7.91,0.04
1.356229,7.87,0.05
1.360022,7.87,0.05
1.362515,7.87,0.04
1.366353,7.84,0.05
1.368803,7.84,0.04
1.371314,7.84,0.04
1.375163,7.82,0.04
1.377633,7.82,0.05
1.380167,7.82,0.05
1.38393,7.82,0.04
1.386542,7.82,0.04
1.390272,7.79,0.04
1.392768,7.79,0.04
1.395297,7.76,0.04
1.399059,7.76,0.05
1.401567,7.71,0.05
1.405382,7.71,0.05
1.407801,7.68,0.05
1.410341,7.68,0.05
1.414108,7.68,0.04
1.4166,7.68,0.05
1.419134,7.65,0.05
1.422889,7.65,0.04
1.425426,7.65,0.05
1.429238,7.65,0.04
1.431716,7.65,0.05
1.434256,7.65,0.05
1.438018,7.68,0.05
1.440539,7.65,0.05
1.444353,7.68,0.05
1.446849,7.71,0.05
1.44934,7.76,0.05
1.453146,7.76,0.05
1.455673,7.79,0.05
1.458175,7.79,0.05
1.46195,7.82,0.05
1.464474,7.84,0.04
1.468258,7.87,0.05
1.470753,7.91,0.05
1.473273,7.91,0.05
1.477083,7.91,0.05
1.479602,7.97,0.04
1.483391,7.94,0.04
1.4859,7.97,0.05
1.488417,8,0.05
1.492203,8,0.04
1.494702,8.04,0.04
1.49723,8.04,0.04
1.501016,8.06,0.04
1.503523,8.06,0.04
1.507376,8.09,0.04
1.509798,8.12,0.03
1.512313,8.12,0.04
1.516119,8.12,0.04
