Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,1.69512,1.61133,1.73701,0.30937,0.62842,0.60908,0.64775,0.43506
0.004,1.70156,1.61777,1.7499,0.30615,0.63164,0.60908,0.65098,0.43506
0.008,1.69834,1.62422,1.75312,0.31582,0.6252,0.60586,0.65098,0.43506
0.012,1.69189,1.62744,1.75635,0.31582,0.62197,0.60908,0.6542,0.43506
0.016,1.68867,1.62422,1.75312,0.3126,0.63486,0.6123,0.65098,0.43506
0.02,1.70156,1.64033,1.75957,0.31904,0.62842,0.6123,0.65098,0.43184
0.024,1.70156,1.64355,1.76602,0.31582,0.63164,0.61875,0.65098,0.43828
0.028,1.70479,1.64678,1.76602,0.30937,0.63164,0.6123,0.65098,0.43828
0.032,1.71123,1.64355,1.76924,0.30293,0.63809,0.62842,0.65098,0.43828
0.036,1.71445,1.65967,1.77246,0.3126,0.63809,0.62197,0.6542,0.43828
0.04,1.71445,1.66934,1.78213,0.30937,0.63486,0.62197,0.65742,0.43828
0.044,1.71768,1.66611,1.78535,0.30937,0.64131,0.6252,0.65742,0.43506
0.048,1.7209,1.67256,1.78213,0.32227,0.64131,0.6252,0.65742,0.43828
0.052,1.71768,1.68545,1.79502,0.31904,0.64131,0.62842,0.66064,0.4415
0.056,1.72734,1.69189,1.80469,0.3126,0.64131,0.62842,0.66387,0.4415
0.06,1.7209,1.69834,1.81113,0.32549,0.64131,0.63164,0.66387,0.4415
0.064,1.72734,1.70479,1.81113,0.31582,0.64131,0.63164,0.66387,0.4415
0.068,1.73057,1.69834,1.81436,0.31582,0.63486,0.63164,0.66387,0.4415
0.072,1.73057,1.70479,1.80791,0.32549,0.65098,0.63809,0.66387,0.4415
0.076,1.73379,1.7209,1.8208,0.32227,0.64453,0.64131,0.66709,0.4415
0.08,1.73379,1.7209,1.82402,0.31904,0.65098,0.64131,0.66709,0.4415
0.084,1.73701,1.71768,1.81436,0.32549,0.65098,0.64453,0.67031,0.4415
0.088,1.74023,1.72734,1.82725,0.32227,0.64775,0.64775,0.66709,0.44473
0.092,1.74023,1.73379,1.82725,0.32549,0.64453,0.64453,0.67031,0.4415
0.096,1.7499,1.7499,1.83047,0.32549,0.6542,0.64775,0.67031,0.44473
0.1,1.7499,1.73379,1.83047,0.31904,0.6542,0.65098,0.67031,0.43828
0.104,1.74668,1.73379,1.83047,0.31582,0.64775,0.65098,0.67031,0.4415
0.108,1.74346,1.74346,1.83369,0.32871,0.64775,0.65098,0.67031,0.4415
0.112,1.75635,1.74346,1.82402,0.32549,0.6542,0.65742,0.67354,0.4415
0.116,1.75635,1.75312,1.83691,0.32227,0.6542,0.65742,0.67354,0.4415
0.12,1.75312,1.75957,1.84014,0.32871,0.65098,0.65742,0.67354,0.4415
0.124,1.74668,1.75957,1.84336,0.32871,0.64775,0.65742,0.67354,0.4415
0.128,1.76602,1.76602,1.8498,0.32227,0.66064,0.66387,0.67998,0.4415
0.132,1.76279,1.76602,1.84658,0.32549,0.66064,0.66709,0.67676,0.44473
0.136,1.76602,1.77246,1.85947,0.32871,0.66064,0.66709,0.67998,0.44473
0.14,1.76279,1.77891,1.8627,0.32871,0.66064,0.66387,0.67998,0.44473
0.144,1.76279,1.77246,1.86914,0.32549,0.66387,0.66064,0.67998,0.44473
0.148,1.76924,1.77891,1.86914,0.33516,0.66387,0.67031,0.6832,0.44473
0.152,1.77246,1.7918,1.87881,0.33516,0.67031,0.67031,0.68643,0.44473
0.156,1.77891,1.78857,1.88203,0.32871,0.66709,0.67354,0.68643,0.44795
0.16,1.77568,1.7918,1.88848,0.32871,0.66387,0.67676,0.68643,0.44473
0.164,1.77891,1.7918,1.88848,0.32871,0.67031,0.67354,0.68965,0.44795
0.168,1.77891,1.80469,1.8917,0.33838,0.66064,0.67676,0.68965,0.44795
0.172,1.76924,1.80469,1.89492,0.33838,0.65742,0.67354,0.68965,0.44473
0.176,1.78213,1.79824,1.88848,0.33838,0.67031,0.67998,0.68965,0.44795
0.18,1.78535,1.79824,1.88525,0.33838,0.67031,0.67998,0.68965,0.44795
0.184,1.77891,1.80791,1.89492,0.33838,0.66387,0.67676,0.69287,0.44795
0.188,1.77246,1.80146,1.89492,0.33838,0.67354,0.67354,0.68965,0.44795
0.192,1.78535,1.79502,1.89814,0.33193,0.67676,0.67031,0.68965,0.44795
0.196,1.7918,1.79502,1.89492,0.33193,0.67354,0.68965,0.69287,0.44795
0.2,1.7918,1.79502,1.88203,0.33838,0.67354,0.67998,0.69287,0.44473
0.204,1.7918,1.79824,1.88848,0.33516,0.67031,0.67998,0.68965,0.44795
0.208,1.78857,1.7918,1.88848,0.33193,0.67031,0.67676,0.68965,0.44473
0.212,1.78213,1.79502,1.88525,0.33838,0.66387,0.67676,0.68965,0.44473
0.216,1.77891,1.7918,1.88203,0.33838,0.67998,0.67998,0.68965,0.44473
0.22,1.80469,1.79824,1.88525,0.33193,0.67998,0.6832,0.69287,0.44473
0.224,1.80469,1.79824,1.88848,0.33516,0.67998,0.6832,0.69287,0.44473
0.228,1.80146,1.80146,1.88848,0.33193,0.67998,0.6832,0.69287,0.44473
0.232,1.80146,1.80469,1.88848,0.33193,0.67998,0.68643,0.68965,0.44795
0.236,1.80469,1.79824,1.88848,0.33193,0.6832,0.67998,0.69287,0.44795
0.24,1.8208,1.80791,1.89492,0.33516,0.68965,0.68965,0.69609,0.44795
0.244,1.81758,1.81113,1.89814,0.33193,0.68643,0.69287,0.69609,0.44795
0.248,1.81758,1.81436,1.89814,0.33516,0.68965,0.6832,0.69609,0.44795
0.252,1.8208,1.80791,1.90137,0.33193,0.69932,0.6832,0.69609,0.44795
0.256,1.83047,1.81758,1.8917,0.3416,0.70898,0.69609,0.69932,0.44795
0.26,1.83047,1.83047,1.90781,0.3416,0.70254,0.69609,0.70254,0.45117
0.264,1.83047,1.82402,1.90781,0.3416,0.70254,0.69609,0.69932,0.44795
0.268,1.82402,1.82402,1.90781,0.3416,0.69932,0.69287,0.70254,0.44795
0.272,1.84014,1.8208,1.90137,0.3416,0.71543,0.69932,0.69932,0.45117
0.276,1.84336,1.8208,1.91748,0.33516,0.71543,0.69609,0.70576,0.45439
0.28,1.83691,1.82402,1.92393,0.34482,0.71865,0.69609,0.70576,0.45439
0.284,1.84014,1.82402,1.92715,0.3416,0.71221,0.69609,0.71221,0.45439
0.288,1.84014,1.82402,1.93682,0.3416,0.72188,0.68965,0.71221,0.45439
0.292,1.84336,1.83369,1.94971,0.34805,0.71865,0.69932,0.71865,0.45762
0.296,1.83691,1.84014,1.9626,0.35127,0.71221,0.69932,0.72832,0.45762
0.3,1.85303,1.84014,1.96582,0.35127,0.72832,0.70898,0.73477,0.45439
0.304,1.85303,1.85303,1.97227,0.35449,0.72832,0.71221,0.73799,0.46084
0.308,1.85947,1.86592,1.9916,0.35449,0.73154,0.71221,0.73799,0.46406
0.312,1.8498,1.87236,1.99805,0.35771,0.7251,0.71221,0.74443,0.46084
0.316,1.8498,1.86914,1.99482,0.35771,0.74121,0.70898,0.74121,0.46406
0.32,1.86914,1.8627,2.00449,0.35127,0.74443,0.72188,0.74443,0.46406
0.324,1.87881,1.87881,2.00771,0.35449,0.74443,0.72188,0.74443,0.46406
0.328,1.87236,1.88525,2.01094,0.35771,0.74121,0.72188,0.74443,0.46406
0.332,1.87559,1.87559,2.01416,0.35771,0.75088,0.72188,0.74766,0.46729
0.336,1.88525,1.88525,2.01738,0.35771,0.74766,0.7251,0.74766,0.46729
0.34,1.87881,1.8917,2.02383,0.36094,0.74443,0.72188,0.74766,0.46729
0.344,1.87881,1.89492,2.02705,0.36416,0.74443,0.72188,0.74766,0.47051
0.348,1.86592,1.89492,2.0335,0.36416,0.7541,0.7251,0.75088,0.47051
0.352,1.88525,1.8917,2.02705,0.36738,0.75088,0.71543,0.75088,0.47051
0.356,1.8917,1.89492,2.04316,0.36416,0.7541,0.7251,0.7541,0.47373
0.36,1.89492,1.89492,2.04316,0.36416,0.75088,0.7251,0.7541,0.47373
0.364,1.88848,1.89814,2.04316,0.36738,0.75088,0.72832,0.7541,0.47373
0.368,1.8917,1.88525,2.04639,0.36738,0.76055,0.71543,0.75088,0.47373
0.372,1.90459,1.89814,2.04639,0.36738,0.76055,0.72832,0.7541,0.47373
0.376,1.89814,1.90137,2.04639,0.37061,0.76055,0.7251,0.7541,0.47373
0.38,1.90137,1.89814,2.04639,0.37061,0.75732,0.72188,0.7541,0.47695
0.384,1.8917,1.89492,2.04316,0.37061,0.77021,0.72832,0.7541,0.47373
0.388,1.91748,1.91104,2.04639,0.37061,0.77021,0.72832,0.75732,0.47373
0.392,1.91748,1.89492,2.04639,0.36416,0.76377,0.7251,0.7541,0.47373
0.396,1.90781,1.90137,2.04316,0.37061,0.76055,0.7251,0.7541,0.47373
0.4,1.90137,1.89814,2.04639,0.37061,0.77344,0.73154,0.7541,0.47373
0.404,1.92715,1.89814,2.04961,0.37061,0.77666,0.72832,0.75732,0.47695
0.408,1.9207,1.90781,2.05283,0.37383,0.77666,0.73154,0.75732,0.47695
0.412,1.92393,1.90137,2.05605,0.37383,0.77344,0.73154,0.75732,0.47695
0.416,1.92715,1.90137,2.0625,0.37383,0.78311,0.7251,0.75732,0.47695
0.42,1.91748,1.90459,2.0625,0.37705,0.78633,0.73477,0.76055,0.47695
0.424,1.94326,1.91426,2.06895,0.37383,0.78955,0.73799,0.76377,0.48018
0.428,1.94648,1.91748,2.07539,0.37383,0.78955,0.73799,0.76377,0.48018
0.432,1.94004,1.93037,2.07539,0.38027,0.77988,0.73799,0.76699,0.48018
0.436,1.94004,1.92715,2.08184,0.38027,0.77666,0.73799,0.76699,0.48018
0.44,1.96582,1.93037,2.08828,0.37705,0.79922,0.74443,0.76699,0.48018
0.444,1.9626,1.93359,2.08828,0.37705,0.79922,0.74443,0.77021,0.48018
0.448,1.96582,1.94004,2.08828,0.38027,0.796,0.74443,0.77021,0.48018
0.452,1.96582,1.94326,2.0915,0.38027,0.80566,0.76055,0.76699,0.48018
0.456,1.95293,1.93682,2.08828,0.38027,0.80566,0.74766,0.76699,0.48018
0.46,1.98516,1.94326,2.0915,0.38027,0.80889,0.74766,0.77021,0.48018
0.464,1.98838,1.94004,2.08828,0.37705,0.80566,0.74766,0.76699,0.48018
0.468,1.9916,1.93682,2.08506,0.38027,0.80244,0.74121,0.76699,0.48018
0.472,1.9916,1.92715,2.08506,0.37705,0.81211,0.74121,0.76377,0.48018
0.476,2.00449,1.94004,2.08184,0.37705,0.81533,0.75088,0.76699,0.48018
0.48,2.00449,1.94004,2.08506,0.38027,0.81855,0.75088,0.76699,0.48018
0.484,2.00771,1.93682,2.08828,0.37705,0.81211,0.75088,0.77021,0.48018
0.488,2.00127,1.94648,2.08828,0.38027,0.81533,0.76377,0.77021,0.48018
0.492,2.01416,1.94648,2.09473,0.38027,0.81533,0.75088,0.76699,0.48018
0.496,2.02383,1.94004,2.10117,0.38027,0.83145,0.76377,0.77666,0.48018
0.5,2.0335,1.9626,2.10439,0.38027,0.83467,0.76377,0.77344,0.48018
0.504,2.0335,1.96904,2.09473,0.3835,0.83145,0.76699,0.77988,0.4834
0.508,2.03672,1.97871,2.11729,0.38672,0.83145,0.77021,0.77988,0.4834
0.512,2.03672,1.9916,2.12373,0.38672,0.825,0.76699,0.78311,0.4834
0.516,2.03027,2.00127,2.12695,0.38672,0.83145,0.77344,0.78633,0.48662
0.52,2.04316,1.99805,2.13018,0.38994,0.82822,0.77344,0.78311,0.4834
0.524,2.03672,2.00127,2.12695,0.38672,0.84756,0.77988,0.78633,0.4834
0.528,2.06572,1.99805,2.11729,0.38672,0.84756,0.77988,0.78311,0.4834
0.532,2.06895,2.00771,2.13018,0.38672,0.84756,0.77988,0.78633,0.4834
0.536,2.06895,2.00771,2.13018,0.38672,0.83145,0.77666,0.78633,0.4834
0.54,2.07539,2.00449,2.12373,0.38672,0.85723,0.77988,0.78633,0.4834
0.544,2.07861,2.00449,2.11406,0.3835,0.854,0.78633,0.78633,0.4834
0.548,2.08828,2.00771,2.12695,0.3835,0.85723,0.78311,0.78633,0.4834
0.552,2.08506,2.03672,2.14307,0.38672,0.85723,0.78633,0.78633,0.4834
0.556,2.08506,2.01094,2.12695,0.3835,0.854,0.78955,0.78633,0.4834
0.56,2.08828,2.00449,2.12373,0.3835,0.854,0.77988,0.78633,0.4834
0.564,2.0915,1.99805,2.12695,0.3835,0.86367,0.77344,0.78311,0.4834
0.568,2.09795,2.00449,2.11084,0.3835,0.86367,0.78955,0.78311,0.47695
0.572,2.10117,2.01416,2.12373,0.3835,0.87012,0.78955,0.78633,0.4834
0.576,2.10762,2.01094,2.12695,0.3835,0.86367,0.78955,0.78633,0.4834
0.58,2.10439,2.01416,2.12695,0.38027,0.86367,0.78955,0.78955,0.48018
0.584,2.10439,2.02061,2.12695,0.3835,0.86367,0.78633,0.78955,0.48018
0.588,2.10439,2.01416,2.12695,0.3835,0.87012,0.78311,0.78633,0.48018
0.592,2.10762,2.01094,2.13018,0.3835,0.87012,0.77988,0.78311,0.4834
0.596,2.11729,2.02705,2.1334,0.3835,0.87334,0.796,0.78955,0.4834
0.6,2.11729,2.03027,2.1334,0.3835,0.87012,0.796,0.79277,0.48018
0.604,2.11406,2.02061,2.13662,0.38672,0.87656,0.77988,0.78633,0.4834
0.608,2.12695,2.03672,2.13984,0.3835,0.87656,0.79922,0.78955,0.48018
0.612,2.12051,2.04316,2.13984,0.38672,0.87656,0.80244,0.79277,0.4834
0.616,2.12373,2.04316,2.13984,0.38672,0.85723,0.796,0.79277,0.4834
0.62,2.10117,2.03994,2.13662,0.38672,0.88301,0.80244,0.79277,0.48018
0.624,2.1334,2.04639,2.13984,0.38672,0.87979,0.80566,0.78955,0.4834
0.628,2.1334,2.04639,2.13984,0.3835,0.87334,0.80244,0.79277,0.48018
0.632,2.12373,2.04961,2.13984,0.3835,0.86367,0.79922,0.79277,0.48018
0.636,2.11084,2.04639,2.1334,0.3835,0.854,0.796,0.78955,0.48018
0.64,2.13984,2.02705,2.1334,0.3835,0.88945,0.80889,0.79277,0.48018
0.644,2.14951,2.04639,2.13662,0.38027,0.87656,0.79922,0.78955,0.48018
0.648,2.14307,2.03994,2.1334,0.38027,0.88945,0.796,0.78955,0.48018
0.652,2.14307,2.03027,2.13018,0.38027,0.88945,0.80566,0.78633,0.47695
0.656,2.14629,2.03994,2.11084,0.38027,0.88945,0.80889,0.78955,0.48018
0.66,2.14629,2.04639,2.12051,0.37705,0.88301,0.80889,0.78311,0.47695
0.664,2.14951,2.03994,2.12051,0.37705,0.86367,0.79922,0.78633,0.47373
0.668,2.15273,2.03672,2.10762,0.37705,0.89268,0.80889,0.78311,0.47373
0.672,2.15596,2.03672,2.09795,0.37383,0.88945,0.80889,0.78311,0.47373
0.676,2.15596,2.03672,2.10439,0.36738,0.88301,0.80566,0.78311,0.47051
0.68,2.15596,2.05605,2.11084,0.37383,0.89268,0.796,0.77988,0.47051
0.684,2.15918,2.02383,2.10117,0.37061,0.8959,0.80889,0.78311,0.47051
0.688,2.16563,2.03672,2.09795,0.36738,0.8959,0.80889,0.77988,0.47051
0.692,2.16563,2.03994,2.0915,0.36416,0.88945,0.80889,0.77988,0.46729
0.696,2.1624,2.0335,2.08828,0.36416,0.89912,0.80244,0.77666,0.46729
0.7,2.16563,2.03027,2.08828,0.36094,0.90234,0.81211,0.77988,0.46729
0.704,2.16885,2.03994,2.06895,0.36416,0.89912,0.81211,0.77666,0.46406
0.708,2.16885,2.04961,2.08184,0.36416,0.89912,0.81533,0.77666,0.46406
0.712,2.16885,2.04316,2.07539,0.35449,0.88945,0.81211,0.77666,0.46406
0.716,2.17207,2.04961,2.07539,0.35771,0.8959,0.81533,0.77666,0.46406
0.72,2.17207,2.04316,2.07217,0.35771,0.90234,0.80566,0.77344,0.46406
0.724,2.17207,2.03672,2.07217,0.35449,0.90879,0.81855,0.77666,0.46406
0.728,2.18174,2.04961,2.06895,0.35449,0.90557,0.81855,0.77666,0.46084
0.732,2.17529,2.04639,2.06572,0.35127,0.90557,0.80566,0.77344,0.46084
0.736,2.17207,2.03994,2.0625,0.34805,0.87656,0.81533,0.77666,0.46084
0.74,2.17852,2.04961,2.05283,0.35771,0.90557,0.825,0.77344,0.46084
0.744,2.17852,2.04961,2.04639,0.35449,0.91201,0.825,0.77344,0.45762
0.748,2.17207,2.06572,2.05283,0.35449,0.89268,0.82178,0.77344,0.45762
0.752,2.14629,2.04961,2.04961,0.35127,0.87334,0.81533,0.77344,0.45762
0.756,2.17852,2.04961,2.03672,0.35127,0.91201,0.82178,0.77344,0.45762
0.76,2.18496,2.04961,2.04639,0.34482,0.90557,0.82178,0.77344,0.45762
0.764,2.17852,2.04961,2.04316,0.33838,0.8959,0.82178,0.77021,0.45439
0.768,2.17529,2.05283,2.03994,0.34482,0.89912,0.82178,0.76699,0.45439
0.772,2.17529,2.04316,2.03672,0.3416,0.88623,0.81855,0.77021,0.45439
0.776,2.15273,2.05283,2.03672,0.34805,0.87656,0.81533,0.77021,0.45439
0.78,2.18174,2.04639,2.02383,0.34805,0.91201,0.825,0.77021,0.45439
0.784,2.18496,2.04961,2.03672,0.3416,0.90879,0.825,0.77021,0.45439
0.788,2.1624,2.05605,2.0335,0.34805,0.88301,0.81855,0.77021,0.45439
0.792,2.15273,2.04639,2.0335,0.34805,0.91523,0.82822,0.77021,0.45439
0.796,2.18496,2.04961,2.03027,0.33838,0.90879,0.82822,0.77021,0.45439
0.8,2.18174,2.05283,2.03027,0.33516,0.8959,0.825,0.77021,0.45439
0.804,2.18174,2.05283,2.02705,0.33838,0.89912,0.82178,0.76699,0.45117
0.808,2.18496,2.06572,2.01416,0.34482,0.90879,0.82822,0.76377,0.45117
0.812,2.18496,2.05605,2.02061,0.33838,0.90879,0.82822,0.76699,0.45117
0.816,2.18496,2.05605,2.01738,0.33516,0.90557,0.82822,0.76699,0.45117
0.82,2.18174,2.05283,2.01416,0.33516,0.90234,0.825,0.76377,0.45117
0.824,2.18174,2.0335,2.00771,0.32871,0.91523,0.82822,0.76377,0.45117
0.828,2.19141,2.04961,2.00449,0.32871,0.90879,0.82822,0.76377,0.44795
0.832,2.18496,2.04961,2.00127,0.33193,0.90879,0.82822,0.76377,0.44795
0.836,2.18496,2.04961,1.99805,0.32871,0.90234,0.82822,0.76055,0.44795
0.84,2.16563,2.04639,1.98838,0.33193,0.88301,0.82178,0.76055,0.44473
0.844,2.18496,2.05605,1.98838,0.33516,0.89912,0.81533,0.75732,0.44473
0.848,2.18496,2.02705,1.97549,0.32227,0.90879,0.81211,0.7541,0.44473
0.852,2.19463,2.03672,1.97549,0.32227,0.91201,0.825,0.75732,0.4415
0.856,2.19141,2.0335,1.96904,0.31904,0.90879,0.82178,0.7541,0.4415
0.86,2.18496,2.0335,1.9626,0.32227,0.90879,0.82178,0.75088,0.4415
0.864,2.18818,2.03027,1.9626,0.31582,0.90557,0.82178,0.7541,0.4415
0.868,2.17529,2.03672,1.95615,0.32549,0.89268,0.81855,0.75088,0.43828
0.872,2.16885,2.03027,1.95293,0.32549,0.88623,0.82178,0.75088,0.4415
0.876,2.17529,2.02383,1.95293,0.31582,0.8959,0.82178,0.75088,0.43828
0.88,2.15918,2.03027,1.94971,0.31904,0.87979,0.82178,0.75088,0.43828
0.884,2.18818,2.02383,1.94326,0.31904,0.91523,0.82822,0.75088,0.43828
0.888,2.18818,2.02383,1.93359,0.3126,0.91201,0.82822,0.75088,0.43506
0.892,2.18818,2.0335,1.94004,0.31582,0.90879,0.82822,0.75088,0.43828
0.896,2.15918,2.0335,1.93037,0.31582,0.87979,0.82178,0.74766,0.43506
0.9,2.19141,2.02383,1.9207,0.3126,0.91201,0.81533,0.74121,0.43506
0.904,2.18496,2.01416,1.92393,0.30937,0.91201,0.80889,0.74121,0.43184
0.908,2.19785,2.02383,1.9207,0.30937,0.91523,0.83467,0.74121,0.43184
0.912,2.19141,2.01738,1.90459,0.30937,0.91201,0.82822,0.74121,0.43184
0.916,2.18818,2.02383,1.90781,0.30615,0.90557,0.825,0.74121,0.43184
0.92,2.18818,2.02061,1.90459,0.30615,0.89912,0.825,0.74121,0.43184
0.924,2.17207,2.02383,1.90459,0.3126,0.89268,0.82178,0.74121,0.42861
0.928,2.15918,2.02383,1.90137,0.30937,0.87979,0.82178,0.73799,0.42861
0.932,2.19141,2.00449,1.90137,0.30615,0.91846,0.82822,0.73799,0.43184
0.936,2.20107,2.02705,1.90137,0.31582,0.91523,0.83145,0.73799,0.42861
0.94,2.19463,2.03027,1.89814,0.30615,0.90879,0.82822,0.73799,0.42861
0.944,2.19141,2.03027,1.89814,0.30293,0.90557,0.82822,0.74121,0.42861
0.948,2.19141,2.02383,1.89814,0.30293,0.91523,0.81855,0.73799,0.42861
0.952,2.20107,2.03027,1.89492,0.30293,0.91846,0.83145,0.73799,0.42861
0.956,2.19463,2.02705,1.8917,0.30293,0.90879,0.825,0.73477,0.42861
0.96,2.19141,2.02061,1.88848,0.30293,0.91846,0.81855,0.73477,0.42861
0.964,2.19141,2.01094,1.88525,0.30293,0.92168,0.83145,0.73477,0.42539
0.968,2.19463,2.03672,1.87881,0.29971,0.91846,0.83467,0.73799,0.42861
0.972,2.17852,2.0335,1.87559,0.30293,0.8959,0.82822,0.73477,0.42539
0.976,2.1624,2.03027,1.86914,0.29971,0.88301,0.82822,0.73154,0.42539
0.98,2.19785,2.02383,1.85947,0.29648,0.91846,0.83145,0.72832,0.42217
0.984,2.19463,2.02061,1.84658,0.29648,0.91846,0.83145,0.72832,0.42217
0.988,2.18496,2.02383,1.8498,0.29971,0.8959,0.825,0.7251,0.42217
0.992,2.1624,2.01738,1.84658,0.29648,0.90879,0.825,0.72832,0.42217
0.996,2.19141,2.00771,1.84336,0.29648,0.91846,0.81855,0.72188,0.42217
1,2.19141,1.99805,1.84336,0.29648,0.92168,0.82822,0.7251,0.42217
1.004,2.19141,2.01416,1.84336,0.29648,0.90557,0.81855,0.72188,0.42217
1.008,2.19463,2.01094,1.82725,0.29326,0.91523,0.83145,0.72188,0.42217
1.012,2.19463,2.02061,1.83369,0.29326,0.91201,0.83145,0.72188,0.42217
1.016,2.19141,2.01738,1.83369,0.29326,0.90879,0.825,0.72188,0.42217
1.02,2.18818,2.00449,1.83047,0.29326,0.91846,0.81533,0.71865,0.41895
1.024,2.19141,2.00127,1.80791,0.29004,0.91523,0.825,0.71865,0.41895
1.028,2.19141,2.00449,1.81758,0.29004,0.91523,0.82178,0.71543,0.41895
1.032,2.18818,1.99482,1.81113,0.29326,0.90234,0.81533,0.71543,0.41895
1.036,2.17852,1.99482,1.80469,0.29004,0.91523,0.81533,0.70898,0.41895
1.04,2.18818,1.97549,1.79502,0.29004,0.91201,0.80244,0.70576,0.41572
1.044,2.19141,1.97871,1.7918,0.28682,0.90879,0.81211,0.70898,0.41572
1.048,2.17529,1.98193,1.78857,0.28682,0.90557,0.81211,0.70576,0.41572
1.052,2.18496,1.97549,1.78535,0.29004,0.90234,0.80889,0.70254,0.41572
1.056,2.18496,1.9626,1.78213,0.28682,0.91201,0.79922,0.70254,0.41572
1.06,2.18818,1.9626,1.76924,0.28682,0.91201,0.81211,0.70254,0.4125
1.064,2.18818,1.96904,1.77891,0.28682,0.91523,0.80889,0.70254,0.41572
1.068,2.19141,1.9626,1.77568,0.28682,0.90879,0.80889,0.70254,0.41572
1.072,2.17207,1.96904,1.77891,0.28682,0.90234,0.80889,0.70254,0.41572
1.076,2.18174,1.95938,1.77891,0.28682,0.90879,0.79922,0.70254,0.41572
1.08,2.19141,1.96582,1.78213,0.28682,0.91201,0.80889,0.70576,0.41572
1.084,2.18496,1.96582,1.78213,0.28682,0.90234,0.80566,0.70254,0.41572
1.088,2.18174,1.95938,1.78535,0.28682,0.91201,0.796,0.70254,0.41572
1.092,2.18174,1.95615,1.78535,0.28359,0.91523,0.81211,0.70576,0.41572
1.096,2.18818,1.97227,1.7918,0.28682,0.90879,0.81211,0.70576,0.41572
1.1,2.18818,1.97549,1.7918,0.29004,0.89268,0.80889,0.70576,0.41572
1.104,2.1624,1.97227,1.7918,0.29004,0.88301,0.80566,0.70576,0.41572
1.108,2.15273,1.96582,1.78857,0.29004,0.91201,0.81211,0.70576,0.41572
1.112,2.18496,1.95938,1.77891,0.29004,0.90879,0.80889,0.70254,0.41572
1.116,2.18496,1.95938,1.78857,0.29004,0.89912,0.80566,0.70576,0.41572
1.12,2.16885,1.9626,1.78535,0.29004,0.90234,0.80889,0.70254,0.41572
1.124,2.17852,1.9626,1.78535,0.29004,0.89912,0.80566,0.70254,0.41572
1.128,2.17852,1.95293,1.7918,0.29004,0.90879,0.79277,0.70254,0.41572
1.132,2.14951,1.94971,1.78857,0.29004,0.90879,0.80244,0.70576,0.41895
1.136,2.18818,1.95293,1.7918,0.29004,0.90879,0.80244,0.70576,0.41895
1.14,2.18818,1.95293,1.7918,0.29004,0.90557,0.80244,0.70576,0.41895
1.144,2.18174,1.95293,1.79502,0.29004,0.89912,0.80244,0.70576,0.41895
1.148,2.16885,1.95938,1.79824,0.29004,0.88945,0.79922,0.70576,0.41895
1.152,2.17529,1.93359,1.80469,0.29326,0.90879,0.80566,0.70898,0.41895
1.156,2.18496,1.95938,1.80791,0.29326,0.90879,0.80566,0.70898,0.41895
1.16,2.18174,1.9626,1.81113,0.29326,0.90557,0.80566,0.70898,0.41895
1.164,2.17852,1.9626,1.81436,0.29326,0.90879,0.80244,0.70898,0.41895
1.168,2.14951,1.95615,1.81758,0.29326,0.90879,0.80566,0.71221,0.41895
1.172,2.18174,1.9626,1.82402,0.29648,0.90234,0.80566,0.71221,0.42217
