Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,0.32227,1.64355,1.74346,0.19014,0.50596,0.76055,0.83467,0.37705
0.004,0.32227,1.65322,1.73379,0.18691,0.50596,0.77344,0.83467,0.37383
0.008,0.32227,1.65322,1.74346,0.18691,0.49951,0.77021,0.83789,0.37383
0.012,0.3126,1.65645,1.74023,0.18691,0.49629,0.77021,0.83789,0.38027
0.016,0.32227,1.65,1.73701,0.19014,0.50918,0.77344,0.83789,0.37705
0.02,0.32227,1.65,1.74346,0.19014,0.50596,0.77666,0.84111,0.37383
0.024,0.31904,1.66289,1.74668,0.19014,0.49951,0.77344,0.84111,0.37705
0.028,0.3126,1.65967,1.74668,0.19014,0.50273,0.76377,0.83789,0.37383
0.032,0.32227,1.63711,1.7499,0.19014,0.50918,0.77666,0.84111,0.37705
0.036,0.32227,1.65322,1.7499,0.19014,0.50596,0.77344,0.83789,0.37705
0.04,0.32227,1.65645,1.7499,0.19014,0.50273,0.77344,0.83467,0.38027
0.044,0.32549,1.66934,1.7499,0.19658,0.49629,0.77021,0.84111,0.37705
0.048,0.32227,1.65322,1.74346,0.19014,0.50596,0.77666,0.83789,0.37705
0.052,0.32227,1.65645,1.74346,0.19014,0.50273,0.77666,0.84111,0.37061
0.056,0.32227,1.65645,1.75312,0.19014,0.50273,0.77344,0.84111,0.37705
0.06,0.31904,1.66611,1.75957,0.19014,0.49951,0.77666,0.84434,0.37705
0.064,0.31904,1.67256,1.75957,0.19336,0.50273,0.77666,0.84434,0.38027
0.068,0.32227,1.65967,1.75957,0.19014,0.49951,0.76699,0.84111,0.37705
0.072,0.32227,1.65322,1.76279,0.18691,0.50273,0.76377,0.83789,0.37705
0.076,0.31904,1.66289,1.75957,0.19336,0.50596,0.77666,0.84434,0.37705
0.08,0.32227,1.66289,1.76602,0.19336,0.50918,0.77666,0.84434,0.38027
0.084,0.32549,1.65967,1.76602,0.19014,0.50596,0.77666,0.84434,0.38027
0.088,0.32227,1.65967,1.76279,0.19336,0.50273,0.77666,0.84434,0.37705
0.092,0.31904,1.67256,1.76279,0.19014,0.49951,0.77666,0.84434,0.37705
0.096,0.31904,1.64033,1.76279,0.19014,0.50596,0.77666,0.84434,0.37705
0.1,0.32227,1.65322,1.76279,0.19336,0.50273,0.77666,0.84111,0.37705
0.104,0.31904,1.66289,1.75957,0.19014,0.50273,0.77344,0.84434,0.38027
0.108,0.31904,1.65322,1.75957,0.19014,0.50596,0.77988,0.84111,0.37383
0.112,0.31582,1.65645,1.75957,0.19014,0.49629,0.77021,0.84111,0.37705
