Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,0.73154,1.84336,1.17627,0.13213,0.92813,1.09893,0.85078,0.33838
0.004,0.78311,1.80146,1.17949,0.13213,0.93779,1.09248,0.84756,0.33838
0.008,0.78633,1.78857,1.17949,0.13535,0.93779,1.07959,0.854,0.33838
0.012,0.80566,1.84014,1.17305,0.13213,0.95068,1.1376,0.854,0.33838
0.016,0.796,1.84336,1.17949,0.13535,0.94424,1.13437,0.854,0.33838
0.02,0.78955,1.83691,1.18271,0.13535,0.93779,1.13115,0.854,0.33838
0.024,0.78633,1.83047,1.18271,0.13535,0.93135,1.12793,0.854,0.33838
0.028,0.78633,1.82402,1.18594,0.13535,0.93135,1.11826,0.854,0.33838
0.032,0.80244,1.82725,1.18271,0.13535,0.94746,1.13437,0.85723,0.33838
0.036,0.79922,1.83369,1.18916,0.13213,0.9668,1.13437,0.85723,0.33838
0.04,0.82822,1.82402,1.18916,0.13213,0.96357,1.1376,0.86045,0.33838
0.044,0.82822,1.8208,1.18916,0.13535,0.94102,1.13115,0.85723,0.33838
0.048,0.78955,1.82402,1.19238,0.13535,0.92813,1.12471,0.85723,0.3416
0.052,0.78955,1.78857,1.19238,0.13535,0.93779,1.0957,0.854,0.33838
0.056,0.78955,1.78213,1.19238,0.13535,0.88301,1.13115,0.85723,0.33838
0.06,0.74121,1.83047,1.19238,0.13535,0.87012,1.12793,0.85723,0.33838
0.064,0.80889,1.82725,1.18916,0.13213,0.95068,1.13437,0.85723,0.33838
0.068,0.78955,1.75312,1.19238,0.13535,0.9668,1.1376,0.86045,0.33838
0.072,0.82822,1.81758,1.19238,0.13535,0.93135,1.11826,0.85723,0.33838
0.076,0.78955,1.80469,1.19561,0.13535,0.9249,1.10215,0.85723,0.33838
0.08,0.78955,1.78857,1.19561,0.13535,0.87334,1.13115,0.86045,0.33838
0.084,0.73477,1.82725,1.19238,0.13535,0.95068,1.13437,0.86045,0.33838
0.088,0.80244,1.8208,1.19238,0.13535,0.94424,1.13437,0.86367,0.33838
0.092,0.79922,1.82725,1.19883,0.13535,0.95391,1.13437,0.86367,0.33838
0.096,0.81533,1.81758,1.19883,0.13535,0.93135,1.1376,0.86367,0.33838
0.1,0.78955,1.83691,1.19883,0.13535,0.91523,1.1376,0.86367,0.33838
0.104,0.78955,1.81436,1.20205,0.13213,0.9249,1.11182,0.86367,0.3416
0.108,0.80889,1.82725,1.19883,0.13535,0.95068,1.13437,0.86367,0.3416
0.112,0.80566,1.82402,1.19561,0.13535,0.94746,1.13437,0.86367,0.33838
0.116,0.79922,1.81758,1.19883,0.13535,0.94102,1.13437,0.86367,0.3416
0.12,0.79922,1.82402,1.20527,0.13535,0.94102,1.13115,0.86367,0.3416
0.124,0.82822,1.81436,1.20527,0.13535,0.95713,1.13437,0.86367,0.3416
0.128,0.825,1.81436,1.20527,0.13535,0.94102,1.13115,0.86689,0.3416
0.132,0.79922,1.82402,1.20527,0.13535,0.93779,1.13115,0.86045,0.3416
0.136,0.78955,1.81436,1.2085,0.13535,0.93457,1.12793,0.86689,0.3416
0.14,0.82178,1.80791,1.20527,0.13535,0.94102,1.1376,0.86689,0.3416
0.144,0.78955,1.81436,1.2085,0.13535,0.93135,1.12471,0.86689,0.3416
0.148,0.78955,1.81436,1.2085,0.13535,0.92813,1.12148,0.86367,0.3416
0.152,0.79277,1.80469,1.2085,0.13535,0.9249,1.10859,0.86367,0.3416
0.156,0.79277,1.77891,1.2085,0.13535,0.92168,1.09248,0.86367,0.3416
0.16,0.80244,1.81113,1.20205,0.13535,0.94424,1.13115,0.86689,0.3416
0.164,0.80244,1.81758,1.21172,0.13535,0.9668,1.13437,0.86689,0.3416
0.168,0.83145,1.80791,1.21172,0.13535,0.96357,1.13437,0.86689,0.3416
0.172,0.83145,1.80791,1.21172,0.13535,0.94102,1.13115,0.86689,0.3416
0.176,0.79277,1.80791,1.21172,0.13535,0.93135,1.12471,0.86689,0.3416
0.18,0.79277,1.80791,1.21494,0.13535,0.92813,1.12148,0.86689,0.3416
0.184,0.79277,1.79824,1.21494,0.13535,0.90557,1.13115,0.86689,0.3416
0.188,0.77666,1.81113,1.21494,0.13535,0.89268,1.12793,0.87012,0.3416
0.192,0.75088,1.81113,1.21816,0.13535,0.87979,1.12471,0.87012,0.34482
0.196,0.796,1.76602,1.21816,0.13535,0.93457,1.08926,0.86689,0.3416
0.2,0.796,1.75957,1.21816,0.13857,0.8959,1.12793,0.87012,0.3416
0.204,0.7541,1.80791,1.22139,0.13535,0.87656,1.12471,0.87012,0.3416
0.208,0.74121,1.80146,1.21816,0.13535,0.93135,1.08281,0.86689,0.3416
0.212,0.796,1.73057,1.22139,0.13535,0.96357,1.13115,0.87012,0.3416
0.216,0.83467,1.7918,1.22139,0.13535,0.95713,1.12793,0.87334,0.3416
0.22,0.83467,1.7918,1.22139,0.13535,0.9249,1.11826,0.86689,0.34482
0.224,0.796,1.7918,1.22139,0.13535,0.9249,1.11182,0.87012,0.3416
0.228,0.796,1.77246,1.22461,0.13535,0.92168,1.09248,0.87012,0.3416
0.232,0.7541,1.80146,1.22461,0.13535,0.87334,1.12148,0.87334,0.34482
0.236,0.83789,1.80791,1.23105,0.13535,0.96035,1.12793,0.87334,0.3416
0.24,0.83789,1.78857,1.22783,0.13535,0.95713,1.12471,0.87656,0.3416
0.244,0.83789,1.78535,1.23105,0.13535,0.95068,1.12471,0.87656,0.3416
0.248,0.83467,1.78535,1.23105,0.13535,0.94102,1.12471,0.87656,0.34482
0.252,0.79922,1.80146,1.23428,0.13535,0.90879,1.12793,0.87656,0.34482
0.256,0.78955,1.7918,1.2375,0.13535,0.92168,1.10215,0.87334,0.34482
0.26,0.79922,1.7499,1.2375,0.13535,0.93135,1.08281,0.87334,0.34482
0.264,0.79922,1.74346,1.2375,0.13535,0.92813,1.07959,0.87334,0.34482
0.268,0.75088,1.78857,1.2375,0.13535,0.86367,1.11826,0.87656,0.34482
0.272,0.80244,1.76602,1.24717,0.13535,0.92813,1.08281,0.87656,0.34482
0.276,0.80244,1.73701,1.24072,0.13535,0.92813,1.07314,0.87334,0.34482
0.28,0.80244,1.71123,1.24072,0.13535,0.96357,1.12793,0.87979,0.34482
0.284,0.84111,1.77891,1.24072,0.13535,0.96035,1.12471,0.87979,0.34482
0.288,0.82178,1.78857,1.23428,0.13535,0.94424,1.12471,0.87656,0.34482
0.292,0.81855,1.78535,1.23428,0.13535,0.92813,1.07314,0.87334,0.3416
0.296,0.80244,1.7209,1.24072,0.13535,0.96035,1.12793,0.87979,0.34482
0.3,0.84111,1.78213,1.24072,0.13535,0.96035,1.13115,0.87979,0.3416
0.304,0.80244,1.7499,1.24072,0.13535,0.93135,1.08281,0.87334,0.34482
0.308,0.80244,1.73057,1.24395,0.13535,0.92813,1.06348,0.87334,0.34482
0.312,0.84111,1.78535,1.24395,0.13535,0.96357,1.12793,0.87979,0.34482
0.316,0.84111,1.78535,1.24072,0.13535,0.96035,1.12793,0.87979,0.3416
0.32,0.84111,1.78535,1.24072,0.13535,0.95713,1.12793,0.87979,0.3416
0.324,0.79922,1.7918,1.24395,0.13535,0.92813,1.12148,0.87656,0.3416
0.328,0.79922,1.78857,1.24072,0.13535,0.93779,1.1376,0.87979,0.3416
0.332,0.80244,1.80791,1.24072,0.13535,0.91846,1.13437,0.87979,0.3416
0.336,0.79922,1.80791,1.24072,0.13535,0.93457,1.14404,0.87979,0.3416
0.34,0.80244,1.79824,1.2375,0.13535,0.92813,1.12471,0.87979,0.3416
0.344,0.80244,1.79502,1.2375,0.13535,0.92813,1.11826,0.87656,0.3416
0.348,0.80244,1.78213,1.2375,0.13535,0.91846,1.13437,0.87979,0.3416
0.352,0.796,1.80791,1.2375,0.13535,0.90879,1.13437,0.87979,0.3416
0.356,0.78955,1.80469,1.24072,0.13535,0.90234,1.13115,0.87979,0.3416
0.36,0.80244,1.7918,1.24395,0.13535,0.9249,1.11504,0.87656,0.34482
0.364,0.80244,1.78213,1.24072,0.13535,0.90557,1.13437,0.87979,0.3416
0.368,0.78633,1.80469,1.24072,0.13535,0.89268,1.12793,0.87979,0.3416
0.372,0.75732,1.80791,1.24395,0.13535,0.87334,1.12793,0.87656,0.3416
0.376,0.75088,1.80469,1.2375,0.13535,0.86689,1.12471,0.87656,0.3416
0.38,0.81855,1.80469,1.23105,0.13535,0.94424,1.13115,0.87656,0.33838
0.384,0.81533,1.80469,1.23105,0.13535,0.94746,1.13115,0.87979,0.3416
0.388,0.825,1.79824,1.2375,0.13535,0.93779,1.1376,0.87656,0.34482
0.392,0.80244,1.8208,1.2375,0.13535,0.92168,1.1376,0.87656,0.3416
0.396,0.79922,1.80469,1.23428,0.13535,0.93135,1.12471,0.87656,0.33838
0.4,0.75732,1.81436,1.23105,0.13535,0.87979,1.12793,0.87656,0.3416
0.404,0.75088,1.81113,1.23428,0.13535,0.87656,1.12793,0.87656,0.33838
0.408,0.74443,1.80791,1.23428,0.13535,0.95391,1.13437,0.87656,0.33838
0.412,0.81855,1.80791,1.23105,0.13535,0.95068,1.13115,0.87656,0.33838
0.416,0.796,1.73379,1.2375,0.13535,0.9668,1.13437,0.87656,0.3416
0.42,0.83467,1.80146,1.2375,0.13535,0.95391,1.13437,0.87656,0.3416
0.424,0.81533,1.80791,1.23428,0.13535,0.95068,1.13115,0.87656,0.3416
0.428,0.81533,1.80791,1.23105,0.13213,0.94746,1.13115,0.87656,0.3416
0.432,0.79277,1.81758,1.2375,0.13535,0.91201,1.13437,0.87979,0.3416
0.436,0.796,1.77568,1.24072,0.13535,0.9249,1.09248,0.87656,0.3416
0.44,0.79277,1.76279,1.24072,0.13535,0.93135,1.08926,0.87334,0.3416
0.444,0.79277,1.75957,1.24072,0.13535,0.93779,1.08604,0.87334,0.3416
0.448,0.796,1.75635,1.24072,0.13535,0.93457,1.07959,0.87334,0.3416
0.452,0.80889,1.80146,1.2375,0.13535,0.94746,1.12793,0.87979,0.3416
0.456,0.80244,1.79824,1.2375,0.13535,0.9668,1.13437,0.87979,0.3416
0.46,0.83145,1.79502,1.24395,0.13535,0.9668,1.13115,0.87979,0.3416
0.464,0.83145,1.79502,1.24395,0.13535,0.94424,1.13115,0.87979,0.3416
0.468,0.79277,1.79824,1.24395,0.13535,0.93135,1.12148,0.87979,0.34482
0.472,0.79277,1.7918,1.24395,0.13535,0.92813,1.11504,0.87979,0.3416
0.476,0.79277,1.77891,1.24717,0.13535,0.91201,1.13115,0.87979,0.3416
0.48,0.78311,1.80791,1.24717,0.13535,0.90557,1.13115,0.88301,0.3416
0.484,0.77021,1.80791,1.24395,0.13535,0.89268,1.12793,0.87979,0.3416
0.488,0.79277,1.76279,1.24717,0.13535,0.9249,1.08926,0.87656,0.3416
0.492,0.79277,1.75957,1.24717,0.13535,0.90557,1.13115,0.87979,0.3416
0.496,0.77021,1.80469,1.24717,0.13535,0.88945,1.12793,0.87979,0.3416
0.5,0.75088,1.80791,1.24717,0.13535,0.93457,1.08604,0.87656,0.3416
0.504,0.79277,1.75957,1.24717,0.13535,0.93779,1.08281,0.87656,0.3416
0.508,0.79277,1.72734,1.24717,0.13535,0.9668,1.13115,0.88301,0.3416
0.512,0.83145,1.7918,1.25039,0.13535,0.93779,1.12471,0.88301,0.3416
0.516,0.796,1.79824,1.25039,0.13535,0.93135,1.12471,0.88301,0.3416
0.52,0.79277,1.79824,1.25361,0.13857,0.93135,1.12148,0.87979,0.3416
0.524,0.81855,1.7918,1.24717,0.13535,0.93457,1.13437,0.88301,0.3416
0.528,0.79277,1.81113,1.25361,0.13535,0.92813,1.10859,0.87979,0.3416
0.532,0.79277,1.77246,1.25039,0.13535,0.9249,1.09893,0.87979,0.3416
0.536,0.79277,1.75957,1.25039,0.13535,0.93457,1.08926,0.87979,0.3416
0.54,0.79277,1.75635,1.25039,0.13535,0.93457,1.08604,0.87979,0.3416
0.544,0.81211,1.79824,1.24395,0.13535,0.95068,1.12793,0.87979,0.34482
0.548,0.81211,1.79502,1.24395,0.13535,0.93457,1.08281,0.87979,0.3416
0.552,0.79277,1.74668,1.25039,0.13535,0.93135,1.07314,0.87656,0.3416
0.556,0.79277,1.7209,1.25039,0.13535,0.9668,1.13115,0.88301,0.3416
0.56,0.81211,1.79502,1.24395,0.13535,0.95068,1.12793,0.88301,0.3416
0.564,0.83145,1.78857,1.25039,0.13535,0.96357,1.12793,0.88301,0.34482
0.568,0.83145,1.78857,1.25361,0.13535,0.96035,1.12793,0.88301,0.3416
0.572,0.83145,1.78857,1.25361,0.13535,0.96035,1.13115,0.88301,0.3416
0.576,0.83145,1.78857,1.25361,0.13535,0.95068,1.12471,0.88301,0.3416
