Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.01738,1.64355,1.97227,0.29004,0.70898,0.62197,0.62842,0.43184
0.004,2.01416,1.64033,1.97549,0.29004,0.70898,0.61875,0.6252,0.43184
0.008,2.01094,1.64355,1.97549,0.29004,0.69932,0.61875,0.6252,0.43184
0.012,2.00771,1.63389,1.97549,0.29004,0.69932,0.61553,0.6252,0.43184
0.016,2.00127,1.63389,1.97549,0.29004,0.69609,0.61553,0.6252,0.43184
0.02,1.99482,1.62744,1.97227,0.29004,0.70576,0.61553,0.6252,0.43184
0.024,2.00449,1.62422,1.97227,0.29004,0.70576,0.6123,0.62197,0.43184
0.028,2.01094,1.62744,1.96904,0.29004,0.70576,0.61553,0.62842,0.43184
0.032,2.00771,1.62422,1.96904,0.28682,0.70254,0.61875,0.6252,0.43184
0.036,2.00449,1.62422,1.96582,0.28682,0.69932,0.61553,0.6252,0.43184
0.04,1.99805,1.621,1.96582,0.28682,0.69932,0.61553,0.62197,0.43184
0.044,1.99805,1.61455,1.95938,0.28682,0.69609,0.6123,0.6252,0.42861
0.048,1.9916,1.61455,1.95938,0.28682,0.70254,0.6123,0.62197,0.42861
0.052,1.99482,1.60811,1.95615,0.28682,0.69932,0.6123,0.62197,0.42861
0.056,1.99482,1.60488,1.95293,0.29004,0.69609,0.60908,0.62197,0.42861
0.06,1.98516,1.60166,1.94971,0.28682,0.69287,0.60908,0.62197,0.42861
0.064,1.99482,1.59844,1.94004,0.28682,0.69932,0.6123,0.61875,0.42861
0.068,1.98838,1.59521,1.93682,0.28682,0.70254,0.6123,0.62197,0.42861
0.072,1.99482,1.59844,1.94326,0.28682,0.69609,0.60908,0.62197,0.42861
0.076,1.98838,1.59844,1.94326,0.28682,0.69287,0.60908,0.62197,0.42861
0.08,1.98838,1.60166,1.94326,0.28682,0.68965,0.60908,0.62197,0.43184
0.084,1.98516,1.61455,1.94648,0.28682,0.69287,0.60586,0.62197,0.43184
0.088,1.97871,1.59844,1.94971,0.28682,0.68643,0.60586,0.62197,0.43184
0.092,1.97549,1.59844,1.94648,0.28682,0.69609,0.6123,0.61875,0.42861
0.096,1.98838,1.60166,1.94004,0.28682,0.69609,0.6123,0.62197,0.42861
0.1,1.99482,1.60166,1.94971,0.28682,0.69932,0.6123,0.62197,0.43184
0.104,1.9916,1.59844,1.94971,0.28682,0.69609,0.6123,0.61875,0.42861
0.108,1.98838,1.60488,1.94971,0.28682,0.69287,0.6123,0.62197,0.43184
0.112,1.98838,1.60488,1.94648,0.28682,0.68965,0.6123,0.62197,0.43184
0.116,1.98516,1.59844,1.94648,0.28682,0.68965,0.60908,0.62197,0.43184
0.12,1.97549,1.59521,1.94326,0.28682,0.6832,0.60586,0.61875,0.42861
0.124,1.98516,1.59199,1.93682,0.28682,0.69287,0.60908,0.61875,0.42861
0.128,1.98516,1.59199,1.93037,0.28682,0.69287,0.6123,0.61875,0.42861
0.132,1.98516,1.59844,1.93682,0.28682,0.68965,0.60908,0.61875,0.42861
0.136,1.97227,1.58877,1.93359,0.28682,0.6832,0.60264,0.61553,0.42861
0.14,1.96904,1.58555,1.92715,0.28682,0.68965,0.60264,0.61553,0.42861
0.144,1.97871,1.58555,1.92715,0.28359,0.68965,0.60264,0.6123,0.42861
0.148,1.97871,1.5791,1.92715,0.28359,0.69287,0.61553,0.61553,0.42861
