Time [s],PD1,PD2,PD3,PD4,PD1_9,PD2_9,PD3_9,PD4_9
0,2.18818,2.66836,2.504,0.59941,0.93779,1.08604,0.93135,0.15791
0.004,2.26875,2.65547,2.51367,0.59941,0.94102,1.08604,0.93457,0.15469
0.008,2.25908,2.66836,2.51689,0.59941,0.93457,1.08604,0.93457,0.15791
0.012,2.25586,2.65869,2.51367,0.59941,0.92813,1.08281,0.93135,0.15469
0.016,2.25264,2.65225,2.51367,0.59941,0.9249,1.07637,0.93135,0.15469
0.02,2.25264,2.63613,2.51367,0.59941,0.93457,1.06348,0.92813,0.15469
0.024,2.25586,2.67158,2.51367,0.59941,0.93135,1.08604,0.93457,0.15791
0.028,2.25586,2.65869,2.51689,0.59941,0.93135,1.08604,0.93457,0.15469
0.032,2.23008,2.69092,2.51367,0.59941,0.90879,1.08604,0.93457,0.16113
0.036,2.21396,2.67803,2.51367,0.59941,0.94424,1.10215,0.93779,0.1708
0.04,2.26875,2.65547,2.51367,0.59941,0.94102,1.08926,0.93457,0.15469
0.044,2.24941,2.65547,2.51689,0.59619,0.91523,1.08604,0.93457,0.16436
0.048,2.22363,2.68447,2.51689,0.59941,0.90234,1.08281,0.93457,0.16113
0.052,2.19463,2.68125,2.51045,0.59941,0.87979,1.07959,0.93135,0.16113
0.056,2.2623,2.66836,2.50078,0.59941,0.93779,1.08926,0.92813,0.16113
0.06,2.25586,2.65225,2.51689,0.59941,0.91846,1.08926,0.93457,0.16436
0.064,2.22686,2.68447,2.51367,0.59941,0.92813,1.08604,0.93457,0.15469
0.068,2.25264,2.65869,2.51367,0.59941,0.9249,1.07637,0.93135,0.15469
0.072,2.25264,2.63613,2.51689,0.59941,0.88623,1.08281,0.93457,0.16113
0.076,2.18818,2.67158,2.51045,0.60264,0.93779,1.08604,0.93135,0.16113
0.08,2.25586,2.6748,2.51689,0.60264,0.93457,1.08604,0.93457,0.15791
0.084,2.25264,2.66514,2.51689,0.60264,0.93779,1.08926,0.93779,0.15469
0.088,2.2623,2.65547,2.51689,0.59941,0.93457,1.08604,0.93457,0.15469
0.092,2.24941,2.65225,2.51689,0.59941,0.92168,1.08926,0.93457,0.16436
0.096,2.25264,2.66191,2.51689,0.60264,0.92813,1.08281,0.93457,0.15469
0.1,2.24941,2.68447,2.52012,0.60264,0.93135,1.08926,0.93457,0.15791
0.104,2.25264,2.66514,2.52012,0.59941,0.92813,1.08604,0.93457,0.16113
0.108,2.24941,2.65547,2.51689,0.60264,0.9249,1.08281,0.93457,0.15791
0.112,2.24941,2.64258,2.52012,0.60264,0.92168,1.0667,0.93135,0.15791
0.116,2.26553,2.65869,2.52012,0.60264,0.93779,1.08926,0.93457,0.15791
0.12,2.25908,2.65547,2.52012,0.60264,0.92813,1.08604,0.93457,0.16113
0.124,2.24619,2.66191,2.52012,0.60264,0.9249,1.08281,0.93457,0.15791
0.128,2.24941,2.63613,2.52012,0.60264,0.93457,1.0667,0.93135,0.15791
0.132,2.18174,2.67158,2.51045,0.60586,0.94102,1.08926,0.93457,0.16436
0.136,2.24619,2.67158,2.52012,0.60264,0.93135,1.06348,0.93135,0.15791
0.14,2.24619,2.6168,2.52012,0.60264,0.94102,1.08926,0.93779,0.16113
0.144,2.2623,2.65547,2.52012,0.60264,0.93779,1.08926,0.93779,0.15791
0.148,2.25586,2.65225,2.52012,0.60264,0.93135,1.08604,0.93457,0.15791
0.152,2.24619,2.66191,2.52334,0.60586,0.92813,1.08604,0.93457,0.15791
0.156,2.24619,2.65225,2.52012,0.60586,0.90879,1.08926,0.93779,0.16436
0.16,2.21719,2.68447,2.52012,0.60586,0.89912,1.08604,0.93457,0.16436
0.164,2.18818,2.68125,2.51689,0.60586,0.87656,1.07959,0.94102,0.1708
0.168,2.24297,2.62969,2.52012,0.60586,0.93135,1.05703,0.93135,0.15791
0.172,2.25908,2.65547,2.52012,0.60264,0.93457,1.08926,0.93779,0.15469
0.176,2.24619,2.65225,2.52012,0.60264,0.91846,1.08926,0.93457,0.16758
0.18,2.22041,2.69092,2.52334,0.60586,0.90234,1.08604,0.93779,0.16436
0.184,2.20107,2.68125,2.51689,0.60586,0.88301,1.08281,0.93457,0.16436
